model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_cosine_js_real_auroc
qwen3_vl_8b,HALL,1,2593,0.12023863196372986,0.09380415081977844,0.11722889542579651,0.14151793718338013,0.531812204871296
qwen3_vl_8b,HALL,2,2593,0.17024022340774536,0.13526906073093414,0.16536812484264374,0.19981834292411804,0.609815498630113
qwen3_vl_8b,HALL,3,2593,0.11517571657896042,0.09525942802429199,0.11117102950811386,0.13055381178855896,0.5847709191999004
qwen3_vl_8b,HALL,4,2593,0.14980164170265198,0.11845838278532028,0.1397535353899002,0.16766339540481567,0.5990909973104739
qwen3_vl_8b,HALL,5,2593,0.14714491367340088,0.12102314084768295,0.14270958304405212,0.16964535415172577,0.6252511773743139
qwen3_vl_8b,HALL,6,2593,0.14277763664722443,0.11415722221136093,0.13493329286575317,0.16166040301322937,0.6426624047956727
qwen3_vl_8b,HALL,7,2593,0.15959039330482483,0.12899579107761383,0.15308721363544464,0.18457910418510437,0.6832450590477243
qwen3_vl_8b,HALL,8,2593,0.16021110117435455,0.13308647274971008,0.1551046222448349,0.18119698762893677,0.6243899731298622
qwen3_vl_8b,HALL,9,2593,0.18941661715507507,0.14903299510478973,0.18350981175899506,0.22220702469348907,0.5347613877754064
qwen3_vl_8b,HALL,10,2593,0.22704946994781494,0.1745755523443222,0.22001563012599945,0.2704944908618927,0.46466088542065775
qwen3_vl_8b,HALL,11,2593,0.17962488532066345,0.13983476161956787,0.17088420689105988,0.20967422425746918,0.49004729282420345
qwen3_vl_8b,HALL,12,2593,0.20212358236312866,0.15918155014514923,0.19415870308876038,0.2372509092092514,0.4956529638176449
qwen3_vl_8b,HALL,13,2593,0.18927916884422302,0.15478941798210144,0.18509581685066223,0.21911928057670593,0.5450098517557292
qwen3_vl_8b,HALL,14,2593,0.25594210624694824,0.20916682481765747,0.25420117378234863,0.2986144423484802,0.43618348573144183
qwen3_vl_8b,HALL,15,2593,0.2606506645679474,0.21450868248939514,0.25574740767478943,0.3059987425804138,0.4939213536569894
qwen3_vl_8b,HALL,16,2593,0.28301680088043213,0.23311510682106018,0.280586302280426,0.3319137990474701,0.4244337674344985
qwen3_vl_8b,HALL,17,2593,0.23898637294769287,0.1987684667110443,0.23665736615657806,0.275154173374176,0.46311925994691294
qwen3_vl_8b,HALL,18,2593,0.33163243532180786,0.28942635655403137,0.33311983942985535,0.3756478428840637,0.4140074882136949
qwen3_vl_8b,HALL,19,2593,0.3045234978199005,0.26096975803375244,0.3036651611328125,0.3500460386276245,0.3666251596945422
qwen3_vl_8b,HALL,20,2593,0.3299455940723419,0.2808851897716522,0.33092761039733887,0.3774661719799042,0.40644931983001087
qwen3_vl_8b,HALL,21,2593,0.36905795335769653,0.3219394385814667,0.37257686257362366,0.418775737285614,0.3806775413886799
qwen3_vl_8b,HALL,22,2593,0.39086517691612244,0.34483054280281067,0.39786532521247864,0.4417451322078705,0.396919559802073
qwen3_vl_8b,HALL,23,2593,0.31008362770080566,0.26816606521606445,0.30903375148773193,0.3528069853782654,0.4325938130848401
qwen3_vl_8b,HALL,24,2593,0.3846150040626526,0.3352087438106537,0.38742852210998535,0.4393208920955658,0.35611711749624075
qwen3_vl_8b,HALL,25,2593,0.3623603284358978,0.3217332065105438,0.3650917708873749,0.40641698241233826,0.35832295920738744
qwen3_vl_8b,HALL,26,2593,0.35242336988449097,0.3098140358924866,0.3507160544395447,0.3932386636734009,0.46525899408454985
qwen3_vl_8b,HALL,27,2593,0.3520905375480652,0.3067705035209656,0.3521224558353424,0.39902210235595703,0.3961521623614567
qwen3_vl_8b,HALL,28,2593,0.33702436089515686,0.29201555252075195,0.33629533648490906,0.3826819062232971,0.4901476946828784
qwen3_vl_8b,HALL,29,2593,0.3809202015399933,0.33041825890541077,0.38277438282966614,0.4348124861717224,0.4600238238504819
qwen3_vl_8b,HALL,30,2593,0.35489457845687866,0.3018984794616699,0.35439059138298035,0.40749749541282654,0.3876065258381687
qwen3_vl_8b,HALL,31,2593,0.3468261957168579,0.2959086298942566,0.346579909324646,0.39452770352363586,0.4196948593745878
qwen3_vl_8b,HALL,32,2593,0.38410046696662903,0.3363189995288849,0.38694924116134644,0.4318666458129883,0.3950182525993937
qwen3_vl_8b,HALL,33,2593,0.4051268398761749,0.35310137271881104,0.40846237540245056,0.45736950635910034,0.368705868091366
qwen3_vl_8b,HALL,34,2593,0.38241368532180786,0.33579519391059875,0.38504260778427124,0.43066975474357605,0.35265884346605936
qwen3_vl_8b,HALL,35,2593,0.3685302138328552,0.3318110406398773,0.3687380850315094,0.40516963601112366,0.40996462538204204
qwen3_vl_8b,HALL,36,2593,0.2306942492723465,0.192253977060318,0.22682741284370422,0.2656429409980774,0.6017536721893447
qwen3_vl_8b,REAL,1,12280,0.12383025139570236,0.0985281690955162,0.12110058963298798,0.14548029005527496,0.531812204871296
qwen3_vl_8b,REAL,2,12280,0.18816007673740387,0.1529434323310852,0.18462476134300232,0.21882694959640503,0.609815498630113
qwen3_vl_8b,REAL,3,12280,0.12381419539451599,0.10173775255680084,0.11963321268558502,0.14132088422775269,0.5847709191999004
qwen3_vl_8b,REAL,4,12280,0.16463574767112732,0.12973687052726746,0.1536369025707245,0.18556919693946838,0.5990909973104739
qwen3_vl_8b,REAL,5,12280,0.16376975178718567,0.1354985237121582,0.15962234139442444,0.1883203089237213,0.6252511773743139
qwen3_vl_8b,REAL,6,12280,0.163570374250412,0.13047286868095398,0.15547478199005127,0.18922623991966248,0.6426624047956727
qwen3_vl_8b,REAL,7,12280,0.1898982673883438,0.15347525477409363,0.18510422110557556,0.2241283506155014,0.6832450590477243
qwen3_vl_8b,REAL,8,12280,0.17647883296012878,0.14776182174682617,0.17370399832725525,0.20184659957885742,0.6243899731298622
qwen3_vl_8b,REAL,9,12280,0.19263987243175507,0.1599453091621399,0.19061033427715302,0.22219319641590118,0.5347613877754064
qwen3_vl_8b,REAL,10,12280,0.2178146243095398,0.17055343091487885,0.2105741798877716,0.2597300708293915,0.46466088542065775
qwen3_vl_8b,REAL,11,12280,0.1751052439212799,0.14361542463302612,0.17021967470645905,0.20055486261844635,0.49004729282420345
qwen3_vl_8b,REAL,12,12280,0.19959773123264313,0.15992800891399384,0.19518062472343445,0.23259125649929047,0.4956529638176449
qwen3_vl_8b,REAL,13,12280,0.19463130831718445,0.16427655518054962,0.1936783492565155,0.2241530418395996,0.5450098517557292
qwen3_vl_8b,REAL,14,12280,0.2414281964302063,0.20248986780643463,0.2397748827934265,0.27861452102661133,0.43618348573144183
qwen3_vl_8b,REAL,15,12280,0.2576357126235962,0.22022473812103271,0.25762924551963806,0.29377031326293945,0.4939213536569894
qwen3_vl_8b,REAL,16,12280,0.26501116156578064,0.21957874298095703,0.2620735764503479,0.30861881375312805,0.4244337674344985
qwen3_vl_8b,REAL,17,12280,0.23129938542842865,0.19662263989448547,0.22964033484458923,0.2645350694656372,0.46311925994691294
qwen3_vl_8b,REAL,18,12280,0.31309542059898376,0.27247822284698486,0.31343549489974976,0.35527580976486206,0.4140074882136949
qwen3_vl_8b,REAL,19,12280,0.27406299114227295,0.22843286395072937,0.27224576473236084,0.3175418972969055,0.3666251596945422
qwen3_vl_8b,REAL,20,12280,0.3067609369754791,0.25927746295928955,0.3055242896080017,0.3541457951068878,0.40644931983001087
qwen3_vl_8b,REAL,21,12280,0.3412872552871704,0.29815733432769775,0.3408963680267334,0.3851659893989563,0.3806775413886799
qwen3_vl_8b,REAL,22,12280,0.3667380213737488,0.3199646472930908,0.36768996715545654,0.41632500290870667,0.396919559802073
qwen3_vl_8b,REAL,23,12280,0.29631873965263367,0.25832700729370117,0.29551228880882263,0.3338756561279297,0.4325938130848401
qwen3_vl_8b,REAL,24,12280,0.3476679027080536,0.29821068048477173,0.3463538885116577,0.39780741930007935,0.35611711749624075
qwen3_vl_8b,REAL,25,12280,0.32993438839912415,0.2850664556026459,0.32962608337402344,0.3767815828323364,0.35832295920738744
qwen3_vl_8b,REAL,26,12280,0.3444254398345947,0.30923140048980713,0.3454913794994354,0.3804926872253418,0.46525899408454985
