model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,native_vs_fp32_gauss_k64,0.9999924443604928,7.083733977186158e-08,1.0,0.0006707977517213491,0.19176429510116577,1.3124282304488588e-05
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,fp32_trapezoid_vs_gauss_k64,1.0,1.0859190553300297e-15,1.0,7.154958733417757e-08,5.960464477539063e-08,1.3171117643651087e-05
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,native_vs_fp32_gauss_k64,1.0,2.5668179295830812e-09,1.0,0.0014198291442693016,0.000847160816192627,1.430140287084214e-06
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,fp32_trapezoid_vs_gauss_k64,1.0,8.123191635968567e-14,1.0,1.5195678255592244e-06,7.152557373046875e-07,6.743643098161556e-06
qwen3_vl_8b,qwen3_vl_8b:11360:75:18,18,native_vs_fp32_gauss_k64,1.0,2.030863944210476e-09,1.0,0.0007412116110062561,0.00026354193687438965,2.0727391074615298e-06
qwen3_vl_8b,qwen3_vl_8b:11360:75:18,18,fp32_trapezoid_vs_gauss_k64,1.0,3.579857802507331e-15,1.0,4.912327239591393e-07,1.7881393432617188e-07,3.0288747439044528e-06
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,native_vs_fp32_gauss_k64,0.9999999999999998,3.8243831769198855e-09,1.0,0.0009112579104598812,0.000838547945022583,2.5889187327265972e-06
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.721980013669467e-15,1.0,5.502977228601614e-07,2.682209014892578e-07,3.0263624921644805e-06
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,native_vs_fp32_gauss_k64,0.999989758610448,1.6616658344116504e-07,1.0,0.0020195524249284566,0.13334381580352783,1.843815880420152e-05
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,9.519857273929905e-16,1.0,1.4481118359393555e-07,5.960464477539063e-08,1.8462384105077945e-05
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,native_vs_fp32_gauss_k64,1.0,1.169745040329705e-09,1.0,0.0015864545266739227,0.0020445585250854492,3.169361207255861e-06
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,fp32_trapezoid_vs_gauss_k64,1.0,1.6244272428774884e-15,1.0,4.133459486516862e-07,2.384185791015625e-07,3.3116618851636304e-06
