model,label,layer,n_mentions,mean,q25,median,q75,raw_kappa_real_auroc
qwen3_vl_8b,HALL,1,2593,0.8043777346611023,0.7647459506988525,0.8001917600631714,0.838701605796814,0.4783732135252641
qwen3_vl_8b,HALL,2,2593,0.7080762386322021,0.5969356298446655,0.6786424517631531,0.7827222347259521,0.43969605904646814
qwen3_vl_8b,HALL,3,2593,0.5869947671890259,0.5234361886978149,0.5851091742515564,0.6451783776283264,0.579641395463356
qwen3_vl_8b,HALL,4,2593,0.6382138133049011,0.5736915469169617,0.632682740688324,0.69877690076828,0.43699362540842235
qwen3_vl_8b,HALL,5,2593,0.6606642007827759,0.5898729562759399,0.650023877620697,0.7149146199226379,0.4873801898370833
qwen3_vl_8b,HALL,6,2593,0.6491348743438721,0.5988196730613708,0.6563236713409424,0.7051034569740295,0.5060060379297306
qwen3_vl_8b,HALL,7,2593,0.6093469262123108,0.5465817451477051,0.6011859178543091,0.6659685969352722,0.5424025753375097
qwen3_vl_8b,HALL,8,2593,0.6344292759895325,0.5849536061286926,0.6351703405380249,0.6807886362075806,0.4836389408467548
qwen3_vl_8b,HALL,9,2593,0.5898650884628296,0.5430709719657898,0.5913403630256653,0.6383565068244934,0.4815318051230386
qwen3_vl_8b,HALL,10,2593,0.5817211866378784,0.5072956681251526,0.5681066513061523,0.6457213759422302,0.510561524952547
qwen3_vl_8b,HALL,11,2593,0.5278104543685913,0.4754946827888489,0.5262512564659119,0.5762236714363098,0.5438037418456858
qwen3_vl_8b,HALL,12,2593,0.5514878034591675,0.49319595098495483,0.5459359288215637,0.6024193167686462,0.4527418940495018
qwen3_vl_8b,HALL,13,2593,0.5798272490501404,0.5268700122833252,0.5679299831390381,0.6281000971794128,0.39675468343108666
qwen3_vl_8b,HALL,14,2593,0.4690159857273102,0.4173239767551422,0.4642893671989441,0.5146514177322388,0.5055489849268452
qwen3_vl_8b,HALL,15,2593,0.5014265775680542,0.4539317786693573,0.49697884917259216,0.54348224401474,0.4929234119421997
qwen3_vl_8b,HALL,16,2593,0.4200502038002014,0.3724476397037506,0.41736242175102234,0.4635188579559326,0.4679209152428676
qwen3_vl_8b,HALL,17,2593,0.4068567752838135,0.3589451313018799,0.3994652330875397,0.44540128111839294,0.3745664379543521
qwen3_vl_8b,HALL,18,2593,0.4451404809951782,0.39692723751068115,0.4421490728855133,0.4888698160648346,0.41746766224777054
qwen3_vl_8b,HALL,19,2593,0.41883835196495056,0.3729822039604187,0.413040429353714,0.4586104154586792,0.3836750566232565
qwen3_vl_8b,HALL,20,2593,0.441232293844223,0.3894349932670593,0.4373842179775238,0.4873542785644531,0.3912028406471445
qwen3_vl_8b,HALL,21,2593,0.5044872164726257,0.4433456361293793,0.5004387497901917,0.564653754234314,0.39114051737891165
qwen3_vl_8b,HALL,22,2593,0.48387762904167175,0.4205978810787201,0.4738784432411194,0.538595974445343,0.381251970665196
qwen3_vl_8b,HALL,23,2593,0.4408830404281616,0.3925926685333252,0.4330773651599884,0.4800674617290497,0.4087913494235922
qwen3_vl_8b,HALL,24,2593,0.6033117771148682,0.5430589318275452,0.6014518737792969,0.6609095335006714,0.4017716044575033
qwen3_vl_8b,HALL,25,2593,0.5109666585922241,0.4601168930530548,0.5054408311843872,0.5526412725448608,0.4609594108920157
qwen3_vl_8b,HALL,26,2593,0.5023923516273499,0.43602266907691956,0.49384528398513794,0.5607379674911499,0.5219216325335939
qwen3_vl_8b,HALL,27,2593,0.4987882077693939,0.43035462498664856,0.48921647667884827,0.5593559145927429,0.44064582545590675
qwen3_vl_8b,HALL,28,2593,0.4776014983654022,0.41547656059265137,0.46823179721832275,0.5303649306297302,0.49214422191543006
qwen3_vl_8b,HALL,29,2593,0.5501614212989807,0.4810941815376282,0.5475324392318726,0.6132751703262329,0.48751538846129205
qwen3_vl_8b,HALL,30,2593,0.5815582275390625,0.48982474207878113,0.5687959790229797,0.6626414060592651,0.5604742346909934
qwen3_vl_8b,HALL,31,2593,0.4992227554321289,0.4281438887119293,0.480952650308609,0.5529564619064331,0.5355914539395088
qwen3_vl_8b,HALL,32,2593,0.48545169830322266,0.4094003140926361,0.473888635635376,0.549921989440918,0.5490250938696138
qwen3_vl_8b,HALL,33,2593,0.547373354434967,0.46296897530555725,0.5381320714950562,0.6215133666992188,0.45890973065796037
qwen3_vl_8b,HALL,34,2593,0.44119760394096375,0.37384724617004395,0.4311799108982086,0.4971160590648651,0.4620787958309204
qwen3_vl_8b,HALL,35,2593,0.45176392793655396,0.38316798210144043,0.44025981426239014,0.5040628910064697,0.4557303018273955
qwen3_vl_8b,HALL,36,2593,0.829444169998169,0.7196534276008606,0.8335875272750854,0.9388144612312317,0.4513102960739952
qwen3_vl_8b,REAL,1,12280,0.7995645999908447,0.762767493724823,0.7969970703125,0.8317010998725891,0.4783732135252641
qwen3_vl_8b,REAL,2,12280,0.6725485920906067,0.5788354873657227,0.6516461968421936,0.7422258853912354,0.43969605904646814
qwen3_vl_8b,REAL,3,12280,0.6126839518547058,0.5480530261993408,0.6115096807479858,0.6765857338905334,0.579641395463356
qwen3_vl_8b,REAL,4,12280,0.6166638731956482,0.553911030292511,0.6132268905639648,0.6715976595878601,0.43699362540842235
