model,case_id,layer,strategy,lambda,finite_effect_norm
qwen3_vl_8b,qwen3_vl_8b:11360:75:18,18,deterministic_random_region,1.25,5.775552272796631
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_p_ffn_token,0.0,4.664618492126465
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_p_ffn_token,0.25,4.800800323486328
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_p_ffn_token,0.5,4.96687126159668
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_p_ffn_token,0.75,5.160221099853516
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_p_ffn_token,1.0,5.37819766998291
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_p_ffn_token,1.25,5.61822509765625
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_8_region,0.0,2.8423550128936768
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_8_region,0.25,3.421269416809082
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_8_region,0.5,4.047608852386475
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_8_region,0.75,4.703275203704834
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_8_region,1.0,5.37819766998291
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,highest_8_region,1.25,6.066465854644775
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,deterministic_random_region,0.0,4.375718116760254
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,deterministic_random_region,0.25,4.61240816116333
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,deterministic_random_region,0.5,4.859212398529053
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,deterministic_random_region,0.75,5.114839553833008
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,deterministic_random_region,1.0,5.37819766998291
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,deterministic_random_region,1.25,5.648353099822998
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_p_ffn_token,0.0,7.5554351806640625
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_p_ffn_token,0.25,7.830986499786377
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_p_ffn_token,0.5,8.10758113861084
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_p_ffn_token,0.75,8.386038780212402
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_p_ffn_token,1.0,8.665392875671387
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_p_ffn_token,1.25,8.94553279876709
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_8_region,0.0,6.210173606872559
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_8_region,0.25,6.816860198974609
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_8_region,0.5,7.429126739501953
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_8_region,0.75,8.045676231384277
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_8_region,1.0,8.665392875671387
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,highest_8_region,1.25,9.28732681274414
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,deterministic_random_region,0.0,8.154400825500488
