model,label,layer,n_mentions,mean,q25,median,q75,raw_d_js_union_topk_real_auroc
qwen3_vl_8b,HALL,1,2593,0.0012847761390730739,0.0006062527536414564,0.0009101777104660869,0.001463854219764471,0.5569682721333181
qwen3_vl_8b,HALL,2,2593,0.007993272505700588,0.0027215322479605675,0.004430281929671764,0.00864555686712265,0.5283931400123861
qwen3_vl_8b,HALL,3,2593,0.0044236076064407825,0.0020000305958092213,0.002923445077612996,0.00430648447945714,0.45893579682708774
qwen3_vl_8b,HALL,4,2593,0.003926851321011782,0.001597461523488164,0.002539333188906312,0.00438217306509614,0.5131641220223326
qwen3_vl_8b,HALL,5,2593,0.0029688409995287657,0.001398583990521729,0.002171678002923727,0.0035782991908490658,0.5160217121767323
qwen3_vl_8b,HALL,6,2593,0.001685663708485663,0.0008689124952070415,0.0014251290122047067,0.002197178779169917,0.4390074882136949
qwen3_vl_8b,HALL,7,2593,0.000899127684533596,0.0004022995417471975,0.0006336697842925787,0.001056552049703896,0.45782487554189366
qwen3_vl_8b,HALL,8,2593,0.0008468033047392964,0.00031885041971690953,0.000527815951500088,0.0009801711421459913,0.49120854065882713
qwen3_vl_8b,HALL,9,2593,0.0005952462088316679,0.0002477525849826634,0.0004082519735675305,0.0007253780495375395,0.5358228304467929
qwen3_vl_8b,HALL,10,2593,0.0062525453977286816,0.002522251335904002,0.00470381323248148,0.008421843871474266,0.4704726204728089
qwen3_vl_8b,HALL,11,2593,0.0010391295654699206,0.00030881946440786123,0.0005960273556411266,0.0012392456410452724,0.5172152600775579
qwen3_vl_8b,HALL,12,2593,0.0021578411106020212,0.0005828126450069249,0.001261387369595468,0.0029465213883668184,0.49044484901093016
qwen3_vl_8b,HALL,13,2593,0.0007645023870281875,0.0002663539198692888,0.000442110380390659,0.0007422251510433853,0.5246245215444739
qwen3_vl_8b,HALL,14,2593,0.0008041764958761632,0.00046244976692833006,0.0006756585789844394,0.0009687127312645316,0.5119290723835533
qwen3_vl_8b,HALL,15,2593,0.0006833539227955043,0.0003210678114555776,0.0005022012046538293,0.0008364593959413469,0.5129594868921715
qwen3_vl_8b,HALL,16,2593,0.0014033317565917969,0.0008298328029923141,0.0011985549936071038,0.0017123706638813019,0.4568836198937003
qwen3_vl_8b,HALL,17,2593,0.000829527445603162,0.0004818713932763785,0.0006965410429984331,0.0010192799381911755,0.5170447465049349
qwen3_vl_8b,HALL,18,2593,0.0012386852176859975,0.000730846484657377,0.0010244068689644337,0.0014735389268025756,0.4892604399718108
qwen3_vl_8b,HALL,19,2593,0.0013220955152064562,0.0006384446169249713,0.000989921041764319,0.001607038895599544,0.5134836367267925
qwen3_vl_8b,HALL,20,2593,0.0010060452623292804,0.0004663301515392959,0.0007229478214867413,0.0011657614959403872,0.5784971377461996
qwen3_vl_8b,HALL,21,2593,0.0013780302833765745,0.000788046745583415,0.0011781704379245639,0.0017602876760065556,0.5466932395034992
qwen3_vl_8b,HALL,22,2593,0.0008240060415118933,0.00039795556222088635,0.000627450062893331,0.0010228152386844158,0.6227083440633829
qwen3_vl_8b,HALL,23,2593,0.0012386383023113012,0.0005323783843778074,0.0008334311423823237,0.0014648749493062496,0.4009099605427291
qwen3_vl_8b,HALL,24,2593,0.0014013166073709726,0.0006820341222919524,0.0010816785506904125,0.001675619394518435,0.6108104097601786
qwen3_vl_8b,HALL,25,2593,0.003885729005560279,0.002218547509983182,0.0032925980631262064,0.004880852065980434,0.3956477348813079
qwen3_vl_8b,HALL,26,2593,0.000822808884549886,0.00030483840964734554,0.0004969362053088844,0.0008624728070572019,0.5434417204425344
qwen3_vl_8b,HALL,27,2593,0.001246666070073843,0.0004861042834818363,0.0008215056150220335,0.0015078324358910322,0.47473965235895693
qwen3_vl_8b,HALL,28,2593,0.002506458666175604,0.0014583898009732366,0.0022035909350961447,0.003212657757103443,0.5048176404526845
qwen3_vl_8b,HALL,29,2593,0.0015919387806206942,0.0007660635747015476,0.0011760288616642356,0.0018252352019771934,0.6095834469148333
qwen3_vl_8b,HALL,30,2593,0.006201382726430893,0.002807712648063898,0.004844538867473602,0.008234722539782524,0.5050047515799867
qwen3_vl_8b,HALL,31,2593,0.0029424296226352453,0.0010109690483659506,0.0018013501539826393,0.003417098894715309,0.5693347536778423
qwen3_vl_8b,HALL,32,2593,0.0012204137165099382,0.0002461548428982496,0.0004725531325675547,0.0012612328864634037,0.658433269350833
qwen3_vl_8b,HALL,33,2593,0.0007214232464320958,0.0002250021934742108,0.00042211657273583114,0.0008541294373571873,0.5144803850507066
qwen3_vl_8b,HALL,34,2593,0.0013095642207190394,0.00012896581029053777,0.0002483433054294437,0.0007422922062687576,0.5571140385477815
qwen3_vl_8b,HALL,35,2593,0.004347664304077625,0.0007600123644806445,0.0019796874839812517,0.0057026115246117115,0.4846908992011818
qwen3_vl_8b,HALL,36,2593,0.11774051189422607,0.09565765410661697,0.11936765909194946,0.14218518137931824,0.4550910839883374
qwen3_vl_8b,REAL,1,12280,0.0014230218948796391,0.0006854287930764258,0.0010508750565350056,0.0016907720128074288,0.5569682721333181
qwen3_vl_8b,REAL,2,12280,0.008591311052441597,0.002881211694329977,0.004895159974694252,0.009842156432569027,0.5283931400123861
qwen3_vl_8b,REAL,3,12280,0.003922282252460718,0.001905054901726544,0.0027128548827022314,0.0038798986934125423,0.45893579682708774
qwen3_vl_8b,REAL,4,12280,0.004040523432195187,0.001665850868448615,0.002585998736321926,0.004670331720262766,0.5131641220223326
qwen3_vl_8b,REAL,5,12280,0.0030182781629264355,0.0014541945420205593,0.0022715230006724596,0.0036909175105392933,0.5160217121767323
qwen3_vl_8b,REAL,6,12280,0.0014446417335420847,0.0007837250595912337,0.0012125913053750992,0.0018520792946219444,0.4390074882136949
qwen3_vl_8b,REAL,7,12280,0.0008978623081929982,0.0003468917857389897,0.000553287158254534,0.000975079950876534,0.45782487554189366
qwen3_vl_8b,REAL,8,12280,0.0008644374902360141,0.0002989423810504377,0.0005231056129559875,0.0010052485158666968,0.49120854065882713
qwen3_vl_8b,REAL,9,12280,0.0006601819186471403,0.00026765535585582256,0.00046773720532655716,0.000815623439848423,0.5358228304467929
qwen3_vl_8b,REAL,10,12280,0.006160753313452005,0.0019355490803718567,0.00408157566562295,0.008562077768146992,0.4704726204728089
qwen3_vl_8b,REAL,11,12280,0.0012137156445533037,0.00030957438866607845,0.0006419420824386179,0.0014370791614055634,0.5172152600775579
qwen3_vl_8b,REAL,12,12280,0.0022459065075963736,0.000493905448820442,0.001200718223117292,0.0031963076908141375,0.49044484901093016
qwen3_vl_8b,REAL,13,12280,0.0007814555428922176,0.00028082041535526514,0.00046780952834524214,0.0008256346336565912,0.5246245215444739
qwen3_vl_8b,REAL,14,12280,0.0008163871243596077,0.00047199625987559557,0.0006888756761327386,0.0010126173729076982,0.5119290723835533
qwen3_vl_8b,REAL,15,12280,0.0007900238269940019,0.0003221788792870939,0.0005016484064981341,0.0008772293804213405,0.5129594868921715
qwen3_vl_8b,REAL,16,12280,0.0012900755973532796,0.0007879427284933627,0.0010939815547317266,0.0015635212184861302,0.4568836198937003
qwen3_vl_8b,REAL,17,12280,0.000854562153108418,0.0005156015977263451,0.0007152751786634326,0.0010081228101626039,0.5170447465049349
qwen3_vl_8b,REAL,18,12280,0.0011762649519369006,0.0007330858497880399,0.001006757840514183,0.0014071529731154442,0.4892604399718108
qwen3_vl_8b,REAL,19,12280,0.0013424002099782228,0.0006626600516028702,0.0010236187372356653,0.0016575875924900174,0.5134836367267925
qwen3_vl_8b,REAL,20,12280,0.0010921243811026216,0.0005957531975582242,0.0008772533619776368,0.001309029757976532,0.5784971377461996
qwen3_vl_8b,REAL,21,12280,0.0014544802252203226,0.0009059241274371743,0.0012837748508900404,0.0018485183827579021,0.5466932395034992
qwen3_vl_8b,REAL,22,12280,0.001183885964564979,0.0005363075179047883,0.0008479330572299659,0.0014401249354705215,0.6227083440633829
qwen3_vl_8b,REAL,23,12280,0.0009041333687491715,0.00045382315875031054,0.0006512380205094814,0.0010186206782236695,0.4009099605427291
qwen3_vl_8b,REAL,24,12280,0.0016626585274934769,0.0009196698083542287,0.0014023976400494576,0.0021282436791807413,0.6108104097601786
qwen3_vl_8b,REAL,25,12280,0.0031222968827933073,0.0018243106314912438,0.0026400508359074593,0.0038595078513026237,0.3956477348813079
qwen3_vl_8b,REAL,26,12280,0.000822673027869314,0.00035102179390378296,0.0005706654628738761,0.0009701227536424994,0.5434417204425344
qwen3_vl_8b,REAL,27,12280,0.001167836133390665,0.00044428519322536886,0.000768047000747174,0.0013605121057480574,0.47473965235895693
qwen3_vl_8b,REAL,28,12280,0.002446418395265937,0.0015601420309394598,0.0022336572874337435,0.0030828802846372128,0.5048176404526845
qwen3_vl_8b,REAL,29,12280,0.0018701390363276005,0.0010131550952792168,0.0015566913643851876,0.002321776933968067,0.6095834469148333
qwen3_vl_8b,REAL,30,12280,0.006439263466745615,0.0027219525072723627,0.0050599840469658375,0.008604026399552822,0.5050047515799867
qwen3_vl_8b,REAL,31,12280,0.003986906725913286,0.0011788168922066689,0.0022794934920966625,0.0048690983094275,0.5693347536778423
qwen3_vl_8b,REAL,32,12280,0.0022115230094641447,0.0004253967199474573,0.001130435150116682,0.002901840955018997,0.658433269350833
qwen3_vl_8b,REAL,33,12280,0.0008496821974404156,0.0002308151451870799,0.0004426226660143584,0.0009055308764800429,0.5144803850507066
qwen3_vl_8b,REAL,34,12280,0.0014622275484725833,0.00015252429875545204,0.0003288527950644493,0.0012681455118581653,0.5571140385477815
qwen3_vl_8b,REAL,35,12280,0.0032547323498874903,0.0009064478799700737,0.0019110841676592827,0.003990521654486656,0.4846908992011818
qwen3_vl_8b,REAL,36,12280,0.11289843916893005,0.0918363630771637,0.11460217833518982,0.13581936061382294,0.4550910839883374
