model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_js_residual_real_auroc
qwen3_vl_8b,HALL,1,2593,-0.0077285259030759335,-0.01125095784664154,-0.007273390889167786,-0.003546014428138733,0.5086059655725576
qwen3_vl_8b,HALL,2,2593,0.002693492453545332,-0.0019230246543884277,0.002086341381072998,0.006741270422935486,0.4980251736383724
qwen3_vl_8b,HALL,3,2593,-0.005769345443695784,-0.01088426262140274,-0.003728538751602173,0.0009357407689094543,0.3745832710467043
qwen3_vl_8b,HALL,4,2593,-0.005814434960484505,-0.009914010763168335,-0.004749014973640442,-0.0004146397113800049,0.4077687861707353
qwen3_vl_8b,HALL,5,2593,-0.011354967951774597,-0.016010046005249023,-0.010026320815086365,-0.005465574562549591,0.3387602678722846
qwen3_vl_8b,HALL,6,2593,-0.014696137979626656,-0.020223841071128845,-0.013327829539775848,-0.007648743689060211,0.3331487398420453
qwen3_vl_8b,HALL,7,2593,-0.015324718318879604,-0.024522870779037476,-0.013243108987808228,-0.0039923787117004395,0.33522582095870745
qwen3_vl_8b,HALL,8,2593,-0.015932196751236916,-0.02138581871986389,-0.01544634997844696,-0.009883567690849304,0.3665271446176187
qwen3_vl_8b,HALL,9,2593,-0.03582052141427994,-0.04384690523147583,-0.03583911061286926,-0.027866452932357788,0.4401950848626533
qwen3_vl_8b,HALL,10,2593,-0.028491977602243423,-0.036986202001571655,-0.02781885862350464,-0.019099712371826172,0.48236359856340866
qwen3_vl_8b,HALL,11,2593,-0.0334353968501091,-0.04196526110172272,-0.03337475657463074,-0.02495373785495758,0.4549844168275651
qwen3_vl_8b,HALL,12,2593,-0.035050053149461746,-0.04262298345565796,-0.034181222319602966,-0.02645808458328247,0.4952824002482253
qwen3_vl_8b,HALL,13,2593,-0.013710884377360344,-0.019852548837661743,-0.013202369213104248,-0.006491303443908691,0.3573419605025306
qwen3_vl_8b,HALL,14,2593,-0.03709142282605171,-0.04452019929885864,-0.03653159737586975,-0.02897600829601288,0.4790883216025104
qwen3_vl_8b,HALL,15,2593,-0.034880660474300385,-0.04139280319213867,-0.034628450870513916,-0.02786305546760559,0.4460913465343301
qwen3_vl_8b,HALL,16,2593,-0.030917838215827942,-0.03792698681354523,-0.03059321641921997,-0.02357587218284607,0.4686225191602046
qwen3_vl_8b,HALL,17,2593,-0.03108055330812931,-0.03665454685688019,-0.03085218369960785,-0.0251467227935791,0.5252136954793097
qwen3_vl_8b,HALL,18,2593,-0.03444535657763481,-0.040571391582489014,-0.03384628891944885,-0.028086170554161072,0.44960172149774325
qwen3_vl_8b,HALL,19,2593,-0.033902402967214584,-0.039365917444229126,-0.033409327268600464,-0.027889907360076904,0.49401222409117007
qwen3_vl_8b,HALL,20,2593,-0.028647728264331818,-0.03407569229602814,-0.028177469968795776,-0.022876650094985962,0.47779446605807924
qwen3_vl_8b,HALL,21,2593,-0.03196025639772415,-0.03741222620010376,-0.03164646029472351,-0.02614772319793701,0.40518101227182685
qwen3_vl_8b,HALL,22,2593,-0.030371060594916344,-0.03475108742713928,-0.029918521642684937,-0.025318950414657593,0.40284488682257796
qwen3_vl_8b,HALL,23,2593,-0.02883799932897091,-0.03558081388473511,-0.028180867433547974,-0.021743178367614746,0.42903926695651406
qwen3_vl_8b,HALL,24,2593,-0.04229790344834328,-0.04861891269683838,-0.04185652732849121,-0.03539183735847473,0.3679744608071594
qwen3_vl_8b,HALL,25,2593,-0.03716430068016052,-0.0442715585231781,-0.03580233454704285,-0.028836816549301147,0.3865545517812301
qwen3_vl_8b,HALL,26,2593,-0.03378705307841301,-0.040325671434402466,-0.03291234374046326,-0.02647063136100769,0.36092641991530694
qwen3_vl_8b,HALL,27,2593,-0.036524172872304916,-0.043027907609939575,-0.03601020574569702,-0.02879500389099121,0.40286098189688857
qwen3_vl_8b,HALL,28,2593,-0.031842850148677826,-0.03825739026069641,-0.030222535133361816,-0.024165749549865723,0.3969114101985928
qwen3_vl_8b,HALL,29,2593,-0.03251218423247337,-0.03818720579147339,-0.03172329068183899,-0.026252076029777527,0.3633115057954829
qwen3_vl_8b,HALL,30,2593,-0.043652646243572235,-0.053640514612197876,-0.04174187779426575,-0.03217720985412598,0.41272715253168457
qwen3_vl_8b,HALL,31,2593,-0.03487074002623558,-0.04140976071357727,-0.0323367714881897,-0.025335967540740967,0.37070680772965553
qwen3_vl_8b,HALL,32,2593,-0.03217180073261261,-0.03787901997566223,-0.0308530330657959,-0.024592697620391846,0.29702528481215396
qwen3_vl_8b,HALL,33,2593,-0.034140024334192276,-0.040559738874435425,-0.03335639834403992,-0.02715200185775757,0.38028350256453425
qwen3_vl_8b,HALL,34,2593,-0.03083016909658909,-0.03637060523033142,-0.030237019062042236,-0.02478232979774475,0.39027117923349136
