feature_set,dimensions,full_support_js_ensemble_auroc,union_topk_js_ensemble_auroc,union_topk_js_minus_full_js_auroc,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
C_JS,72,0.8650187238167568,0.862959567052257,-0.0020591567644998587,0.5707238768168547,0.5847017155638575,0.46059431524547806,0.514492156762657,0.8591657945350536,0.838402501860033,0.8481696041294274
D_JS,72,0.8548016633788077,0.8631529024231367,0.008351239044328995,0.5821936647204199,0.6021552673192018,0.4489664082687339,0.5123059807852394,0.8490641178813222,0.8578595266100476,0.8526799909854006
E_JS,72,0.8645108808066213,0.8623853494237756,-0.002125531382845658,0.5623570619626771,0.5731943447809611,0.45930232558139533,0.5090066601702363,0.8540676835875636,0.8437093841361575,0.8475467632340185
G_JS,216,0.8845868874626064,0.8906053673912304,0.006018479928624032,0.6270823099314429,0.6610768910923243,0.5116279069767442,0.575732852896158,0.8870929152041097,0.8826334670087275,0.8852336540925354
H_JS,252,0.8945469392039368,0.8930554397858723,-0.0014914994180644792,0.6217788001546284,0.6379003145260648,0.5142118863049095,0.5687732960394062,0.8879820263707902,0.8884597692633034,0.8832088423340403
