feature_set,variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
A,AE32_cosine,43,fixed_0.5,0.5,0.8664179933872356,0.9662005302297065,0.8937987374675084,0.9585822381521306,0.9250576479631053,0.6247228586532313,0.688622754491018,0.44573643410852715,0.5411764705882353
A,AE32_cosine,43,train_f1,0.6398906707763672,0.8664179933872356,0.9662005302297065,0.9081313526192337,0.9251294305057746,0.9165515880844348,0.6247228586532313,0.5991471215351812,0.5445736434108527,0.5705583756345177
A,AE32_cosine,44,fixed_0.5,0.5,0.8700068535652432,0.9693478524203195,0.9249466950959488,0.8637992831541219,0.89332784184514,0.612482140263107,0.49853372434017595,0.6589147286821705,0.5676126878130217
A,AE32_cosine,44,train_f1,0.38514381647109985,0.8700068535652432,0.9693478524203195,0.90633608815427,0.9171644763042612,0.9117181314330958,0.612482140263107,0.5720164609053497,0.5387596899224806,0.5548902195608783
A,AE32_cosine,45,fixed_0.5,0.5,0.8650507534290981,0.9668674699531328,0.8852519308569327,0.9585822381521306,0.9204588910133843,0.6111669964439341,0.6623376623376623,0.3953488372093023,0.49514563106796117
A,AE32_cosine,45,train_f1,0.6852651834487915,0.8650507534290981,0.9668674699531328,0.9045031055900621,0.9279171644763042,0.9160605464910556,0.6111669964439341,0.5986696230598669,0.5232558139534884,0.5584281282316442
A,AE32,43,fixed_0.5,0.5,0.8662319900962896,0.9678056165732295,0.9217245709501883,0.8769414575866189,0.8987755102040816,0.5992928344079735,0.5156739811912225,0.6375968992248062,0.5701906412478336
A,AE32,43,train_f1,0.3706547021865845,0.8662319900962896,0.9678056165732295,0.8982081585970263,0.9382716049382716,0.917802882742501,0.5992928344079735,0.6163366336633663,0.48255813953488375,0.5413043478260869
A,AE32,44,fixed_0.5,0.5,0.8688329489779854,0.9685503099420893,0.9173553719008265,0.8841099163679809,0.9004258771040357,0.5972179845426479,0.5205930807248764,0.6124031007751938,0.5627782724844167
A,AE32,44,train_f1,0.38911572098731995,0.8688329489779854,0.9685503099420893,0.9016962220508866,0.9315013938669853,0.916356513222331,0.5972179845426479,0.6027713625866051,0.5058139534883721,0.5500526870389885
A,AE32,45,fixed_0.5,0.5,0.8650576996100877,0.9676184581415491,0.8954372623574145,0.937873357228196,0.9161641703948649,0.5923866018021973,0.6070528967254408,0.46705426356589147,0.5279299014238773
A,AE32,45,train_f1,0.5225580930709839,0.8650576996100877,0.9676184581415491,0.8980061349693251,0.9326961369972122,0.9150224653252589,0.5923866018021973,0.5966587112171837,0.4844961240310077,0.5347593582887701
B,AE32_cosine,43,fixed_0.5,0.5,0.8480870217554388,0.9628645972956411,0.8763148349655423,0.9621664675428117,0.9172361427486713,0.5606165448303269,0.6481481481481481,0.3391472868217054,0.44529262086513993
B,AE32_cosine,43,train_f1,0.5769447088241577,0.8480870217554388,0.9628645972956411,0.8897252540459164,0.9414575866188769,0.9148606811145511,0.5606165448303269,0.6027027027027027,0.4321705426356589,0.5033860045146726
B,AE32_cosine,44,fixed_0.5,0.5,0.8462555453678233,0.962358970530226,0.8865327380952381,0.9490242931103147,0.916714752837084,0.558649610825038,0.6224188790560472,0.40891472868217055,0.4935672514619883
B,AE32_cosine,44,train_f1,0.5435639023780823,0.8462555453678233,0.962358970530226,0.893170545593285,0.9322978892871366,0.9123148869836322,0.558649610825038,0.5812807881773399,0.4573643410852713,0.5119305856832972
B,AE32_cosine,45,fixed_0.5,0.5,0.8497791886243166,0.9636736814246498,0.871887405268856,0.9621664675428117,0.9148049981067777,0.5614634915413032,0.62890625,0.312015503875969,0.4170984455958549
B,AE32_cosine,45,train_f1,0.5490825176239014,0.8497791886243166,0.9636736814246498,0.8848439821693908,0.948626045400239,0.9156256006150298,0.5614634915413032,0.6149253731343284,0.3992248062015504,0.48413631022326675
B,AE32,43,fixed_0.5,0.5,0.8448076525304167,0.9615681336030135,0.8556953179594688,0.9753086419753086,0.9115950120975247,0.536389664307235,0.6242424242424243,0.1996124031007752,0.302496328928047
B,AE32,43,train_f1,0.5921859741210938,0.8448076525304167,0.9615681336030135,0.8747268754552076,0.9565909996017523,0.9138291801407646,0.536389664307235,0.6120996441281139,0.3333333333333333,0.4316185696361355
B,AE32,44,fixed_0.5,0.5,0.8516944050827521,0.9639876735930172,0.8843562874251497,0.9410593389088012,0.9118271271464403,0.5572258504745174,0.5830985915492958,0.4011627906976744,0.4753157290470723
B,AE32,44,train_f1,0.518031120300293,0.8516944050827521,0.9639876735930172,0.8898176291793313,0.9326961369972122,0.9107524790978029,0.5572258504745174,0.5721518987341773,0.437984496124031,0.4961580680570801
B,AE32,45,fixed_0.5,0.5,0.8521567120175106,0.9643705400630334,0.8698309960445882,0.9633612106730386,0.9142101284958428,0.5505163950861773,0.6260162601626016,0.29844961240310075,0.4041994750656168
B,AE32,45,train_f1,0.5385486483573914,0.8521567120175106,0.9643705400630334,0.8766519823788547,0.951015531660693,0.9123209169054441,0.5505163950861773,0.594059405940594,0.3488372093023256,0.43956043956043955
F,AE32_cosine,43,fixed_0.5,0.5,0.8791704098864221,0.9716345041132171,0.9011450381679389,0.94026284348865,0.9202884427986747,0.5979280109064834,0.6314496314496314,0.49806201550387597,0.5568797399783315
F,AE32_cosine,43,train_f1,0.5097604990005493,0.8791704098864221,0.9716345041132171,0.9041201386214863,0.9350856232576663,0.9193422083007048,0.5979280109064834,0.6209302325581395,0.5174418604651163,0.5644820295983086
F,AE32_cosine,44,fixed_0.5,0.5,0.874343971795418,0.9700381745571338,0.9051291939838025,0.9346873755475906,0.9196708463949843,0.5954307066879853,0.6221198156682027,0.5232558139534884,0.5684210526315789
F,AE32_cosine,44,train_f1,0.5402448177337646,0.874343971795418,0.9700381745571338,0.9117415287628053,0.9215452011150936,0.9166171519112696,0.5954307066879853,0.5971370143149284,0.5658914728682171,0.5810945273631841
F,AE32_cosine,45,fixed_0.5,0.5,0.8786093128220327,0.971162132406094,0.9055209953343701,0.9275189167662286,0.9163879598662207,0.5969432166616658,0.6,0.5290697674418605,0.5623069001029866
F,AE32_cosine,45,train_f1,0.417409211397171,0.8786093128220327,0.971162132406094,0.8927904370564064,0.9518120270808443,0.9213569776407093,0.5969432166616658,0.6542857142857142,0.4437984496124031,0.5288683602771362
F,AE32,43,fixed_0.5,0.5,0.8797357518391944,0.9717412942529262,0.9003787878787879,0.9466348068498606,0.9229275868763347,0.6040705961442275,0.6537467700258398,0.4903100775193798,0.5603543743078627
F,AE32,43,train_f1,0.5166695713996887,0.8797357518391944,0.9717412942529262,0.9017517136329017,0.9430505774591796,0.9219388748296671,0.6040705961442275,0.6433915211970075,0.5,0.5627044711014176
F,AE32,44,fixed_0.5,0.5,0.8783299219866696,0.9714127477005556,0.8997341435624763,0.9434488251692553,0.9210730948678072,0.6067362457771236,0.6395939086294417,0.4883720930232558,0.5538461538461539
