model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_real_auroc
qwen3_vl_8b,HALL,1,2593,0.05864759534597397,0.042022936046123505,0.05562290549278259,0.07078538089990616,0.41420387952530685
qwen3_vl_8b,HALL,2,2593,0.047394637018442154,0.03411591053009033,0.043759413063526154,0.05579652264714241,0.41865621674993186
qwen3_vl_8b,HALL,3,2593,0.05143025144934654,0.03843038156628609,0.048092957586050034,0.059977591037750244,0.498605114496433
qwen3_vl_8b,HALL,4,2593,0.05096711963415146,0.039360515773296356,0.04876996949315071,0.060426488518714905,0.39097728977163526
qwen3_vl_8b,HALL,5,2593,0.048721153289079666,0.03532407432794571,0.0443417951464653,0.056922055780887604,0.39970116550321527
qwen3_vl_8b,HALL,6,2593,0.04295666143298149,0.032193511724472046,0.04117780178785324,0.05134335160255432,0.37685581702679855
qwen3_vl_8b,HALL,7,2593,0.05332370847463608,0.0378451868891716,0.04963561147451401,0.06462034583091736,0.40187913525640945
qwen3_vl_8b,HALL,8,2593,0.04589064046740532,0.03396829217672348,0.0431133434176445,0.05532756447792053,0.36184041600349726
qwen3_vl_8b,HALL,9,2593,0.03159579262137413,0.020806388929486275,0.028042130172252655,0.03828626498579979,0.4497933706508754
qwen3_vl_8b,HALL,10,2593,0.050220318138599396,0.034771595150232315,0.046340614557266235,0.060675494372844696,0.41157716339782247
qwen3_vl_8b,HALL,11,2593,0.03312860056757927,0.022798344492912292,0.030022235587239265,0.039699360728263855,0.4229583437493326
qwen3_vl_8b,HALL,12,2593,0.033772971481084824,0.023032652214169502,0.030341947451233864,0.04080828279256821,0.44062354359205624
qwen3_vl_8b,HALL,13,2593,0.03482327610254288,0.025307253003120422,0.03264928609132767,0.041501808911561966,0.3639541153770299
qwen3_vl_8b,HALL,14,2593,0.02845940925180912,0.02064657211303711,0.02625528909265995,0.03347892686724663,0.4525540920116927
qwen3_vl_8b,HALL,15,2593,0.030790764838457108,0.022243682295084,0.02889709360897541,0.03692451864480972,0.4337737469081755
qwen3_vl_8b,HALL,16,2593,0.04927264153957367,0.03673246502876282,0.04555435851216316,0.057085875421762466,0.4591057137042728
qwen3_vl_8b,HALL,17,2593,0.04637312889099121,0.03298331797122955,0.04266485571861267,0.055206410586833954,0.44256595996990145
qwen3_vl_8b,HALL,18,2593,0.0454355925321579,0.03360939398407936,0.042247869074344635,0.0528411865234375,0.4648628040163255
qwen3_vl_8b,HALL,19,2593,0.042890116572380066,0.03165910392999649,0.03979466110467911,0.050119757652282715,0.49837658014373454
qwen3_vl_8b,HALL,20,2593,0.030849510803818703,0.020028715953230858,0.02692054584622383,0.0361483097076416,0.5759546812955452
qwen3_vl_8b,HALL,21,2593,0.02811112068593502,0.017851151525974274,0.024279944598674774,0.03323329612612724,0.559963510503724
qwen3_vl_8b,HALL,22,2593,0.024946793913841248,0.01580931805074215,0.02149876579642296,0.030259940773248672,0.5296310475082626
qwen3_vl_8b,HALL,23,2593,0.03638521581888199,0.024008609354496002,0.03101891465485096,0.04081149771809578,0.5081290645951076
qwen3_vl_8b,HALL,24,2593,0.023734085261821747,0.01356852799654007,0.019719645380973816,0.02828332595527172,0.493854508065438
qwen3_vl_8b,HALL,25,2593,0.03637903556227684,0.023398173972964287,0.03137272223830223,0.04255557060241699,0.40160446692485785
qwen3_vl_8b,HALL,26,2593,0.03342543542385101,0.01937161758542061,0.026476670056581497,0.0357007272541523,0.47732006177996134
qwen3_vl_8b,HALL,27,2593,0.027889885008335114,0.016541441902518272,0.022731218487024307,0.030772095546126366,0.47885154343126257
qwen3_vl_8b,HALL,28,2593,0.03727017343044281,0.022152917459607124,0.029708009213209152,0.04126495122909546,0.44400686953474083
qwen3_vl_8b,HALL,29,2593,0.026640156283974648,0.01436909195035696,0.020275026559829712,0.028543878346681595,0.4740235393209732
qwen3_vl_8b,HALL,30,2593,0.044416025280952454,0.025098059326410294,0.03601441904902458,0.05361983925104141,0.49043965147961627
qwen3_vl_8b,HALL,31,2593,0.04283466935157776,0.02443763241171837,0.03299710527062416,0.04490252211689949,0.48028059759990255
qwen3_vl_8b,HALL,32,2593,0.03654447942972183,0.02113308757543564,0.02890309877693653,0.04064415395259857,0.40811775878681145
qwen3_vl_8b,HALL,33,2593,0.03326483815908432,0.015613839961588383,0.02359107695519924,0.035551369190216064,0.5522777435114081
qwen3_vl_8b,HALL,34,2593,0.03395232558250427,0.021494727581739426,0.02839023806154728,0.0389985553920269,0.5049274167107384
