feature_set,dimensions,formal_ae_ensemble_auroc,ae_cosine_ensemble_auroc,ae_cosine_minus_ae_auroc,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
A,72,0.8789157165834669,0.881924570648835,0.003008854065368105,0.6187363583764115,0.6018219024930849,0.5245478036175711,0.5598404152194286,0.8723924808362584,0.8792167177596868,0.8659634044313549
B,36,0.8484397333901377,0.8482305761625591,-0.00020915722757852695,0.5574863267904512,0.6192209450830141,0.3585271317829457,0.452607820215347,0.843568916920588,0.8385591768312448,0.8383199194860442
F,108,0.8855076423426844,0.8837726406910369,-0.0017350016516475275,0.5989752964811984,0.6410581350721237,0.5006459948320413,0.5615975431295297,0.8835071422176533,0.8781373584136776,0.8759454524124859
C_JS,72,0.8650187238167568,0.865466366591648,0.0004476427748911771,0.5650237113309314,0.5953045913698992,0.4134366925064599,0.487778923725443,0.8441585705068243,0.8460598946032805,0.8532117597300559
D_JS,72,0.8548016633788077,0.8506270086040029,-0.004174654774804831,0.5472872448207257,0.6035187400318979,0.3598191214470284,0.44945002391200384,0.8388061521553228,0.8202092961511983,0.8395108036268326
E_JS,72,0.8645108808066213,0.8686114429842028,0.004100562177581479,0.571867895331728,0.5896220605233736,0.4483204134366925,0.5087382604113069,0.8498633145940805,0.8494214603033474,0.860256730849379
G_JS,216,0.8845868874626064,0.8861420602064096,0.0015551727438032348,0.6086096207536081,0.6342849282287442,0.516795865633075,0.5692561220328751,0.8830085607821709,0.8806244771069311,0.8792205767491256
H_JS,252,0.8945469392039368,0.8926722421346077,-0.0018746970693290788,0.6230094768282829,0.6549714136184662,0.5155038759689923,0.5764470467635973,0.885250247747122,0.8843314223617633,0.8882776249617961
C_OT,72,0.8638818655281104,0.8629533926691548,-0.0009284728589555868,0.5772311485816831,0.5725994145784251,0.48966408268733846,0.527440939748468,0.8493805550152971,0.8514493592533935,0.8574875200281552
D_OT,72,0.866949762131891,0.866678861073293,-0.0002709010585980609,0.5742254722761452,0.6013833992094862,0.4844961240310077,0.5358276562794891,0.8476856868538123,0.8570294579817794,0.8579374781967096
E_OT,72,0.8572297395336488,0.857412655633044,0.00018291609939524722,0.5580877233069034,0.5439452747433837,0.4909560723514212,0.5160923398224808,0.8385499152565918,0.8483382419678993,0.8531511735958682
G_OT,216,0.8919012160447519,0.8903221175664288,-0.0015790984783231599,0.6212724038202645,0.6519773863363603,0.5400516795865634,0.5891621537878398,0.8864191356481095,0.8847586124926294,0.8844664869921185
H_OT,252,0.89744465437347,0.8944659004257238,-0.00297875394774616,0.6297921953989715,0.6522974101921469,0.5219638242894057,0.5798141142403437,0.887052781713947,0.8865372207249342,0.8907157344891778
