model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_union_topk_real_auroc
qwen3_vl_8b,HALL,1,2593,0.0561027005314827,0.0349096916615963,0.051179949194192886,0.07071078568696976,0.4273054427417339
qwen3_vl_8b,HALL,2,2593,0.05001908913254738,0.030931808054447174,0.043812237679958344,0.06244124844670296,0.41665904571440776
qwen3_vl_8b,HALL,3,2593,0.053971730172634125,0.03681930527091026,0.0494660958647728,0.0665440559387207,0.442952932663862
qwen3_vl_8b,HALL,4,2593,0.05270940065383911,0.03689834848046303,0.0492425337433815,0.06512043625116348,0.38608355494811264
qwen3_vl_8b,HALL,5,2593,0.047952137887477875,0.030328284949064255,0.04176216572523117,0.057637769728899,0.3849301897742732
qwen3_vl_8b,HALL,6,2593,0.04051956534385681,0.02611333690583706,0.03737017512321472,0.05087454617023468,0.3663749558759426
qwen3_vl_8b,HALL,7,2593,0.05100923031568527,0.03147532045841217,0.046348508447408676,0.06507505476474762,0.3800134978789047
qwen3_vl_8b,HALL,8,2593,0.04355931282043457,0.027740363031625748,0.03896856680512428,0.054777804762125015,0.37197924504837004
qwen3_vl_8b,HALL,9,2593,0.02570996806025505,0.01360385399311781,0.020961323752999306,0.032392870634794235,0.4741401932790738
qwen3_vl_8b,HALL,10,2593,0.04695652425289154,0.028801359236240387,0.04264139384031296,0.059169963002204895,0.4251462688948321
qwen3_vl_8b,HALL,11,2593,0.028222205117344856,0.01612881012260914,0.024211233481764793,0.03571207821369171,0.43582857756601023
qwen3_vl_8b,HALL,12,2593,0.028666039928793907,0.016802527010440826,0.024747533723711967,0.036237336695194244,0.46180810023478397
qwen3_vl_8b,HALL,13,2593,0.03173639997839928,0.01967041939496994,0.028642550110816956,0.039649102836847305,0.38695595508327985
qwen3_vl_8b,HALL,14,2593,0.02469528838992119,0.015442055650055408,0.0215613953769207,0.030251475051045418,0.44978854997983797
qwen3_vl_8b,HALL,15,2593,0.02832171507179737,0.018363390117883682,0.025455817580223083,0.03480307757854462,0.41797585833068485
qwen3_vl_8b,HALL,16,2593,0.04986371472477913,0.033646680414676666,0.04456280544400215,0.05937761440873146,0.4488586472474754
qwen3_vl_8b,HALL,17,2593,0.04864601790904999,0.03138793632388115,0.04304084926843643,0.06009816750884056,0.4544872125027165
qwen3_vl_8b,HALL,18,2593,0.04638673737645149,0.032494060695171356,0.04209868237376213,0.0551614835858345,0.4541710110281879
qwen3_vl_8b,HALL,19,2593,0.04288426414132118,0.029125167056918144,0.03858911246061325,0.051707714796066284,0.4882432312753831
qwen3_vl_8b,HALL,20,2593,0.028292754665017128,0.015632322058081627,0.02325911447405815,0.03416384384036064,0.5619503963942009
qwen3_vl_8b,HALL,21,2593,0.02576551027595997,0.01439660880714655,0.020938685163855553,0.031106751412153244,0.5524341876337069
qwen3_vl_8b,HALL,22,2593,0.021748825907707214,0.011698891408741474,0.017536157742142677,0.027285467833280563,0.5165308818153611
qwen3_vl_8b,HALL,23,2593,0.03312233090400696,0.01851228065788746,0.02625867910683155,0.03768126666545868,0.49814424578324756
qwen3_vl_8b,HALL,24,2593,0.02143779583275318,0.010626737028360367,0.016638442873954773,0.02592390589416027,0.47028145809753397
qwen3_vl_8b,HALL,25,2593,0.03425140306353569,0.019899357110261917,0.028674056753516197,0.04064908251166344,0.39830299817474
qwen3_vl_8b,HALL,26,2593,0.030687786638736725,0.015010809525847435,0.022384880110621452,0.03347346931695938,0.46719423441462915
qwen3_vl_8b,HALL,27,2593,0.025564732030034065,0.012716230005025864,0.01945141889154911,0.028280438855290413,0.45802979331726235
qwen3_vl_8b,HALL,28,2593,0.03434907644987106,0.017529204487800598,0.025830257683992386,0.037676431238651276,0.45208557617539574
qwen3_vl_8b,HALL,29,2593,0.02326151728630066,0.010130406357347965,0.015706893056631088,0.024868899956345558,0.49027169741637155
qwen3_vl_8b,HALL,30,2593,0.0420837476849556,0.021026765927672386,0.03203145042061806,0.05107686296105385,0.49378689305082213
qwen3_vl_8b,HALL,31,2593,0.040305860340595245,0.02009877935051918,0.02932129055261612,0.04265611246228218,0.48665123214467415
qwen3_vl_8b,HALL,32,2593,0.032610129565000534,0.01600012183189392,0.023857533931732178,0.03625413030385971,0.4175930468022777
qwen3_vl_8b,HALL,33,2593,0.031123686581850052,0.012728760950267315,0.02013561688363552,0.03292599320411682,0.5489023002295079
qwen3_vl_8b,HALL,34,2593,0.029551010578870773,0.016239983960986137,0.02319212071597576,0.03452848643064499,0.5032624794140074
qwen3_vl_8b,HALL,35,2593,0.030077921226620674,0.016116678714752197,0.023572057485580444,0.03536863997578621,0.48313807783672147
qwen3_vl_8b,HALL,36,2593,0.13389703631401062,0.10569827258586884,0.13006730377674103,0.15830715000629425,0.47749883487364503
qwen3_vl_8b,REAL,1,12280,0.050024423748254776,0.029235566034913063,0.04391980543732643,0.06466911733150482,0.4273054427417339
qwen3_vl_8b,REAL,2,12280,0.042435288429260254,0.02678646519780159,0.03759519383311272,0.052718594670295715,0.41665904571440776
qwen3_vl_8b,REAL,3,12280,0.04954724758863449,0.03354431316256523,0.04552683234214783,0.0607682429254055,0.442952932663862
qwen3_vl_8b,REAL,4,12280,0.04463120177388191,0.02997453138232231,0.041186802089214325,0.05547773838043213,0.38608355494811264
qwen3_vl_8b,REAL,5,12280,0.03858908265829086,0.02450697496533394,0.03427042067050934,0.04792654514312744,0.3849301897742732
qwen3_vl_8b,REAL,6,12280,0.032651692628860474,0.01880260556936264,0.02830444648861885,0.04182549566030502,0.3663749558759426
qwen3_vl_8b,REAL,7,12280,0.041344210505485535,0.02328711934387684,0.035513993352651596,0.053050316870212555,0.3800134978789047
qwen3_vl_8b,REAL,8,12280,0.03512769192457199,0.02021673135459423,0.030696824193000793,0.04513132572174072,0.37197924504837004
qwen3_vl_8b,REAL,9,12280,0.024324258789420128,0.012968529015779495,0.019929639995098114,0.03070046380162239,0.4741401932790738
qwen3_vl_8b,REAL,10,12280,0.04075272008776665,0.025233028456568718,0.03683432191610336,0.05187073349952698,0.4251462688948321
qwen3_vl_8b,REAL,11,12280,0.025109607726335526,0.013783873058855534,0.021023795008659363,0.03168688341975212,0.43582857756601023
qwen3_vl_8b,REAL,12,12280,0.02718879096210003,0.015304159373044968,0.022707952186465263,0.03398042172193527,0.46180810023478397
qwen3_vl_8b,REAL,13,12280,0.02601584792137146,0.015196219086647034,0.02237137034535408,0.0327204167842865,0.38695595508327985
qwen3_vl_8b,REAL,14,12280,0.022947175428271294,0.014104303903877735,0.01951625384390354,0.02785867638885975,0.44978854997983797
qwen3_vl_8b,REAL,15,12280,0.025768769904971123,0.015346449799835682,0.021628227084875107,0.031338926404714584,0.41797585833068485
qwen3_vl_8b,REAL,16,12280,0.046112459152936935,0.03114154562354088,0.041336845606565475,0.0551547035574913,0.4488586472474754
qwen3_vl_8b,REAL,17,12280,0.044987428933382034,0.02989467978477478,0.039673011749982834,0.05389460176229477,0.4544872125027165
qwen3_vl_8b,REAL,18,12280,0.0434672012925148,0.030587146058678627,0.03945299983024597,0.05125734955072403,0.4541710110281879
qwen3_vl_8b,REAL,19,12280,0.041671961545944214,0.028870096430182457,0.03820142149925232,0.0503324419260025,0.4882432312753831
qwen3_vl_8b,REAL,20,12280,0.030856236815452576,0.01812431961297989,0.026292983442544937,0.038308944553136826,0.5619503963942009
qwen3_vl_8b,REAL,21,12280,0.027730081230401993,0.016220513731241226,0.023408688604831696,0.03413484990596771,0.5524341876337069
qwen3_vl_8b,REAL,22,12280,0.021859368309378624,0.0124051533639431,0.018406890332698822,0.027215803042054176,0.5165308818153611
qwen3_vl_8b,REAL,23,12280,0.031510185450315475,0.018570465967059135,0.02618284337222576,0.03796498477458954,0.49814424578324756
qwen3_vl_8b,REAL,24,12280,0.01939881220459938,0.010192700661718845,0.01525338739156723,0.023690402507781982,0.47028145809753397
qwen3_vl_8b,REAL,25,12280,0.027359193190932274,0.016838619485497475,0.023613566532731056,0.032993558794260025,0.39830299817474
qwen3_vl_8b,REAL,26,12280,0.027530424296855927,0.014032026752829552,0.020837046205997467,0.03159405663609505,0.46719423441462915
