model,case_id,layer,regions,permutations,median_path_shapley_cosine,median_path_shapley_norm_relative_error,vector_completeness_relative_error
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,8,128,0.9999998211860657,0.0007555211777798831,0.0
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,16,128,0.9999997615814209,0.0007050129352137446,0.0
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,8,128,0.9999724626541138,0.007570480927824974,0.0
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,16,128,0.9999260902404785,0.012378187850117683,0.0
qwen3_vl_8b,qwen3_vl_8b:11360:75:18,18,8,128,0.9999936819076538,0.003604442346841097,0.0
qwen3_vl_8b,qwen3_vl_8b:11360:75:18,18,16,128,0.9999865293502808,0.0052613429725170135,0.0
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,8,128,0.9999958276748657,0.002877539489418268,0.0
qwen3_vl_8b,qwen3_vl_8b:139281:12:18,18,16,128,0.9999908208847046,0.004351922310888767,0.0
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,8,128,0.9999997615814209,0.00040714466013014317,0.0
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,16,128,0.9999999403953552,0.0005051867919974029,0.0
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,8,128,0.9999927282333374,0.003864855505526066,0.0
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,16,128,0.9999901056289673,0.004613854922354221,0.0
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,8,128,0.9999090433120728,0.013561107218265533,0.0
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,16,128,0.9999451637268066,0.010492147877812386,0.0
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,8,128,0.9998902678489685,0.014831515960395336,0.0
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,16,128,0.9999548196792603,0.009645519778132439,0.0
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,8,128,0.9999769330024719,0.006843346171081066,0.0
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,16,128,0.9999767541885376,0.006860875990241766,0.0
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,8,128,0.9999921917915344,0.004107637796550989,0.0
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,16,128,0.9998738765716553,0.017032895237207413,0.0
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,8,128,0.9999930262565613,0.0038302969187498093,0.0
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,16,128,0.9999918937683105,0.004158794414252043,0.0
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,8,128,1.0000001192092896,0.0001922372612170875,0.0
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,16,128,1.0,0.0003768044407479465,0.0
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,8,128,0.9999383687973022,0.011148745194077492,0.0
