model,label,layer,n,mean,median,q25,q75
qwen3_vl_8b,HALL,1,2593,0.1276833862066269,0.12411021441221237,0.09949014335870743,0.15044951438903809
qwen3_vl_8b,HALL,2,2593,0.16753043234348297,0.16127336025238037,0.13263662159442902,0.19796793162822723
qwen3_vl_8b,HALL,3,2593,0.12060551345348358,0.11488232016563416,0.09829925000667572,0.1376347839832306
qwen3_vl_8b,HALL,4,2593,0.15522386133670807,0.14476880431175232,0.12215868383646011,0.17371508479118347
qwen3_vl_8b,HALL,5,2593,0.15816934406757355,0.15349097549915314,0.1299794316291809,0.1826956868171692
qwen3_vl_8b,HALL,6,2593,0.15646973252296448,0.147787407040596,0.1245012879371643,0.17762358486652374
qwen3_vl_8b,HALL,7,2593,0.17241638898849487,0.16610997915267944,0.13538184762001038,0.20386134088039398
qwen3_vl_8b,HALL,8,2593,0.17545482516288757,0.17037734389305115,0.14577795565128326,0.19882526993751526
qwen3_vl_8b,HALL,9,2593,0.19164161384105682,0.1832749843597412,0.15582484006881714,0.21763542294502258
qwen3_vl_8b,HALL,10,2593,0.22513677179813385,0.20323234796524048,0.16686159372329712,0.25420233607292175
qwen3_vl_8b,HALL,11,2593,0.18420682847499847,0.17383234202861786,0.14432470500469208,0.2071424275636673
qwen3_vl_8b,HALL,12,2593,0.20038612186908722,0.18839013576507568,0.15916509926319122,0.22509333491325378
qwen3_vl_8b,HALL,13,2593,0.18417948484420776,0.18069368600845337,0.15314680337905884,0.21105051040649414
qwen3_vl_8b,HALL,14,2593,0.2544226348400116,0.2328258752822876,0.18293923139572144,0.3110436201095581
qwen3_vl_8b,HALL,15,2593,0.23110051453113556,0.22388362884521484,0.18679854273796082,0.26399675011634827
qwen3_vl_8b,HALL,16,2593,0.2724340558052063,0.25385013222694397,0.20051531493663788,0.3372574746608734
qwen3_vl_8b,HALL,17,2593,0.22922185063362122,0.21917542815208435,0.18549631536006927,0.258602112531662
qwen3_vl_8b,HALL,18,2593,0.29625821113586426,0.28891900181770325,0.22725729644298553,0.35527127981185913
qwen3_vl_8b,HALL,19,2593,0.31791356205940247,0.31518322229385376,0.23022311925888062,0.4018338918685913
qwen3_vl_8b,HALL,20,2593,0.29103603959083557,0.28337669372558594,0.22816741466522217,0.3411421775817871
qwen3_vl_8b,HALL,21,2593,0.33026060461997986,0.32657575607299805,0.2581605017185211,0.39852920174598694
qwen3_vl_8b,HALL,22,2593,0.3002808094024658,0.29735344648361206,0.23499785363674164,0.3600570261478424
qwen3_vl_8b,HALL,23,2593,0.27083754539489746,0.2659836411476135,0.22038103640079498,0.30959203839302063
