feature_set,dimensions,formal_ae_ensemble_auroc,old_ev_ensemble_auroc,old_ev_minus_ae_auroc,auroc_ci95_low,auroc_ci95_high,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
A,72,0.8789157165834669,0.872462714444043,-0.006453002139423902,-0.02129734119080936,0.007697306430420182,0.5878751790240218,0.5730832953055175,0.5096899224806202,0.5391817980554617,0.8640258058341744,0.8422892760227093,0.8548583905235567
B,36,0.8484397333901377,0.83498652440888,-0.01345320898125768,-0.03506123359995776,0.007832174866183213,0.5191023516590897,0.6197397513408928,0.3501291989664082,0.4469989415057642,0.8279647072261893,0.822362226359059,0.8231313229541954
F,108,0.8855076423426844,0.8785776691086352,-0.006929973234049203,-0.011432166721679234,-0.002535064264811951,0.5881812413143214,0.6098908864277309,0.49354005167958653,0.5451944560639019,0.8786818618234805,0.8716060187886477,0.8719953908230145
C_JS,72,0.8650187238167568,0.865349053312711,0.0003303294959541292,-0.017132646703107636,0.018682817141313292,0.559043670627236,0.614990710324033,0.4024547803617571,0.48629981866192723,0.8535602264763722,0.8468297629963046,0.8512826509096411
D_JS,72,0.8548016633788077,0.8460652971884948,-0.008736366190312927,-0.028278522873393726,0.010755409444268374,0.5237007591282044,0.5658885551858228,0.42377260981912146,0.4814279565801021,0.8486295956705225,0.809984517734372,0.8293987077016167
E_JS,72,0.8645108808066213,0.8701944004519648,0.005683519645343527,-0.010539565618353553,0.02184622939609925,0.5743442515514833,0.6079972673921022,0.4573643410852713,0.5219027336692642,0.8680526613134766,0.8484019152936382,0.8654235318088781
G_JS,216,0.8845868874626064,0.8835171755901938,-0.0010697118724125598,-0.005596433595022496,0.003533764372990939,0.6036841024963925,0.6418025577807575,0.45671834625323,0.5335892097116705,0.8794135262210614,0.8755776907189761,0.8789288371475585
H_JS,252,0.8945469392039368,0.8879785532802954,-0.0065683859236413955,-0.011459754073992185,-0.0018701417314451643,0.6093425210877822,0.6311011060771716,0.5051679586563308,0.560725428000933,0.8779860860276797,0.8840597495052775,0.8827438341066749
C_OT,72,0.8638818655281104,0.8655867670621359,0.0017049015340254714,-0.014495894468073844,0.01823081081280012,0.5690956316450054,0.6249490626050404,0.44961240310077516,0.5227372322632089,0.8528721686594488,0.8499655778142068,0.8553897733692681
D_OT,72,0.866949762131891,0.8583847350726569,-0.00856502705923412,-0.024598647403818473,0.007636948280346805,0.5469400730641084,0.5766109079606211,0.44315245478036175,0.49568374396423676,0.8311190451933972,0.8424270419456715,0.8421982038719557
E_OT,72,0.8572297395336488,0.8645490848020647,0.007319345268415933,-0.008119645419663757,0.02304607931126071,0.5600305386556627,0.5791708291708292,0.47480620155038755,0.5218084384751052,0.8518356440962092,0.8532958856998201,0.8577128850113763
G_OT,216,0.8919012160447519,0.8850561405783545,-0.0068450754663974545,-0.012047269602919056,-0.0014665341849665744,0.6026739670874334,0.6322177052933591,0.5064599483204134,0.561922750860761,0.8768009903710496,0.8786691271583327,0.8806132860375588
H_OT,252,0.89744465437347,0.8864368869995277,-0.011007767373942268,-0.016065814263625584,-0.006136038872155392,0.6082219233748369,0.6456121555802576,0.4728682170542636,0.5445772767671934,0.8787335722819594,0.8800888493728369,0.878169388026019
