model,label,layer,n_mentions,mean,q25,median,q75,raw_log1p_strength_real_auroc
qwen3_vl_8b,HALL,1,2593,0.3756062686443329,0.22137229144573212,0.3307850956916809,0.4828909635543823,0.6751767631722088
qwen3_vl_8b,HALL,2,2593,0.07905092090368271,0.03721826896071434,0.05428692698478699,0.08828824013471603,0.6679324408863252
qwen3_vl_8b,HALL,3,2593,0.3115845024585724,0.17308643460273743,0.24349771440029144,0.3733242452144623,0.6712036351942274
qwen3_vl_8b,HALL,4,2593,0.23947003483772278,0.10837382823228836,0.16870318353176117,0.30372655391693115,0.6220256616724306
qwen3_vl_8b,HALL,5,2593,0.27440550923347473,0.09547793120145798,0.19764481484889984,0.38264769315719604,0.6698093463860983
qwen3_vl_8b,HALL,6,2593,0.4769067168235779,0.2836903929710388,0.4188396632671356,0.6061722636222839,0.7178309084468206
qwen3_vl_8b,HALL,7,2593,0.5517841577529907,0.24112370610237122,0.4710127115249634,0.806105375289917,0.6924620093436225
qwen3_vl_8b,HALL,8,2593,0.4953676462173462,0.3144991397857666,0.4619288444519043,0.6325348019599915,0.697131999080461
qwen3_vl_8b,HALL,9,2593,1.626452088356018,1.329637050628662,1.6620453596115112,1.9487404823303223,0.6540279297431948
qwen3_vl_8b,HALL,10,2593,1.9794948101043701,1.6720435619354248,2.0390045642852783,2.3312675952911377,0.6427600116072965
qwen3_vl_8b,HALL,11,2593,1.7684537172317505,1.4912443161010742,1.806028962135315,2.081266164779663,0.6677346991587222
qwen3_vl_8b,HALL,12,2593,1.8339934349060059,1.5990482568740845,1.8726544380187988,2.104250907897949,0.6493593061248588
qwen3_vl_8b,HALL,13,2593,1.6323002576828003,1.4096953868865967,1.6296803951263428,1.8457727432250977,0.7354214585497663
qwen3_vl_8b,HALL,14,2593,2.2923343181610107,2.0584158897399902,2.3347792625427246,2.6103875637054443,0.6032508752579923
qwen3_vl_8b,HALL,15,2593,2.0620622634887695,1.8594741821289062,2.1136889457702637,2.325920820236206,0.6995969479342403
qwen3_vl_8b,HALL,16,2593,2.4275765419006348,2.236412286758423,2.4923129081726074,2.700822591781616,0.5937309292997559
qwen3_vl_8b,HALL,17,2593,2.1667892932891846,1.9415379762649536,2.200026750564575,2.41903018951416,0.7019969354978512
qwen3_vl_8b,HALL,18,2593,2.4618518352508545,2.280477523803711,2.530668020248413,2.7168002128601074,0.631636069799548
qwen3_vl_8b,HALL,19,2593,2.7039742469787598,2.540086030960083,2.786128520965576,2.9411776065826416,0.6399398562403666
qwen3_vl_8b,HALL,20,2593,2.25602388381958,1.9399323463439941,2.330338954925537,2.6214518547058105,0.6758534472037596
qwen3_vl_8b,HALL,21,2593,2.51301646232605,2.24001407623291,2.633380889892578,2.8890960216522217,0.6630523201402925
