model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_top32_real_auroc
qwen3_vl_8b,HALL,1,2593,0.24398347735404968,0.2061072289943695,0.23854877054691315,0.2744062542915344,0.5557361274591703
qwen3_vl_8b,HALL,2,2593,0.2704448699951172,0.2190670669078827,0.2659400701522827,0.315768837928772,0.5964898762767712
qwen3_vl_8b,HALL,3,2593,0.23271097242832184,0.19610899686813354,0.22405970096588135,0.259285569190979,0.5887899456190621
qwen3_vl_8b,HALL,4,2593,0.2708304822444916,0.22032278776168823,0.2544436752796173,0.30053940415382385,0.6045881325442717
qwen3_vl_8b,HALL,5,2593,0.27140432596206665,0.22675956785678864,0.26412779092788696,0.30825433135032654,0.6378798594562408
qwen3_vl_8b,HALL,6,2593,0.2724614143371582,0.2235259711742401,0.25795599818229675,0.30473458766937256,0.6500424752936684
qwen3_vl_8b,HALL,7,2593,0.29310303926467896,0.23328568041324615,0.2790012061595917,0.33451053500175476,0.6677186197869233
qwen3_vl_8b,HALL,8,2593,0.2943236827850342,0.24548327922821045,0.2833060920238495,0.33141687512397766,0.632936080728496
qwen3_vl_8b,HALL,9,2593,0.37758752703666687,0.2972378730773926,0.3648459017276764,0.44905775785446167,0.5376982913155062
qwen3_vl_8b,HALL,10,2593,0.40470993518829346,0.3127046525478363,0.3905527889728546,0.4833972454071045,0.5045382770701876
qwen3_vl_8b,HALL,11,2593,0.361977219581604,0.28741830587387085,0.34926655888557434,0.42122501134872437,0.5348869450575402
qwen3_vl_8b,HALL,12,2593,0.39786434173583984,0.31642767786979675,0.3845878541469574,0.4648109972476959,0.5277431502504236
qwen3_vl_8b,HALL,13,2593,0.3518202602863312,0.2853351831436157,0.340455025434494,0.40668725967407227,0.5871784596715537
qwen3_vl_8b,HALL,14,2593,0.47420087456703186,0.38545921444892883,0.47111204266548157,0.5613374710083008,0.4951820926046196
qwen3_vl_8b,HALL,15,2593,0.47864481806755066,0.39119821786880493,0.473703533411026,0.5658325552940369,0.5462133079413254
qwen3_vl_8b,HALL,16,2593,0.49237796664237976,0.4041711390018463,0.4876119792461395,0.5823004841804504,0.4979350412222332
qwen3_vl_8b,HALL,17,2593,0.4236525297164917,0.3485093116760254,0.4166293144226074,0.4947216808795929,0.5167955319445614
qwen3_vl_8b,HALL,18,2593,0.5470159649848938,0.458048939704895,0.5512315630912781,0.6372981667518616,0.5015575478204286
qwen3_vl_8b,HALL,19,2593,0.5124558806419373,0.42407798767089844,0.5120239853858948,0.5975039601325989,0.44493353754972986
qwen3_vl_8b,HALL,20,2593,0.5390041470527649,0.4459623396396637,0.5424010157585144,0.6344003081321716,0.4698648547643305
qwen3_vl_8b,HALL,21,2593,0.5784794092178345,0.4851636290550232,0.5866225957870483,0.6780481934547424,0.4693888174250142
qwen3_vl_8b,HALL,22,2593,0.6164509057998657,0.5256842970848083,0.635189950466156,0.7205504179000854,0.4861335517448003
qwen3_vl_8b,HALL,23,2593,0.5217673778533936,0.44409433007240295,0.5256555676460266,0.6065254211425781,0.48681532339008426
qwen3_vl_8b,HALL,24,2593,0.6239570379257202,0.5365028381347656,0.640277624130249,0.7241857647895813,0.46081011141245976
qwen3_vl_8b,HALL,25,2593,0.6009154319763184,0.5267306566238403,0.613997757434845,0.6883383393287659,0.46039587915849617
qwen3_vl_8b,HALL,26,2593,0.5946696996688843,0.5087157487869263,0.6095426678657532,0.6926618814468384,0.558529557151489
qwen3_vl_8b,HALL,27,2593,0.610184371471405,0.532760739326477,0.6190428137779236,0.6968778967857361,0.4998557724316658
qwen3_vl_8b,HALL,28,2593,0.6036165356636047,0.5234307050704956,0.6182101368904114,0.6962754726409912,0.5680629287570771
qwen3_vl_8b,HALL,29,2593,0.6755289435386658,0.591808557510376,0.7008059620857239,0.7765113115310669,0.5661627835402506
qwen3_vl_8b,HALL,30,2593,0.6462600827217102,0.5718681216239929,0.6606594920158386,0.7379144430160522,0.4971384371101852
qwen3_vl_8b,HALL,31,2593,0.6195446252822876,0.5472874045372009,0.6335737109184265,0.7113750576972961,0.5386480420224332
qwen3_vl_8b,HALL,32,2593,0.6897841691970825,0.6162266731262207,0.7131909132003784,0.7883089184761047,0.5463701917339467
