model,source_mode,label,layer,n_samples,n_tokens,n_visual_mean,n_visual_min,n_visual_max,token_mean,token_std,max_row_sum_error,p50_mean,p50_std,p50_sem,p90_mean,p90_std,p90_sem,p99_mean,p99_std,p99_sem,pmax_mean,pmax_std,pmax_sem,relative_p50_mean,relative_p50_std,relative_p50_sem,relative_p90_mean,relative_p90_std,relative_p90_sem,relative_p99_mean,relative_p99_std,relative_p99_sem,relative_pmax_mean,relative_pmax_std,relative_pmax_sem,top1_mass_mean,top1_mass_std,top1_mass_sem,top5_mass_mean,top5_mass_std,top5_mass_sem,top10_mass_mean,top10_mass_std,top10_mass_sem,top32_mass_mean,top32_mass_std,top32_mass_sem,normalized_entropy_mean,normalized_entropy_std,normalized_entropy_sem,effective_token_fraction_mean,effective_token_fraction_std,effective_token_fraction_sem,mass_above_uniform_mean,mass_above_uniform_std,mass_above_uniform_sem,fraction_above_uniform_mean,fraction_above_uniform_std,fraction_above_uniform_sem
qwen3_vl_8b,hmid_cos,hall,24,2593,700851,270.2857694,70,400,0.003699787829,0.003566935281,1.365551725e-07,0.002302027142,0.001120378248,2.200206332e-05,0.009142416798,0.002676569135,5.256264452e-05,0.01325405223,0.004248165436,8.342575826e-05,0.01574880785,0.005324510507,0.0001045630951,0.5867633338,0.1859836244,0.003652358913,2.367652833,0.4029493112,0.007913145647,3.444951493,0.8117812897,0.01594181551,4.110337902,1.144685149,0.02247940387,0.01574880785,0.005324510507,0.0001045630951,0.0692425323,0.02111491963,0.0004146562103,0.1278013001,0.03700867653,0.0007267788764,0.3407159634,0.08610501658,0.001690936101,0.9314624399,0.02830438075,0.0005558433309,0.6910970514,0.1086080664,0.002132852506,0.7501972515,0.07788138272,0.001529439827,0.3773499441,0.0568502671,0.001116429365
qwen3_vl_8b,hmid_cos,hall,25,2593,700851,270.2857694,70,400,0.003699787829,0.003906119912,1.322623575e-07,0.002103930354,0.00112260415,2.204577572e-05,0.009684731065,0.002672542976,5.248357854e-05,0.01459947883,0.004479383741,8.796643888e-05,0.01787585147,0.006059447241,0.0001189958321,0.5333011409,0.1854603157,0.003642082141,2.514802636,0.4245663221,0.00833766196,3.805456538,0.8914967334,0.01750727275,4.681070326,1.397613864,0.02744643497,0.01787585147,0.006059447241,0.0001189958321,0.0768403948,0.02247892289,0.0004414425981,0.1404351951,0.03875343708,0.0007610426013,0.3679125212,0.08843689988,0.001736729782,0.918431195,0.03013950287,0.0005918815825,0.6436538018,0.1094245872,0.002148887396,0.7704040032,0.07304262959,0.001434416068,0.3629622947,0.05828076595,0.001144521598
qwen3_vl_8b,hmid_cos,hall,26,2593,700851,270.2857694,70,400,0.003699787829,0.003006440799,1.617227099e-07,0.002887133747,0.001115040986,2.189724981e-05,0.008163194037,0.002185914064,4.292712726e-05,0.011493009,0.003420902411,6.71799114e-05,0.01355705254,0.004263861351,8.373399571e-05,0.7367825337,0.1423171102,0.002794832973,2.117715457,0.3071127152,0.006031100137,2.989836601,0.6219461216,0.01221381973,3.540657473,0.9060723429,0.01779350955,0.01355705254,0.004263861351,8.373399571e-05,0.05988116621,0.01680012278,0.00032992194,0.1109585078,0.02934423984,0.0005762641537,0.3001687659,0.06989888815,0.001372679062,0.950175169,0.01972524231,0.0003873656338,0.7619909541,0.08281828749,0.001626391094,0.7103965546,0.0604129208,0.001186392998,0.3978908398,0.05295681625,0.001039969516
qwen3_vl_8b,hmid_cos,hall,27,2593,700851,270.2857694,70,400,0.003699787829,0.002293797451,1.430162229e-07,0.003549612828,0.0010225054,2.008002975e-05,0.006839195512,0.001841704958,3.616752571e-05,0.009520885737,0.002765427827,5.430765748e-05,0.01128905339,0.003513964975,6.900748029e-05,0.9138830411,0.07069848206,0.001388381541,1.768227439,0.1933160698,0.003796353967,2.466511524,0.4207617415,0.00826294735,2.935610114,0.6707686261,0.01317259935,0.01128905339,0.003513964975,6.900748029e-05,0.04970876691,0.01359961034,0.0002670700617,0.0922079993,0.02388025524,0.000468962057,0.2502034679,0.05732157358,0.001125684913,0.9713122849,0.01113482988,0.0002186665373,0.8538932696,0.05186142951,0.001018458237,0.6740310936,0.03796175273,0.0007454954507,0.4490467719,0.0367196941,0.0007211038199
qwen3_vl_8b,hmid_cos,hall,28,2593,700851,270.2857694,70,400,0.003699787829,0.002145904122,1.423177309e-07,0.003722794368,0.001018221731,1.999590677e-05,0.006414303158,0.001727221701,3.391929581e-05,0.009355587432,0.002779711221,5.458815573e-05,0.0113701302,0.003594313322,7.058536652e-05,0.9591675168,0.0485686189,0.0009537938013,1.657433398,0.1545561201,0.003035183471,2.423357158,0.434336617,0.008529531669,2.958130162,0.7032713957,0.01381089092,0.0113701302,0.003594313322,7.058536652e-05,0.04917140752,0.01357530698,0.0002665927906,0.08977660508,0.02296533661,0.0004509948234,0.2383741788,0.05298413183,0.001040505941,0.9749187237,0.009065919189,0.0001780371302,0.8706796988,0.0434594144,0.0008534589,0.6738853015,0.04184888265,0.0008218311693,0.4705401597,0.03573995644,0.0007018636659
qwen3_vl_8b,hmid_cos,hall,29,2593,700851,270.2857694,70,400,0.003699787829,0.002267739725,1.288499334e-07,0.003651243073,0.0009833423388,1.931094292e-05,0.006591198285,0.001813740851,3.561836469e-05,0.009958559271,0.003226032929,6.335305141e-05,0.01228761725,0.004323167152,8.4898647e-05,0.9415326597,0.05291360153,0.001039120862,1.70126994,0.173938281,0.00341581165,2.575862279,0.5084344775,0.009984670432,3.190841629,0.8337218944,0.01637268658,0.01228761725,0.004323167152,8.4898647e-05,0.05251379185,0.0154880721,0.0003041558005,0.09525795617,0.02577275859,0.0005061271649,0.2488118458,0.05742628714,0.001127741285,0.972279317,0.01059842358,0.0002081325544,0.8584316089,0.0499368034,0.0009806623005,0.6704484868,0.04277405855,0.0008399998358,0.457550562,0.03711161678,0.0007288004239
qwen3_vl_8b,hmid_cos,hall,30,2593,700851,270.2857694,70,400,0.003699787829,0.002502080858,1.381995389e-07,0.003455163621,0.0009151187401,1.797116331e-05,0.006789572751,0.002011549597,3.950294614e-05,0.01161627644,0.003920972059,7.700031275e-05,0.01505465058,0.005528790577,0.0001085747608,0.8925172061,0.06493233397,0.001275145537,1.748164799,0.192076363,0.003772008523,3.001005253,0.663709983,0.01303398124,3.910760445,1.153044925,0.02264357371,0.01505465058,0.005528790577,0.0001085747608,0.06214829259,0.01923957503,0.0003778280672,0.1100558141,0.03124856475,0.0006136614141,0.2712227457,0.06320966166,0.001241315583,0.9683224463,0.01244535817,0.0002444027799,0.840312986,0.05648047359,0.001109167335,0.6408325407,0.05117300131,0.001004938838,0.4168220862,0.0465071099,0.0009133097491
qwen3_vl_8b,hmid_cos,hall,31,2593,700851,270.2857694,70,400,0.003699787829,0.002732011973,1.421212801e-07,0.003360071966,0.0008879719796,1.74380534e-05,0.007021043561,0.002178623447,4.278395364e-05,0.01263134594,0.004773655749,9.374537235e-05,0.01665804582,0.006872453303,0.0001349616997,0.8692439992,0.07883321365,0.001548131947,1.804396006,0.2153826147,0.00422969826,3.251871475,0.8329766476,0.01635805137,4.312360475,1.417350107,0.02783401663,0.01665804582,0.006872453303,0.0001349616997,0.06777691906,0.02344979228,0.0004605085965,0.1188318503,0.03736464257,0.0007337693614,0.286191595,0.07179799188,0.001409973789,0.9629613138,0.01591387647,0.0003125177754,0.8168967734,0.0696954668,0.00136868426,0.6525426374,0.05165101857,0.001014326173,0.4098917404,0.04712066863,0.0009253588566
qwen3_vl_8b,hmid_cos,hall,32,2593,700851,270.2857694,70,400,0.003699787829,0.002248804035,1.267471816e-07,0.003548687228,0.000919865654,1.806438352e-05,0.00652065848,0.001993356078,3.914566059e-05,0.009939503903,0.00417992043,8.208555827e-05,0.01219923628,0.005578016429,0.0001095414614,0.918393609,0.07175273451,0.001409085021,1.677713034,0.2158601977,0.004239077067,2.547441496,0.7051388734,0.01384756457,3.134055988,1.069149826,0.02099603611,0.01219923628,0.005578016429,0.0001095414614,0.05223324456,0.02055900118,0.0004037390466,0.09480583432,0.03371682388,0.0006621332528,0.2463341274,0.06941164579,0.001363110564,0.9743391435,0.0139732114,0.0002744068644,0.8695306428,0.06450542923,0.001266761953,0.6476595068,0.04246583798,0.0008339469797,0.4438092841,0.04220288146,0.0008287830218
qwen3_vl_8b,hmid_cos,hall,33,2593,700851,270.2857694,70,400,0.003699787829,0.002006959234,1.458101906e-07,0.003735556562,0.0009318558196,1.82998472e-05,0.006238773079,0.001928391064,3.786987329e-05,0.008572109409,0.003198896755,6.282014941e-05,0.009931706002,0.003911978653,7.682369964e-05,0.967285303,0.0556941408,0.001093725279,1.602783927,0.1793764066,0.003522605924,2.196336689,0.4797417974,0.009421201651,2.548868461,0.6664071645,0.01308694867,0.009931706002,0.003911978653,7.682369964e-05,0.0443695575,0.01571174796,0.0003085483622,0.08263883446,0.02747646921,0.0005395847485,0.2255540486,0.06302235862,0.001237637313,0.9787519203,0.01035564078,0.0002033647695,0.8900063767,0.04945444617,0.0009711897368,0.664849211,0.03662260751,0.0007191972269,0.4789368665,0.03998291587,0.0007851871883
