model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,HALL_F1_mean,HALL_F1_std
llava_1_5_7b,visual,three_hidden,0.9004371371538801,0.0019524822134643688,0.7068837085904457,0.006138056815504913,0.6744390767579173,0.006233538000041703
llava_1_5_7b,visual,one_hidden,0.8902429613664439,0.0012377131812832869,0.6870375945867803,0.0013725680727366962,0.6065854634896825,0.01722916587697797
llava_1_5_7b,visual,xgb,0.897110137380175,1.1102230246251565e-16,0.6987835969621115,0.0,0.6381025248661056,0.0
llava_1_5_7b,visual_prompt_sum,three_hidden,0.8958847103086159,0.0024019870032718784,0.7013287791111565,0.0012157831441955598,0.6416554766216341,0.0015016031134420205
llava_1_5_7b,visual_prompt_sum,one_hidden,0.8733027632493032,0.002975631398218414,0.6624446660408183,0.006417450629452565,0.5923409286312572,0.006669906417238186
llava_1_5_7b,visual_prompt_sum,xgb,0.8903736645844824,0.0,0.6956621339642001,0.0,0.6203125,0.0
llava_1_5_7b,generation,three_hidden,0.8755338816502135,0.002459485245433974,0.64631779230915,0.009709070207421702,0.6009861398468773,0.013169864195195292
llava_1_5_7b,generation,one_hidden,0.8669908106474025,0.001547134702937812,0.6410521270795102,0.002609793067331849,0.45620520700092015,0.015378796777230192
llava_1_5_7b,generation,xgb,0.8789946713600214,0.0,0.6521108010657856,0.0,0.5511551155115512,0.0
llava_1_5_7b,vp_generation,three_hidden,0.8984963631709006,0.003597751687737556,0.7047695916840501,0.01230273568639991,0.6537526963014219,0.003163971992249772
llava_1_5_7b,vp_generation,one_hidden,0.8944980986781323,0.0020015513407871397,0.7089109959515065,0.002435418811060687,0.6179992142223178,0.00957942023906486
llava_1_5_7b,vp_generation,xgb,0.9034614456373967,0.0,0.7165537623881498,0.0,0.6458492003046459,0.0
llava_1_5_7b,ae_only_visual,three_hidden,0.868312601198534,0.004972550320000961,0.6401591869019104,0.0068634357010753985,0.5555959365389128,0.03376122018673961
llava_1_5_7b,ae_only_visual,one_hidden,0.8426688227392347,0.0013081684330652399,0.5921479804528457,0.0025732663865241315,0.4441014719809642,0.017381731212672873
llava_1_5_7b,ae_only_visual,xgb,0.8617019121639649,0.0,0.6429536872919506,0.0,0.5694656488549619,0.0
llava_1_5_7b,ae_only_visual_prompt_sum,three_hidden,0.8582440162523423,0.00239769332105425,0.6107334711629929,0.009939629382490607,0.5141938748997269,0.020433815674724125
llava_1_5_7b,ae_only_visual_prompt_sum,one_hidden,0.8467641259311519,0.0029858654484590007,0.6047029747913403,0.0013856649720759761,0.4944328339557121,0.02744116005742603
llava_1_5_7b,ae_only_visual_prompt_sum,xgb,0.865790559620056,1.1102230246251565e-16,0.6330381367426043,0.0,0.5939123979213066,0.0
llava_1_5_7b,ae_only_generation,three_hidden,0.8207605518974731,0.0037272263544607014,0.556694103062179,0.0056467192560859395,0.4750274169813697,0.02036481902856955
llava_1_5_7b,ae_only_generation,one_hidden,0.7949157509242308,0.0036280118421098215,0.5019797781908347,0.008072403417703032,0.29495692413055774,0.027405134739175063
llava_1_5_7b,ae_only_generation,xgb,0.8022048427133873,0.0,0.5328263575108249,0.0,0.4836702954898911,5.551115123125783e-17
llava_1_5_7b,ae_only_vp_generation,three_hidden,0.8670986528597767,0.0013536590607860087,0.636203719049194,0.005409760272742507,0.5519241660298253,0.003759277519156764
llava_1_5_7b,ae_only_vp_generation,one_hidden,0.8533476132627787,0.003357626654899793,0.6224300150331011,0.0034487351632811686,0.5127110121803096,0.03294134757671078
llava_1_5_7b,ae_only_vp_generation,xgb,0.8709195275237827,0.0,0.6571506635319897,0.0,0.5602605863192183,0.0
