model,feature,input_dim,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,prompt_within_source_kappa,28,0.8344023848071339,0.0008537347071398203,0.36125978992608326,0.004004378819759794
qwen2_5_vl_7b,generation_within_source_kappa,28,0.8123095109603474,0.0006137119598806949,0.3010198341240214,0.006523545646650238
qwen2_5_vl_7b,b1_residual_visual_generation_balance,28,0.8125202374527793,0.0023736598975738197,0.3722640417164948,0.010089221791424921
qwen2_5_vl_7b,b1_delta_residual_generation_cos,28,0.8450132346516588,0.0024958274046109476,0.329964192668137,0.011158496322060585
qwen2_5_vl_7b,visual_context_relative_change,28,0.7881530593888932,0.00245565476954932,0.3105284716638721,0.004395226962809674
qwen2_5_vl_7b,five_concat,140,0.8554005088273842,0.003065269524125105,0.4101295939591323,0.0064111172991491395
qwen2_5_vl_7b,generation_kappa_plus_position,29,0.8202220337676356,0.0031301922828867053,0.31710781776072117,0.011097106294796955
qwen2_5_vl_7b,position,1,0.7357643975021202,0.0,0.20355246110889644,2.7755575615628914e-17
llava_1_5_7b,prompt_within_source_kappa,32,0.8735111332831202,0.0003193110374914841,0.5989697355867848,0.0003985458937825511
llava_1_5_7b,generation_within_source_kappa,32,0.8679273736276993,0.0012969397241481351,0.6455836059058385,0.005741781465563343
llava_1_5_7b,b1_residual_visual_generation_balance,32,0.881693582833648,0.0011808900513216943,0.6391822404485614,0.0044739767716250435
llava_1_5_7b,b1_delta_residual_generation_cos,32,0.8865396340966374,0.0014312869472896577,0.6686281387600461,0.0011728696684690722
llava_1_5_7b,visual_context_relative_change,32,0.8699848056525581,0.0022644823974705035,0.6237352359036171,0.004386501856884901
llava_1_5_7b,five_concat,160,0.9007704773177085,0.0010645612763006637,0.6839142524201733,0.004963994435680841
llava_1_5_7b,generation_kappa_plus_position,33,0.8677716804752635,0.0009183871790592564,0.642000460677635,0.002395690175814769
llava_1_5_7b,position,1,0.8143322475570033,0.0,0.5076795820518627,0.0
qwen3_vl_8b,prompt_within_source_kappa,36,0.8756853994490359,0.00042363593011645576,0.5782076075114838,0.0015884485702058616
qwen3_vl_8b,generation_within_source_kappa,36,0.8390997245179065,0.0007746000003524487,0.5325952815037043,0.0016916126603019872
qwen3_vl_8b,b1_residual_visual_generation_balance,36,0.8466038567493112,0.002041948502938307,0.5790103503416236,0.004102078924870209
qwen3_vl_8b,b1_delta_residual_generation_cos,36,0.8464573002754822,0.00044174273127720206,0.5488426056202117,0.004573523254713318
qwen3_vl_8b,visual_context_relative_change,36,0.836435261707989,0.001992020753138368,0.5087813008929101,0.019046435254242766
qwen3_vl_8b,five_concat,180,0.9077013774104685,0.0016335314184555366,0.6695294947322269,0.005588436907213422
qwen3_vl_8b,generation_kappa_plus_position,37,0.8398082644628099,0.0018178231552077784,0.5299431843533428,0.0009753612536644979
qwen3_vl_8b,position,1,0.6591300275482094,0.00044102472056528966,0.22458376786774784,0.0008935678792638933
internvl_2_5_8b,prompt_within_source_kappa,32,0.8536755349913244,0.001980579579157639,0.48701013273061716,0.0035999883843231967
internvl_2_5_8b,generation_within_source_kappa,32,0.79341334104492,0.0024955905589938254,0.4208615067077452,0.008214361504698982
internvl_2_5_8b,b1_residual_visual_generation_balance,32,0.8238201272411798,0.0031466356634576097,0.4741780339556741,0.005718514641008238
internvl_2_5_8b,b1_delta_residual_generation_cos,32,0.8286495083863504,0.003490321540829612,0.4874459338274333,0.014293298999108806
internvl_2_5_8b,visual_context_relative_change,32,0.8121563524195103,0.002270599070382354,0.46127313636017503,0.0075431598032943735
internvl_2_5_8b,five_concat,160,0.8744023520339309,0.002731903722800241,0.5611793045542651,0.006566527810398965
internvl_2_5_8b,generation_kappa_plus_position,33,0.8046105648737227,0.0008575001763738299,0.4372757732383166,0.007683768796561572
internvl_2_5_8b,position,1,0.7048756506651244,0.0,0.27158718510165125,0.0
