ci95_high,ci95_low,difference,left,metric,model,right,valid_replicates
0.1383356217141069,0.05893760110161864,0.09863798730501372,prompt_within_source_kappa,AUROC,qwen2_5_vl_7b,position,2000
0.23890669072653856,0.0750631709949839,0.15770732881718683,prompt_within_source_kappa,HALL_AUPR,qwen2_5_vl_7b,position,2000
0.12654815006842046,0.030358338205647116,0.07654511345822723,generation_within_source_kappa,AUROC,qwen2_5_vl_7b,position,2000
0.19108768043050037,0.014705267609865551,0.09746737301512495,generation_within_source_kappa,HALL_AUPR,qwen2_5_vl_7b,position,2000
0.1294153470462211,0.027854958487670757,0.07675583995065915,b1_residual_visual_generation_balance,AUROC,qwen2_5_vl_7b,position,2000
0.275584546802404,0.062087310561972225,0.16871158060759836,b1_residual_visual_generation_balance,HALL_AUPR,qwen2_5_vl_7b,position,2000
0.15763142642192263,0.06649310540570744,0.10924883714953859,b1_delta_residual_generation_cos,AUROC,qwen2_5_vl_7b,position,2000
0.20676832726123973,0.04632739383356294,0.12641173155924054,b1_delta_residual_generation_cos,HALL_AUPR,qwen2_5_vl_7b,position,2000
0.10052069312198994,0.002811141586752092,0.05238866188677305,visual_context_relative_change,AUROC,qwen2_5_vl_7b,position,2000
0.18114802464755114,0.030298683135937317,0.10697601055497566,visual_context_relative_change,HALL_AUPR,qwen2_5_vl_7b,position,2000
0.023220408935057703,-0.006996758674164025,0.007912522807288158,generation_kappa_plus_position,AUROC,qwen2_5_vl_7b,generation_within_source_kappa,2000
0.04749231170210847,-0.021706319427141876,0.016087983636699776,generation_kappa_plus_position,HALL_AUPR,qwen2_5_vl_7b,generation_within_source_kappa,2000
0.1282811118624983,0.04365587657294621,0.08445763626551539,generation_kappa_plus_position,AUROC,qwen2_5_vl_7b,position,2000
0.19988961131107313,0.03462197872852691,0.11355535665182473,generation_kappa_plus_position,HALL_AUPR,qwen2_5_vl_7b,position,2000
0.04559659230128417,-0.0028982937670637586,0.020998124020250253,five_concat,AUROC,qwen2_5_vl_7b,prompt_within_source_kappa,2000
0.12970948620083675,-0.022551734780364444,0.048869804033049025,five_concat,HALL_AUPR,qwen2_5_vl_7b,prompt_within_source_kappa,2000
0.07855892011503238,0.005835636716347315,0.04309099786703674,five_concat,AUROC,qwen2_5_vl_7b,generation_within_source_kappa,2000
0.18205242155310553,0.026113460167558264,0.1091097598351109,five_concat,HALL_AUPR,qwen2_5_vl_7b,generation_within_source_kappa,2000
0.07491270668163512,0.010993630912410629,0.04288027137460482,five_concat,AUROC,qwen2_5_vl_7b,b1_residual_visual_generation_balance,2000
0.12504022417505212,-0.045754749428233134,0.03786555224263749,five_concat,HALL_AUPR,qwen2_5_vl_7b,b1_residual_visual_generation_balance,2000
0.03769481223184149,-0.019511165488805667,0.01038727417572538,five_concat,AUROC,qwen2_5_vl_7b,b1_delta_residual_generation_cos,2000
0.14775786790482454,0.011983195113822146,0.08016540129099531,five_concat,HALL_AUPR,qwen2_5_vl_7b,b1_delta_residual_generation_cos,2000
0.10356238919302137,0.03345851184317108,0.06724744943849092,five_concat,AUROC,qwen2_5_vl_7b,visual_context_relative_change,2000
0.18177257564643584,0.02250941933461503,0.09960112229526019,five_concat,HALL_AUPR,qwen2_5_vl_7b,visual_context_relative_change,2000
0.16613706914092377,0.07426089152903045,0.11963611132526397,five_concat,AUROC,qwen2_5_vl_7b,position,2000
0.29786473262990854,0.11414318483400998,0.20657713285023585,five_concat,HALL_AUPR,qwen2_5_vl_7b,position,2000
0.07776218722016003,0.040552447340362396,0.05917888572611696,prompt_within_source_kappa,AUROC,llava_1_5_7b,position,2000
0.1509250543556922,0.03156136847983676,0.09129015353492209,prompt_within_source_kappa,HALL_AUPR,llava_1_5_7b,position,2000
0.0688010405027315,0.036837654919939164,0.05359512607069605,generation_within_source_kappa,AUROC,llava_1_5_7b,position,2000
0.18585600530066676,0.08830860773095058,0.13790402385397582,generation_within_source_kappa,HALL_AUPR,llava_1_5_7b,position,2000
0.08489280937304221,0.04889165287507417,0.06736133527664467,b1_residual_visual_generation_balance,AUROC,llava_1_5_7b,position,2000
0.18725577325598491,0.07364409980380433,0.13150265839669872,b1_residual_visual_generation_balance,HALL_AUPR,llava_1_5_7b,position,2000
0.0888187725334805,0.05491044029663408,0.0722073865396341,b1_delta_residual_generation_cos,AUROC,llava_1_5_7b,position,2000
0.21056227993814805,0.1082917314140605,0.16094855670818342,b1_delta_residual_generation_cos,HALL_AUPR,llava_1_5_7b,position,2000
0.07261200814012178,0.03811334646889219,0.055652558095554805,visual_context_relative_change,AUROC,llava_1_5_7b,position,2000
0.16537842338127653,0.0638851906021833,0.11605565385175443,visual_context_relative_change,HALL_AUPR,llava_1_5_7b,position,2000
0.0032743016512264238,-0.0037082735460370773,-0.0001556931524357985,generation_kappa_plus_position,AUROC,llava_1_5_7b,generation_within_source_kappa,2000
0.009168010321869688,-0.016105740475640423,-0.003583145228203466,generation_kappa_plus_position,HALL_AUPR,llava_1_5_7b,generation_within_source_kappa,2000
