model,group,AUROC,HALL_AUPR
qwen2_5_vl_7b,F_E,0.8821379560936546,0.4577398864795778
qwen2_5_vl_7b,F_E_Q02,0.8789347613655205,0.4602051511584109
qwen2_5_vl_7b,F_C,0.8815100170390205,0.47162165485157254
qwen2_5_vl_7b,F_C_Q02,0.8781445459259807,0.4817238833029098
llava_1_5_7b,F_E,0.9049595649579559,0.7192761451308152
llava_1_5_7b,F_E_Q02,0.9087620157735152,0.7272664013564427
llava_1_5_7b,F_C,0.9048212414046959,0.7200845609442705
llava_1_5_7b,F_C_Q02,0.9099982463582997,0.7275098404304772
qwen3_vl_8b,F_E,0.8965096212324687,0.6493415488427583
qwen3_vl_8b,F_E_Q02,0.8868644630293375,0.6412845871587727
qwen3_vl_8b,F_C,0.8942227840910845,0.6492025911358827
qwen3_vl_8b,F_C_Q02,0.8994146684819352,0.6672595674129508
internvl_2_5_8b,F_E,0.8638121775632056,0.5461541422582844
internvl_2_5_8b,F_E_Q02,0.854689152238232,0.5299618696289244
internvl_2_5_8b,F_C,0.855203181910428,0.5262117459963012
internvl_2_5_8b,F_C_Q02,0.8713997895816199,0.5666308210681047
