group,fusion_AUROC_mean,fusion_HALL_AUPR_mean,vs_standalone_AUROC_pp,vs_standalone_HALL_AUPR_pp,vs_logS_AUROC_pp,vs_logS_HALL_AUPR_pp
semantic_only,0.888955584138518,0.6581980788591223,11.360748000817669,17.79376275338274,2.431633804960984,6.523961349183127
attention_only,0.8774892103995346,0.639022853393014,3.591030878612453,8.276557608068678,1.284996431062635,4.606438802572299
cosine_only,0.8843600721845043,0.6442414896906569,6.035422571506194,11.213659953097467,1.9720826095596058,5.128302432336584
semantic_attention,0.8839453873096609,0.6360744228536025,7.076651834349013,14.89763013738157,1.930614122075272,4.311595748631154
cosine_attention,0.8782988616767567,0.6380003537204432,4.040395951358519,8.806275369837088,1.3659615587848506,4.504188835315226
semantic_attention_positive_cosine,0.8820570280144167,0.6340580980470475,6.831129580974868,13.897316262176707,1.7417781925508469,4.109963267975653
