model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,ensemble_AUROC,ensemble_HALL_AUPR
qwen3_vl_8b,visual,three_hidden,0.8994898071625345,0.002817574184053738,0.6644548670552989,0.014218400090766173,0.9028033057851239,0.6741763095783507
qwen3_vl_8b,visual,one_hidden,0.8900143250688707,0.0022021629854964576,0.643977923377248,0.006618643075116454,0.8948595041322314,0.6570977387647136
qwen3_vl_8b,visual,xgb,0.899705785123967,1.1102230246251565e-16,0.650439458511609,0.0,0.8997057851239669,0.650439458511609
qwen3_vl_8b,visual_prompt_sum,three_hidden,0.8967944903581268,0.004875119180985898,0.6598940444644291,0.006295818491668922,0.9013652892561985,0.6668847118404863
qwen3_vl_8b,visual_prompt_sum,one_hidden,0.8699966942148761,0.008112098979496727,0.6160380802549733,0.013480517334744646,0.8731140495867769,0.6220814421145346
qwen3_vl_8b,visual_prompt_sum,xgb,0.9222347107438017,0.0,0.7114257010740636,1.1102230246251565e-16,0.9222347107438017,0.7114257010740637
qwen3_vl_8b,generation,three_hidden,0.8902743801652893,0.005245249438146316,0.6286289512950091,0.010081229769515197,0.8946479338842975,0.6398290924628608
qwen3_vl_8b,generation,one_hidden,0.8399305785123966,0.00691717981155024,0.5098927714662663,0.00833095187390759,0.8432561983471075,0.5142830038482398
qwen3_vl_8b,generation,xgb,0.8784495867768594,0.0,0.6108245462849189,0.0,0.8784495867768594,0.6108245462849189
qwen3_vl_8b,vp_generation,three_hidden,0.9257101928374656,0.0028702253933903,0.7099280903780621,0.007156341514359902,0.9300528925619834,0.721103725154731
qwen3_vl_8b,vp_generation,one_hidden,0.8944666666666666,0.004077565534559714,0.6570598307464429,0.008126307859132514,0.8964396694214876,0.6580971853944817
qwen3_vl_8b,vp_generation,xgb,0.9321752066115702,0.0,0.7384622650327061,0.0,0.9321752066115702,0.7384622650327061
