model,variant,patience,seed,best_epoch,epochs,validation_loss,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen2_5_vl_7b,true_rms/visual,5,43,13,18,0.24888262152671814,0.8729293244015164,0.47232614479420887,0.8633875568576055,0.39189925885884636
qwen2_5_vl_7b,true_rms/visual,5,44,20,25,0.2459944188594818,0.8777068079140053,0.48805885212030525,0.8811810962917277,0.4277382541049546
qwen2_5_vl_7b,true_rms/visual,5,45,21,26,0.2417367547750473,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
qwen2_5_vl_7b,true_rms/visual,10,43,30,40,0.24090875685214996,0.8864179259490055,0.5159728886502662,0.8795775190810269,0.4233058192133956
qwen2_5_vl_7b,true_rms/visual,10,44,31,41,0.24282445013523102,0.885048294126811,0.5128217099254597,0.8815357335594789,0.43157893726884444
qwen2_5_vl_7b,true_rms/visual,10,45,21,31,0.2417367547750473,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
qwen2_5_vl_7b,true_rms/visual,20,43,30,50,0.24090875685214996,0.8864179259490055,0.5159728886502662,0.8795775190810269,0.4233058192133956
qwen2_5_vl_7b,true_rms/visual,20,44,31,51,0.24282445013523102,0.885048294126811,0.5128217099254597,0.8815357335594789,0.43157893726884444
qwen2_5_vl_7b,true_rms/visual,20,45,21,41,0.2417367547750473,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
