source,layer,metric,count,mean,std
new_jffn,1,centered_cosine,29173,0.8463974130109013,0.1080567277418195
new_jffn,1,js,29173,0.014366718820835091,0.00858665320263396
new_jffn,1,raw_cosine,29173,0.943065664258904,0.03892648243122357
new_jffn,1,top32_overlap,29173,0.6864984317691015,0.16623782958824915
new_jffn,1,tv,29173,0.13085175422396164,0.04157420874197053
new_jffn,2,centered_cosine,29173,0.9598942082255891,0.03318593358934432
new_jffn,2,js,29173,0.006738739252277673,0.003420019113707427
new_jffn,2,raw_cosine,29173,0.9699599957582994,0.02560754794724817
new_jffn,2,top32_overlap,29173,0.7781842371370788,0.08603179388742316
new_jffn,2,tv,29173,0.08823059671149651,0.023123320223327016
new_jffn,3,centered_cosine,29173,0.987717099748027,0.01071406800661745
new_jffn,3,js,29173,0.01563265818369755,0.006973557937526943
new_jffn,3,raw_cosine,29173,0.9876992361851136,0.010482342663689873
new_jffn,3,top32_overlap,29173,0.7977860521715284,0.07604604238209683
new_jffn,3,tv,29173,0.1319786777374883,0.0372062376542475
new_jffn,4,centered_cosine,29173,0.9557445935729525,0.061453509709755584
new_jffn,4,js,29173,0.03394195419924144,0.025591264314326276
new_jffn,4,raw_cosine,29173,0.9553390922467889,0.05954778892788871
new_jffn,4,top32_overlap,29173,0.7368157200150824,0.10614462590430083
new_jffn,4,tv,29173,0.19948069725404122,0.08166588729810055
new_jffn,5,centered_cosine,29173,0.9138939284316613,0.09790527854156156
new_jffn,5,js,29173,0.03502677172813543,0.03082830254435829
new_jffn,5,raw_cosine,29173,0.9176804978684339,0.09143229178298488
new_jffn,5,top32_overlap,29173,0.764606828231584,0.12320766348015752
new_jffn,5,tv,29173,0.20070522192192522,0.09328113026710856
new_jffn,6,centered_cosine,29173,0.8467131109542181,0.13849855750715584
new_jffn,6,js,29173,0.04930106653683356,0.03638666556255725
new_jffn,6,raw_cosine,29173,0.862424759583793,0.1234223454897955
new_jffn,6,top32_overlap,29173,0.6941274894594317,0.14270975895697235
new_jffn,6,tv,29173,0.24434477210627667,0.10032232242413819
new_jffn,7,centered_cosine,29173,0.6679088915263584,0.2338575925819358
new_jffn,7,js,29173,0.10121458441785908,0.06986583560930294
new_jffn,7,raw_cosine,29173,0.7010807009973852,0.21286101052019804
new_jffn,7,top32_overlap,29173,0.5877320210468584,0.1780662945954992
new_jffn,7,tv,29173,0.34991971669352195,0.13754757785335434
new_jffn,8,centered_cosine,29173,0.646253586366941,0.21768742775985991
new_jffn,8,js,29173,0.09861280574417242,0.060357872749554724
new_jffn,8,raw_cosine,29173,0.699523755262481,0.19219564711898773
new_jffn,8,top32_overlap,29173,0.5104173807973126,0.171741132226058
new_jffn,8,tv,29173,0.34774977444153826,0.11488951219678423
new_jffn,9,centered_cosine,29173,0.5555922576104967,0.2746868133083186
new_jffn,9,js,29173,0.1222490667890739,0.08497795229880853
new_jffn,9,raw_cosine,29173,0.6147356559471212,0.2507526961258746
new_jffn,9,top32_overlap,29173,0.47842932677475747,0.1992095291148097
new_jffn,9,tv,29173,0.3794909807210864,0.14556860023039986
new_jffn,10,centered_cosine,29173,0.5116624083499247,0.2429070196280105
new_jffn,10,js,29173,0.13884717188887913,0.08040168795192912
new_jffn,10,raw_cosine,29173,0.5783371130111216,0.2173322570839189
new_jffn,10,top32_overlap,29173,0.4476463682171871,0.1970239100797209
new_jffn,10,tv,29173,0.41486729696662195,0.13278470414391574
new_jffn,11,centered_cosine,29173,0.3671956119004019,0.25687689908594846
new_jffn,11,js,29173,0.17791508970630138,0.09116528644104195
new_jffn,11,raw_cosine,29173,0.4370737760576286,0.23823329423341885
new_jffn,11,top32_overlap,29173,0.387175213382237,0.20282042665320624
