source,label,layer,metric,count,mean,std
new_jffn,hall,1,effective_token_count,3487,496.4460719912381,26.791106513914727
new_jffn,hall,1,gini,3487,0.2885623593230558,0.047925491885914745
new_jffn,hall,1,max_over_uniform,3487,4.982124050811536,1.1267844311709563
new_jffn,hall,1,normalized_entropy,3487,0.9763766600677473,0.008769248434259568
new_jffn,hall,1,top10_mass,3487,0.0633924443019404,0.011443197727605397
new_jffn,hall,1,top1_mass,3487,0.008649520918001521,0.0019562229751759587
new_jffn,hall,1,top32_mass,3487,0.15816961613448738,0.027855264316379507
new_jffn,hall,1,top5_mass,3487,0.03557621456355771,0.006517407283215563
new_jffn,hall,2,effective_token_count,3487,429.12940835911735,32.79806576150439
new_jffn,hall,2,gini,3487,0.32827425649181835,0.03935998405932698
new_jffn,hall,2,max_over_uniform,3487,16.074693516943768,5.312316837944156
new_jffn,hall,2,normalized_entropy,3487,0.9532123105314696,0.012399446662239876
new_jffn,hall,2,top10_mass,3487,0.14711560820025565,0.026134737852997768
new_jffn,hall,2,top1_mass,3487,0.027907453995793075,0.009222772271512705
new_jffn,hall,2,top32_mass,3487,0.23808208886979473,0.03204611276889397
new_jffn,hall,2,top5_mass,3487,0.09859151244462648,0.02031398742544743
new_jffn,hall,3,effective_token_count,3487,92.32695139148429,31.644479534623322
new_jffn,hall,3,gini,3487,0.7634207184963593,0.04142645025264117
new_jffn,hall,3,max_over_uniform,3487,100.45802090302695,31.530755088561047
new_jffn,hall,3,normalized_entropy,3487,0.7031442709149622,0.05273785220487636
new_jffn,hall,3,top10_mass,3487,0.5072571481320316,0.07840681339028735
new_jffn,hall,3,top1_mass,3487,0.174406286119637,0.0547408940812926
new_jffn,hall,3,top32_mass,3487,0.6241859305646791,0.06477029907180411
new_jffn,hall,3,top5_mass,3487,0.42164835112892113,0.07804245003840508
new_jffn,hall,4,effective_token_count,3487,105.63011763134828,36.01668209831561
new_jffn,hall,4,gini,3487,0.7498964473310294,0.04121564178316485
new_jffn,hall,4,max_over_uniform,3487,93.27038255215102,32.358102146451785
new_jffn,hall,4,normalized_entropy,3487,0.7242992195045158,0.05297858972909802
new_jffn,hall,4,top10_mass,3487,0.4700998418825829,0.0841517076530659
new_jffn,hall,4,top1_mass,3487,0.16192774740583257,0.05617726066612786
new_jffn,hall,4,top32_mass,3487,0.59727622363914,0.0653690515095196
new_jffn,hall,4,top5_mass,3487,0.3902450456279446,0.08583901563207691
new_jffn,hall,5,effective_token_count,3487,123.46176353128585,34.51166537619368
new_jffn,hall,5,gini,3487,0.7528505118487385,0.039421250813857216
new_jffn,hall,5,max_over_uniform,3487,70.0254012280971,24.667402833594085
new_jffn,hall,5,normalized_entropy,3487,0.7515153191921736,0.04446052220957844
new_jffn,hall,5,top10_mass,3487,0.42044930782244955,0.08165407548628963
new_jffn,hall,5,top1_mass,3487,0.12157187713478386,0.042825352186428856
new_jffn,hall,5,top32_mass,3487,0.5791108285522679,0.06541923280548774
new_jffn,hall,5,top5_mass,3487,0.32510892791950774,0.07763445348322728
new_jffn,hall,6,effective_token_count,3487,153.9731153406658,29.55851482897493
new_jffn,hall,6,gini,3487,0.7426770537501938,0.034889518519307175
new_jffn,hall,6,max_over_uniform,3487,46.346041873563216,16.973051584866834
new_jffn,hall,6,normalized_entropy,3487,0.789500828626199,0.030607614062961756
