signal,split,layer,label,n,mean,median,p10,p90
Q_positive,train,1,HALL,733,1.2376296520233154,1.0569281578063965,0.5397760272026062,2.0947420597076416
Q_positive,train,2,HALL,733,0.26694703102111816,0.23491546511650085,0.12513858079910278,0.442149817943573
Q_positive,train,3,HALL,733,0.26642975211143494,0.17316041886806488,0.0997958555817604,0.45846569538116455
Q_positive,train,4,HALL,733,0.4299386739730835,0.30178648233413696,0.14436112344264984,0.8896503448486328
Q_positive,train,5,HALL,733,0.8298423290252686,0.5689417123794556,0.25762617588043213,1.6676928997039795
Q_positive,train,6,HALL,733,1.7156760692596436,1.397067904472351,0.5745991468429565,3.18827223777771
Q_positive,train,7,HALL,733,1.1434673070907593,0.9509836435317993,0.4199826121330261,2.201784610748291
Q_positive,train,8,HALL,733,2.359787940979004,2.123626232147217,0.6539857387542725,4.341084957122803
Q_positive,train,9,HALL,733,4.3584723472595215,3.851670742034912,1.3990323543548584,8.140584945678711
Q_positive,train,10,HALL,733,9.192655563354492,8.474493026733398,3.8603670597076416,14.844527244567871
Q_positive,train,11,HALL,733,2.7113418579101562,2.5863823890686035,1.6051177978515625,4.010708332061768
Q_positive,train,12,HALL,733,4.5019850730896,4.3873443603515625,2.016244411468506,7.112947463989258
Q_positive,train,13,HALL,733,4.801830291748047,4.935456275939941,2.3977842330932617,6.902475833892822
Q_positive,train,14,HALL,733,4.871090888977051,4.769477844238281,2.2629730701446533,7.447815418243408
Q_positive,train,15,HALL,733,9.449125289916992,9.137638092041016,4.367344379425049,14.500677108764648
Q_positive,train,16,HALL,733,3.6923961639404297,3.3294248580932617,1.7801148891448975,5.927557945251465
Q_positive,train,17,HALL,733,7.194141387939453,6.9447526931762695,2.9097347259521484,11.69827938079834
Q_positive,train,18,HALL,733,3.5403904914855957,3.253676176071167,1.144268274307251,6.118810653686523
Q_positive,train,19,HALL,733,4.700353622436523,4.5244460105896,2.172316789627075,7.216701984405518
Q_positive,train,20,HALL,733,11.808090209960938,11.649388313293457,6.496183395385742,17.253677368164062
Q_positive,train,21,HALL,733,7.556295394897461,7.653667449951172,3.6315228939056396,11.154754638671875
Q_positive,train,22,HALL,733,20.391448974609375,20.24553108215332,12.558517456054688,28.23181915283203
Q_positive,train,23,HALL,733,17.599409103393555,16.833919525146484,8.540948867797852,26.659767150878906
Q_positive,train,24,HALL,733,18.286794662475586,17.765317916870117,7.050257205963135,30.3666934967041
Q_positive,train,25,HALL,733,11.21432113647461,10.188824653625488,3.886204957962036,19.637313842773438
Q_positive,train,26,HALL,733,8.209768295288086,7.637974739074707,2.4056663513183594,14.8834228515625
Q_positive,train,27,HALL,733,20.554153442382812,19.548114776611328,8.376729011535645,33.186004638671875
Q_positive,train,28,HALL,733,47.635475158691406,45.57316970825195,18.821819305419922,79.85945892333984
Q_positive,train,1,REAL,6252,1.8800528049468994,1.6516101360321045,0.7087273597717285,3.3406965732574463
Q_positive,train,2,REAL,6252,0.37808650732040405,0.3339974284172058,0.1602739840745926,0.6436925530433655
Q_positive,train,3,REAL,6252,0.41386544704437256,0.2611563801765442,0.12418529391288757,0.8249477744102478
Q_positive,train,4,REAL,6252,0.7734634876251221,0.5325177311897278,0.20556706190109253,1.5769490003585815
Q_positive,train,5,REAL,6252,1.3123500347137451,1.0271426439285278,0.3268130421638489,2.5950584411621094
Q_positive,train,6,REAL,6252,2.3590683937072754,2.046700954437256,0.887773334980011,4.40764045715332
Q_positive,train,7,REAL,6252,1.97359037399292,1.6510019302368164,0.5353401303291321,3.8062565326690674
Q_positive,train,8,REAL,6252,2.858163595199585,2.8089022636413574,0.7856612205505371,4.9929914474487305
Q_positive,train,9,REAL,6252,5.529064655303955,5.056353569030762,1.8814198970794678,9.681010246276855
Q_positive,train,10,REAL,6252,11.23218059539795,10.80219841003418,4.974143981933594,17.757041931152344
Q_positive,train,11,REAL,6252,3.4131271839141846,3.395514965057373,2.011967182159424,4.718267917633057
Q_positive,train,12,REAL,6252,5.076198577880859,4.897529602050781,2.6637697219848633,7.661245346069336
Q_positive,train,13,REAL,6252,5.390945911407471,5.456021308898926,3.252124071121216,7.39907169342041
Q_positive,train,14,REAL,6252,5.806056976318359,5.812939643859863,3.0811755657196045,8.604326248168945
Q_positive,train,15,REAL,6252,9.352429389953613,8.755480766296387,5.491918563842773,14.120326042175293
Q_positive,train,16,REAL,6252,3.8947505950927734,3.42179536819458,2.0638043880462646,6.272958755493164
Q_positive,train,17,REAL,6252,8.19624137878418,7.980710983276367,4.817136764526367,11.882636070251465
Q_positive,train,18,REAL,6252,4.322839260101318,4.0899152755737305,2.057394504547119,6.794661521911621
Q_positive,train,19,REAL,6252,5.33291482925415,5.046779632568359,2.9625515937805176,7.873641490936279
Q_positive,train,20,REAL,6252,13.163575172424316,13.324563026428223,8.577841758728027,17.519502639770508
