Q,label,layer,mean,median,q25,q75
E,0,1,0.04004439,0.037653305,0.03232963755726814,0.043346596881747246
E,0,2,0.07720433,0.07420563,0.05803242698311806,0.09372179955244064
E,0,3,0.37297776,0.3926036,0.25813524425029755,0.4841359555721283
E,0,4,0.40701884,0.43906438,0.2968057245016098,0.5214620232582092
E,0,5,0.3863311,0.4088935,0.28527985513210297,0.48957331478595734
E,0,6,0.35165462,0.36589542,0.26330801844596863,0.43960894644260406
E,0,7,0.35192886,0.36256436,0.27623938024044037,0.42592693865299225
E,0,8,0.30374736,0.3179645,0.21381062269210815,0.3831029385328293
E,0,9,0.27180773,0.2793477,0.19756139069795609,0.336610347032547
E,0,10,0.27177426,0.27673522,0.21039485931396484,0.3263014853000641
E,0,11,0.2573058,0.2598904,0.2078634798526764,0.3015681207180023
E,0,12,0.23543136,0.2308517,0.1945531889796257,0.26916517317295074
E,0,13,0.29310504,0.29659855,0.25235895812511444,0.33489733934402466
E,0,14,0.25112915,0.247558,0.2126975581049919,0.28530095517635345
E,0,15,0.28301203,0.27945298,0.248496375977993,0.31218676269054413
E,0,16,0.25729212,0.25427306,0.22108599543571472,0.29117538034915924
E,0,17,0.2548537,0.25135925,0.21906273066997528,0.2856845110654831
E,0,18,0.2769749,0.2761608,0.24493500590324402,0.30516356229782104
E,0,19,0.29104716,0.28909472,0.25780290365219116,0.3203871548175812
E,0,20,0.29483536,0.29361847,0.26452377438545227,0.3242860585451126
E,0,21,0.2695605,0.26459736,0.23943636566400528,0.2932838350534439
E,0,22,0.31443992,0.313317,0.2851290851831436,0.3424064964056015
E,0,23,0.328603,0.32822734,0.2977657914161682,0.3569868803024292
E,0,24,0.32217988,0.32242516,0.292502298951149,0.3531188666820526
E,0,25,0.30100414,0.3003142,0.2717236876487732,0.33039943873882294
E,0,26,0.2741252,0.26954025,0.24269025027751923,0.29954318702220917
E,0,27,0.2682042,0.26450542,0.23652610182762146,0.29544882476329803
E,0,28,0.25389832,0.25156853,0.20788682252168655,0.2980627417564392
E,0,29,0.24469277,0.24428555,0.21214187890291214,0.2751625031232834
E,0,30,0.22170965,0.21934725,0.19298049807548523,0.24722321331501007
E,0,31,0.20090427,0.19812831,0.16739311069250107,0.23185649514198303
E,0,32,0.13884851,0.1358455,0.11057379096746445,0.16269343346357346
E,1,1,0.041279603,0.039375138,0.033463459461927414,0.04580528289079666
E,1,2,0.07558087,0.07022407,0.05581865273416042,0.09233975596725941
E,1,3,0.37515947,0.40479654,0.26424871385097504,0.4785315692424774
E,1,4,0.38478902,0.41403046,0.27159958332777023,0.4936942681670189
E,1,5,0.3662578,0.38595533,0.26648973673582077,0.4592237025499344
E,1,6,0.33075437,0.34149176,0.2470933124423027,0.4100429639220238
E,1,7,0.32320687,0.32289183,0.26096007972955704,0.3824804127216339
E,1,8,0.29002178,0.29295722,0.2211523987352848,0.3504223898053169
E,1,9,0.26907864,0.27246702,0.21119114384055138,0.32159367948770523
E,1,10,0.27019328,0.2729966,0.22307290509343147,0.31574849784374237
E,1,11,0.2549023,0.2556057,0.21428313478827477,0.29406069964170456
E,1,12,0.2504118,0.24788398,0.2110116370022297,0.2857649475336075
E,1,13,0.29445314,0.2970564,0.2548677325248718,0.3337162435054779
E,1,14,0.26819938,0.26971477,0.23091401532292366,0.3043207377195358
E,1,15,0.2848844,0.28266257,0.2507791668176651,0.31532349437475204
E,1,16,0.27384412,0.27404886,0.24230828136205673,0.30581238120794296
E,1,17,0.2703253,0.2709745,0.23826974630355835,0.30084115266799927
E,1,18,0.28255743,0.28217196,0.2529943361878395,0.31178485602140427
E,1,19,0.30127743,0.29942244,0.26848354935646057,0.3319009691476822
E,1,20,0.30771255,0.3073694,0.2781798392534256,0.3368762284517288
E,1,21,0.27476862,0.27181852,0.24409814924001694,0.3018253892660141
E,1,22,0.31796888,0.31574398,0.2861671969294548,0.34800977259874344
E,1,23,0.32364848,0.32073373,0.2893572673201561,0.35400088131427765
E,1,24,0.31801367,0.31691992,0.2843850702047348,0.350348524749279
E,1,25,0.3012119,0.29898137,0.2675195634365082,0.33122990280389786
E,1,26,0.26870397,0.265043,0.2364141158759594,0.29589807987213135
E,1,27,0.2758853,0.2726012,0.24300923570990562,0.30431055277585983
E,1,28,0.26034433,0.26002815,0.22479198127985,0.29606375843286514
E,1,29,0.2581857,0.25719792,0.22645817324519157,0.28690187633037567
E,1,30,0.23474725,0.23318021,0.2050573192536831,0.26294467598199844
E,1,31,0.20980552,0.20978972,0.18354414403438568,0.2356896959245205
E,1,32,0.15880236,0.14442214,0.12063062563538551,0.1715167760848999
C,0,1,0.04016352,0.03781713,0.03249687887728214,0.043575916439294815
C,0,2,0.077260464,0.07423123,0.058090100064873695,0.09378008544445038
C,0,3,0.37554163,0.39464083,0.2601718455553055,0.48725391924381256
C,0,4,0.40874112,0.4412784,0.29809828102588654,0.523187667131424
C,0,5,0.38788557,0.4102814,0.2865641862154007,0.49130816757678986
C,0,6,0.3526853,0.36703748,0.2642412483692169,0.4407334327697754
C,0,7,0.35386324,0.36554864,0.27846725285053253,0.42735370993614197
