model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,visual,three_hidden,0.8621437565852029,0.004985856619200929,0.3925398329073056,0.00529413585352517
qwen2_5_vl_7b,visual,one_hidden,0.820522704494642,0.005159282091537069,0.3224458141288069,0.01452960901430205
qwen2_5_vl_7b,visual,xgb,0.8655462184873949,0.0,0.40788088755522994,0.0
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,0.8621411867499292,0.004770476801467876,0.4002677532877887,0.006764198105418463
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,0.8179323105388944,0.0005143267058162033,0.3301966875304089,0.001612329510158081
qwen2_5_vl_7b,visual_prompt_sum,xgb,0.863711356102074,0.0,0.45637878708845775,5.551115123125783e-17
qwen2_5_vl_7b,generation,three_hidden,0.8202143242618148,0.0070302013719217606,0.3522007680017499,0.01825931512060806
qwen2_5_vl_7b,generation,one_hidden,0.8064400071955387,0.0013096985899661035,0.2908907310604673,0.00337192587910399
qwen2_5_vl_7b,generation,xgb,0.8245162285097526,0.0,0.34939284877680693,0.0
qwen2_5_vl_7b,vp_generation,three_hidden,0.873558964870352,0.002483125856433473,0.4683346564474938,0.013468131560214211
qwen2_5_vl_7b,vp_generation,one_hidden,0.8375195949939608,0.0062006328324109745,0.36978097378010016,0.009756554745832874
qwen2_5_vl_7b,vp_generation,xgb,0.87539896692622,1.1102230246251565e-16,0.48397386678746174,5.551115123125783e-17
llava_1_5_7b,visual,three_hidden,0.9003441552301487,0.0011584520768712645,0.6937592120719217,0.002276003138482713
llava_1_5_7b,visual,one_hidden,0.889073927347543,0.003534584944251531,0.6672050453661064,0.007770545231648054
llava_1_5_7b,visual,xgb,0.9021162856667742,0.0,0.6980011696416958,0.0
llava_1_5_7b,visual_prompt_sum,three_hidden,0.890174376330728,0.004087473198530626,0.6810039787576126,0.004864515523791999
llava_1_5_7b,visual_prompt_sum,one_hidden,0.8702937465152448,0.0018091380622454376,0.6509496444840659,0.002889607668858614
llava_1_5_7b,visual_prompt_sum,xgb,0.8940292083614558,0.0,0.6783091990448242,0.0
llava_1_5_7b,generation,three_hidden,0.8731019292908545,0.002995479574870066,0.6335302065467456,0.003968708371778929
llava_1_5_7b,generation,one_hidden,0.8637831642717636,0.0018197621087604067,0.6365885111502017,0.0012468905366424935
llava_1_5_7b,generation,xgb,0.8867589087458794,0.0,0.6586938160903205,0.0
llava_1_5_7b,vp_generation,three_hidden,0.9004647970446017,0.001286846938789284,0.7206401842716831,0.0007599280118359617
llava_1_5_7b,vp_generation,one_hidden,0.8910791899391247,0.002768192546515879,0.7011202157333268,0.002716956706122507
llava_1_5_7b,vp_generation,xgb,0.902363275327445,1.1102230246251565e-16,0.7045656299693648,0.0
qwen3_vl_8b,visual,three_hidden,0.9012000000000001,0.0012104260623511623,0.6650607073949311,0.0051199348816443006
qwen3_vl_8b,visual,one_hidden,0.8802038567493112,0.005270870478583248,0.617989774982118,0.02100427795201798
qwen3_vl_8b,visual,xgb,0.9031173553719007,0.0,0.6615198399237752,0.0
qwen3_vl_8b,visual_prompt_sum,three_hidden,0.8988055096418733,0.0018504530665189223,0.6637512847273871,0.0033463922029155027
qwen3_vl_8b,visual_prompt_sum,one_hidden,0.8635878787878788,0.005731857940327415,0.6086549119432235,0.008365412454000725
qwen3_vl_8b,visual_prompt_sum,xgb,0.9145256198347106,1.1102230246251565e-16,0.7043792138301724,0.0
qwen3_vl_8b,generation,three_hidden,0.8811955922865015,0.00294344891362274,0.6057054248806452,0.0045581396309185345
qwen3_vl_8b,generation,one_hidden,0.8291592286501377,0.006062766857478624,0.5058313742165764,0.006272190984285637
qwen3_vl_8b,generation,xgb,0.8814396694214875,0.0,0.5947505292393244,0.0
qwen3_vl_8b,vp_generation,three_hidden,0.9228892561983472,0.002578694632254956,0.7003746762787088,0.0010262505632438281
qwen3_vl_8b,vp_generation,one_hidden,0.8889785123966942,0.004085295087729725,0.6401404578426432,0.0023124916830114237
qwen3_vl_8b,vp_generation,xgb,0.9192760330578512,0.0,0.7077355401351116,0.0
internvl_2_5_8b,visual,three_hidden,0.8715779834200887,0.003591605773816687,0.5493409608001801,0.015458160278129464
internvl_2_5_8b,visual,one_hidden,0.857737613263929,0.0014865345991315496,0.5639533384749479,0.012977237100654269
internvl_2_5_8b,visual,xgb,0.855615962984384,0.0,0.5036510234130875,0.0
internvl_2_5_8b,visual_prompt_sum,three_hidden,0.8674252940042414,0.005523811192517842,0.5192285696891091,0.014398029261456727
internvl_2_5_8b,visual_prompt_sum,one_hidden,0.8275062656641605,0.009033890906353011,0.48601915339326673,0.01851576457062555
internvl_2_5_8b,visual_prompt_sum,xgb,0.863207056101793,0.0,0.5157560402103539,0.0
internvl_2_5_8b,generation,three_hidden,0.8482658569500674,0.005046066138408664,0.49704989085326545,0.005724516456753182
internvl_2_5_8b,generation,one_hidden,0.8214950838635048,0.002900211533198692,0.44808107442701656,0.017301771042181606
internvl_2_5_8b,generation,xgb,0.8252486986697513,0.0,0.4565819549099317,0.0
internvl_2_5_8b,vp_generation,three_hidden,0.8721177944862156,0.002640752598520702,0.5329704385941584,0.008346459080677531
internvl_2_5_8b,vp_generation,one_hidden,0.8439994216310005,0.0031672977711836117,0.5052012820611345,0.004724908457959478
internvl_2_5_8b,vp_generation,xgb,0.8839126662810873,1.1102230246251565e-16,0.5591501180746931,0.0
