model,group,classifier,baseline,AUROC_delta_pp,HALL_AUPR_delta_pp
qwen2_5_vl_7b,generation,one_hidden,metatoken_gb,-2.0846503739110567,-9.88633340786359
qwen2_5_vl_7b,generation,xgb,svar_native,-4.885770822090308,-12.117233950325378
qwen2_5_vl_7b,generation,xgb,metatoken_lr,-0.9421016112867053,-9.145366533040654
qwen2_5_vl_7b,generation,xgb,metatoken_gb,-0.27702824248966307,-4.036121636229629
qwen2_5_vl_7b,vp_generation,three_hidden,svar_native,0.018502813969634158,-0.223053183256694
qwen2_5_vl_7b,vp_generation,three_hidden,metatoken_lr,3.962172024773236,2.7488142340280297
qwen2_5_vl_7b,vp_generation,three_hidden,metatoken_gb,4.627245393570279,7.858059130839057
qwen2_5_vl_7b,vp_generation,one_hidden,svar_native,-3.5854341736694884,-10.078421449996055
qwen2_5_vl_7b,vp_generation,one_hidden,metatoken_lr,0.35823503713411364,-7.1065540327113315
qwen2_5_vl_7b,vp_generation,one_hidden,metatoken_gb,1.023308405931156,-1.9973091359003048
qwen2_5_vl_7b,vp_generation,xgb,svar_native,0.20250301955643257,1.3408678507401017
qwen2_5_vl_7b,vp_generation,xgb,metatoken_lr,4.146172230360035,4.312735268024825
qwen2_5_vl_7b,vp_generation,xgb,metatoken_gb,4.811245599157077,9.421980164835853
llava_1_5_7b,visual,three_hidden,svar_native,-0.41034519861882224,-1.5881728333363654
llava_1_5_7b,visual,three_hidden,metatoken_lr,1.6881702549454758,2.0118194868204764
llava_1_5_7b,visual,three_hidden,metatoken_gb,1.4209649388802426,2.494176944570259
llava_1_5_7b,visual,one_hidden,svar_native,-1.53736798687939,-4.2435895039178995
llava_1_5_7b,visual,one_hidden,metatoken_lr,0.5611474666849081,-0.6435971837610577
llava_1_5_7b,visual,one_hidden,metatoken_gb,0.2939421506196749,-0.16123972601127523
llava_1_5_7b,visual,xgb,svar_native,-0.2331321549562726,-1.1639770763589574
llava_1_5_7b,visual,xgb,metatoken_lr,1.8653832986080254,2.4360152437978844
llava_1_5_7b,visual,xgb,metatoken_gb,1.5981779825427922,2.918372701547667
llava_1_5_7b,visual_prompt_sum,three_hidden,svar_native,-1.4273230885608834,-2.863696164767271
llava_1_5_7b,visual_prompt_sum,three_hidden,metatoken_lr,0.6711923650034146,0.7362961553895708
llava_1_5_7b,visual_prompt_sum,three_hidden,metatoken_gb,0.4039870489381814,1.2186536131393533
llava_1_5_7b,visual_prompt_sum,one_hidden,svar_native,-3.4153860701092054,-5.869129592121947
llava_1_5_7b,visual_prompt_sum,one_hidden,metatoken_lr,-1.3168706165449073,-2.269137271965105
llava_1_5_7b,visual_prompt_sum,one_hidden,metatoken_gb,-1.5840759326101406,-1.7867798142153224
llava_1_5_7b,visual_prompt_sum,xgb,svar_native,-1.041839885488105,-3.133174136046113
llava_1_5_7b,visual_prompt_sum,xgb,metatoken_lr,1.056675568076193,0.46681818411072884
llava_1_5_7b,visual_prompt_sum,xgb,metatoken_gb,0.7894702520109598,0.9491756418605113
llava_1_5_7b,generation,three_hidden,svar_native,-3.1345677925482374,-7.611073385853972
llava_1_5_7b,generation,three_hidden,metatoken_lr,-1.0360523389839393,-4.01108106569713
llava_1_5_7b,generation,three_hidden,metatoken_gb,-1.3032576550491726,-3.5287236079473483
llava_1_5_7b,generation,one_hidden,svar_native,-4.066444294457328,-7.30524292550837
llava_1_5_7b,generation,one_hidden,metatoken_lr,-1.9679288408930296,-3.705250605351529
llava_1_5_7b,generation,one_hidden,metatoken_gb,-2.235134156958263,-3.2228931476017464
llava_1_5_7b,generation,xgb,svar_native,-1.768869847045751,-5.094712431496484
llava_1_5_7b,generation,xgb,metatoken_lr,0.32964560651854713,-1.4947201113396424
llava_1_5_7b,generation,xgb,metatoken_gb,0.062440290453313896,-1.01236265358986
llava_1_5_7b,vp_generation,three_hidden,svar_native,-0.3982810171735185,1.0999243866397723
llava_1_5_7b,vp_generation,three_hidden,metatoken_lr,1.7002344363907795,4.699916706796614
llava_1_5_7b,vp_generation,three_hidden,metatoken_gb,1.4330291203255463,5.1822741645463966
llava_1_5_7b,vp_generation,one_hidden,svar_native,-1.3368417277212163,-0.8520724671958524
llava_1_5_7b,vp_generation,one_hidden,metatoken_lr,0.7616737258430817,2.7479198529609894
llava_1_5_7b,vp_generation,one_hidden,metatoken_gb,0.49446840977784845,3.230277310710772
llava_1_5_7b,vp_generation,xgb,svar_native,-0.20843318888918994,-0.5075310435920577
llava_1_5_7b,vp_generation,xgb,metatoken_lr,1.890082264675108,3.092461276564784
llava_1_5_7b,vp_generation,xgb,metatoken_gb,1.6228769486098749,3.5748187343145665
qwen3_vl_8b,visual,three_hidden,svar_native,1.1687052341597837,3.848101064648668
qwen3_vl_8b,visual,three_hidden,metatoken_lr,7.8773553719008405,20.763810167047538
qwen3_vl_8b,visual,three_hidden,metatoken_gb,6.464462809917382,13.745695509481271
qwen3_vl_8b,visual,one_hidden,svar_native,-0.9309090909091045,-0.8589921766326336
qwen3_vl_8b,visual,one_hidden,metatoken_lr,5.777741046831952,16.056716925766235
qwen3_vl_8b,visual,one_hidden,metatoken_gb,4.364848484848494,9.03860226819997
qwen3_vl_8b,visual,xgb,svar_native,1.3604407713498468,3.4940143175330785
qwen3_vl_8b,visual,xgb,metatoken_lr,8.069090909090903,20.409723419931947
qwen3_vl_8b,visual,xgb,metatoken_gb,6.656198347107445,13.391608762365681
qwen3_vl_8b,visual_prompt_sum,three_hidden,svar_native,0.9292561983471059,3.717158797894271
qwen3_vl_8b,visual_prompt_sum,three_hidden,metatoken_lr,7.637906336088163,20.63286790029314
qwen3_vl_8b,visual_prompt_sum,three_hidden,metatoken_gb,6.2250137741047045,13.614753242726874
qwen3_vl_8b,visual_prompt_sum,one_hidden,svar_native,-2.592506887052348,-1.7924784805220861
qwen3_vl_8b,visual_prompt_sum,one_hidden,metatoken_lr,4.116143250688708,15.123230621876782
qwen3_vl_8b,visual_prompt_sum,one_hidden,metatoken_gb,2.70325068870525,8.105115964310517
qwen3_vl_8b,visual_prompt_sum,xgb,svar_native,2.5012672176308315,7.779951708172805
qwen3_vl_8b,visual_prompt_sum,xgb,metatoken_lr,9.20991735537189,24.695660810571674
qwen3_vl_8b,visual_prompt_sum,xgb,metatoken_gb,7.797024793388429,17.67754615300541
qwen3_vl_8b,generation,three_hidden,svar_native,-0.8317355371900814,-2.087427186779922
qwen3_vl_8b,generation,three_hidden,metatoken_lr,5.876914600550975,14.828281915618946
qwen3_vl_8b,generation,three_hidden,metatoken_gb,4.464022038567517,7.81016725805268
qwen3_vl_8b,generation,one_hidden,svar_native,-6.035371900826458,-12.074832253186795
qwen3_vl_8b,generation,one_hidden,metatoken_lr,0.6732782369145984,4.840876849212073
qwen3_vl_8b,generation,one_hidden,metatoken_gb,-0.7396143250688603,-2.1772378083541932
qwen3_vl_8b,generation,xgb,svar_native,-0.8073278236914727,-3.1829167509120015
qwen3_vl_8b,generation,xgb,metatoken_lr,5.901322314049584,13.732792351486866
qwen3_vl_8b,generation,xgb,metatoken_gb,4.488429752066125,6.714677693920601
qwen3_vl_8b,vp_generation,three_hidden,svar_native,3.3376308539944888,7.379497953026437
qwen3_vl_8b,vp_generation,three_hidden,metatoken_lr,10.046280991735546,24.295207055425305
qwen3_vl_8b,vp_generation,three_hidden,metatoken_gb,8.633388429752086,17.27709239785904
qwen3_vl_8b,vp_generation,one_hidden,svar_native,-0.05344352617080439,1.3560761094198792
qwen3_vl_8b,vp_generation,one_hidden,metatoken_lr,6.655206611570252,18.27178521181875
qwen3_vl_8b,vp_generation,one_hidden,metatoken_gb,5.242314049586794,11.253670554252482
qwen3_vl_8b,vp_generation,xgb,svar_native,2.976308539944894,8.115584338666725
qwen3_vl_8b,vp_generation,xgb,metatoken_lr,9.684958677685952,25.031293441065593
qwen3_vl_8b,vp_generation,xgb,metatoken_gb,8.272066115702492,18.013178783499328
internvl_2_5_8b,visual,three_hidden,svar_native,0.17871602082127902,1.2020070692758567
internvl_2_5_8b,visual,three_hidden,metatoken_lr,3.7795450163871203,7.976108443835928
internvl_2_5_8b,visual,three_hidden,metatoken_gb,2.2640254482359734,2.9024630516148675
internvl_2_5_8b,visual,one_hidden,svar_native,-1.2053209947946897,2.663244836752632
internvl_2_5_8b,visual,one_hidden,metatoken_lr,2.3955080007711516,9.437346211312702
internvl_2_5_8b,visual,one_hidden,metatoken_gb,0.8799884326200047,4.363700819091642
internvl_2_5_8b,visual,xgb,svar_native,-1.4174860227491926,-3.3669866694334027
internvl_2_5_8b,visual,xgb,metatoken_lr,2.1833429728166487,3.407114705126668
internvl_2_5_8b,visual,xgb,metatoken_gb,0.6678234046655018,-1.666530687094392
internvl_2_5_8b,visual_prompt_sum,three_hidden,svar_native,-0.23655292076345535,-1.8092320418312435
internvl_2_5_8b,visual_prompt_sum,three_hidden,metatoken_lr,3.364276074802386,4.964869332728828
internvl_2_5_8b,visual_prompt_sum,three_hidden,metatoken_gb,1.848756506651239,-0.10877605949223268
internvl_2_5_8b,visual_prompt_sum,one_hidden,svar_native,-4.228455754771543,-5.130173671415483
internvl_2_5_8b,visual_prompt_sum,one_hidden,metatoken_lr,-0.6276267592057017,1.6439277031445876
internvl_2_5_8b,visual_prompt_sum,one_hidden,metatoken_gb,-2.1431463273568485,-3.4297176890764725
internvl_2_5_8b,visual_prompt_sum,xgb,svar_native,-0.6583767110082905,-2.156484989706764
internvl_2_5_8b,visual_prompt_sum,xgb,metatoken_lr,2.9424522845575507,4.6176163848533065
