model,old_AUROC,old_AP,new_AUROC,new_AP,AUROC_delta_pp,AP_delta_pp
qwen2_5_vl_7b,87.4488623602277,43.9821264711027,87.53658568134327,44.1980266866014,0.08772332111557368,0.21590021549869887
llava_1_5_7b,90.01515192729853,70.8153265166643,90.04371371538801,70.68837085904457,0.02856178808947618,-0.1269556576197317
internvl_2_5_8b,85.8253981393461,53.034034311531656,85.58654123452571,53.852426518424515,-0.2388569048203948,0.8183922068928595
