model,group,classifier,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,ae_only_generation,xgb,43,0.7105483177936056,0.23305827828358922
qwen2_5_vl_7b,ae_only_generation,xgb,44,0.7105483177936056,0.23305827828358922
qwen2_5_vl_7b,ae_only_generation,xgb,45,0.7105483177936056,0.23305827828358922
qwen2_5_vl_7b,ae_only_vp_generation,three_hidden,43,0.8239442333675524,0.41866684250166125
qwen2_5_vl_7b,ae_only_vp_generation,three_hidden,44,0.8225296066208765,0.42864336231633715
qwen2_5_vl_7b,ae_only_vp_generation,three_hidden,45,0.821333700219073,0.44581751564402866
qwen2_5_vl_7b,ae_only_vp_generation,one_hidden,43,0.7747497945087083,0.35352053713009823
qwen2_5_vl_7b,ae_only_vp_generation,one_hidden,44,0.7731446693971432,0.36777872291658553
qwen2_5_vl_7b,ae_only_vp_generation,one_hidden,45,0.7794028934584978,0.3681783629844705
qwen2_5_vl_7b,ae_only_vp_generation,xgb,43,0.8151636698451671,0.3813389682698893
qwen2_5_vl_7b,ae_only_vp_generation,xgb,44,0.8151636698451671,0.3813389682698893
qwen2_5_vl_7b,ae_only_vp_generation,xgb,45,0.8151636698451671,0.3813389682698893
llava_1_5_7b,visual,three_hidden,43,0.8976990253108952,0.6994154894907019
llava_1_5_7b,visual,three_hidden,44,0.90211496134175,0.7144496440515792
llava_1_5_7b,visual,three_hidden,45,0.9014974248089949,0.7067859922290557
llava_1_5_7b,visual,one_hidden,43,0.888502245298012,0.6863133255729507
llava_1_5_7b,visual,one_hidden,44,0.8912724783008543,0.688959373433969
llava_1_5_7b,visual,one_hidden,45,0.890954160500465,0.6858400847534207
llava_1_5_7b,visual,xgb,43,0.8971101373801751,0.6987835969621115
llava_1_5_7b,visual,xgb,44,0.8971101373801751,0.6987835969621115
llava_1_5_7b,visual,xgb,45,0.8971101373801751,0.6987835969621115
llava_1_5_7b,visual_prompt_sum,three_hidden,43,0.8925634016713421,0.6999253459621638
llava_1_5_7b,visual_prompt_sum,three_hidden,44,0.8981626117801894,0.7028907134068121
llava_1_5_7b,visual_prompt_sum,three_hidden,45,0.8969281174743161,0.7011702779644934
llava_1_5_7b,visual_prompt_sum,one_hidden,43,0.8691216107112204,0.6534759412655949
llava_1_5_7b,visual_prompt_sum,one_hidden,44,0.875805705759758,0.6657261191209952
llava_1_5_7b,visual_prompt_sum,one_hidden,45,0.8749809732769314,0.6681319377358647
llava_1_5_7b,visual_prompt_sum,xgb,43,0.8903736645844824,0.6956621339642001
llava_1_5_7b,visual_prompt_sum,xgb,44,0.8903736645844824,0.6956621339642001
llava_1_5_7b,visual_prompt_sum,xgb,45,0.8903736645844824,0.6956621339642001
llava_1_5_7b,generation,three_hidden,43,0.8731503565448744,0.6326677323163963
llava_1_5_7b,generation,three_hidden,44,0.8745318557985639,0.6518559800134666
llava_1_5_7b,generation,three_hidden,45,0.8789194326072021,0.654429664597587
llava_1_5_7b,generation,one_hidden,43,0.8666254203965313,0.6377646946293968
llava_1_5_7b,generation,one_hidden,44,0.8690417418813045,0.6441488129174274
llava_1_5_7b,generation,one_hidden,45,0.8653052696643715,0.6412428736917063
llava_1_5_7b,generation,xgb,43,0.8789946713600214,0.6521108010657856
llava_1_5_7b,generation,xgb,44,0.8789946713600214,0.6521108010657856
llava_1_5_7b,generation,xgb,45,0.8789946713600214,0.6521108010657856
llava_1_5_7b,vp_generation,three_hidden,43,0.8939469265837613,0.6906458811766357
llava_1_5_7b,vp_generation,three_hidden,44,0.8987980898616938,0.7030322106537839
llava_1_5_7b,vp_generation,three_hidden,45,0.9027440730672467,0.7206306832217305
llava_1_5_7b,vp_generation,one_hidden,43,0.8956264870505426,0.7118866322297797
llava_1_5_7b,vp_generation,one_hidden,44,0.896182096302131,0.7059211496060865
llava_1_5_7b,vp_generation,one_hidden,45,0.8916857126817235,0.7089252060186535
llava_1_5_7b,vp_generation,xgb,43,0.9034614456373967,0.7165537623881498
llava_1_5_7b,vp_generation,xgb,44,0.9034614456373967,0.7165537623881498
llava_1_5_7b,vp_generation,xgb,45,0.9034614456373967,0.7165537623881498
llava_1_5_7b,ae_only_visual,three_hidden,43,0.8738350291955299,0.6436883727870091
llava_1_5_7b,ae_only_visual,three_hidden,44,0.8693218615456471,0.6462252235429583
llava_1_5_7b,ae_only_visual,three_hidden,45,0.8617809128544253,0.6305639643757637
llava_1_5_7b,ae_only_visual,one_hidden,43,0.841545450283679,0.5940418789655175
llava_1_5_7b,ae_only_visual,one_hidden,44,0.8419575271452739,0.5885098583737804
llava_1_5_7b,ae_only_visual,one_hidden,45,0.844503490788751,0.5938922040192391
llava_1_5_7b,ae_only_visual,xgb,43,0.8617019121639649,0.6429536872919506
llava_1_5_7b,ae_only_visual,xgb,44,0.8617019121639649,0.6429536872919506
llava_1_5_7b,ae_only_visual,xgb,45,0.8617019121639649,0.6429536872919506
llava_1_5_7b,ae_only_visual_prompt_sum,three_hidden,43,0.859109068989885,0.6073864175009469
llava_1_5_7b,ae_only_visual_prompt_sum,three_hidden,44,0.8606508846630433,0.6242303762011717
llava_1_5_7b,ae_only_visual_prompt_sum,three_hidden,45,0.8549720951040987,0.6005836197868604
llava_1_5_7b,ae_only_visual_prompt_sum,one_hidden,43,0.844591462253586,0.605712728396415
llava_1_5_7b,ae_only_visual_prompt_sum,one_hidden,44,0.844714738056282,0.6027436567335311
llava_1_5_7b,ae_only_visual_prompt_sum,one_hidden,45,0.8509861774835877,0.6056525392440746
llava_1_5_7b,ae_only_visual_prompt_sum,xgb,43,0.8657905596200559,0.6330381367426043
llava_1_5_7b,ae_only_visual_prompt_sum,xgb,44,0.8657905596200559,0.6330381367426043
llava_1_5_7b,ae_only_visual_prompt_sum,xgb,45,0.8657905596200559,0.6330381367426043
llava_1_5_7b,ae_only_generation,three_hidden,43,0.8257296856814287,0.5630991711001412
llava_1_5_7b,ae_only_generation,three_hidden,44,0.8167531237104513,0.5493612560880595
llava_1_5_7b,ae_only_generation,three_hidden,45,0.8197988463005395,0.5576218819983364
llava_1_5_7b,ae_only_generation,one_hidden,43,0.800037966632192,0.511022296756244
llava_1_5_7b,ae_only_generation,one_hidden,44,0.7926113229692916,0.4914236047494293
llava_1_5_7b,ae_only_generation,one_hidden,45,0.7920979631712093,0.5034934330668307
llava_1_5_7b,ae_only_generation,xgb,43,0.8022048427133873,0.5328263575108249
llava_1_5_7b,ae_only_generation,xgb,44,0.8022048427133873,0.5328263575108249
llava_1_5_7b,ae_only_generation,xgb,45,0.8022048427133873,0.5328263575108249
llava_1_5_7b,ae_only_vp_generation,three_hidden,43,0.8667405935643084,0.6409603182788455
llava_1_5_7b,ae_only_vp_generation,three_hidden,44,0.8656490528887919,0.6286360714850423
llava_1_5_7b,ae_only_vp_generation,three_hidden,45,0.8689063121262298,0.6390147673836943
llava_1_5_7b,ae_only_vp_generation,one_hidden,43,0.848661300021472,0.6215196833753609
llava_1_5_7b,ae_only_vp_generation,one_hidden,44,0.855027945409076,0.618735586478858
llava_1_5_7b,ae_only_vp_generation,one_hidden,45,0.8563535943577881,0.6270347752450844
llava_1_5_7b,ae_only_vp_generation,xgb,43,0.8709195275237827,0.6571506635319897
llava_1_5_7b,ae_only_vp_generation,xgb,44,0.8709195275237827,0.6571506635319897
llava_1_5_7b,ae_only_vp_generation,xgb,45,0.8709195275237827,0.6571506635319897
internvl_2_5_8b,visual,three_hidden,43,0.856808022601284,0.5431826407627313
internvl_2_5_8b,visual,three_hidden,44,0.8496943859948944,0.5197706432246936
internvl_2_5_8b,visual,three_hidden,45,0.8610938284395928,0.5526195115653105
internvl_2_5_8b,visual,one_hidden,43,0.8459346261068328,0.5429406567837034
internvl_2_5_8b,visual,one_hidden,44,0.8421374822426114,0.5390280940839025
internvl_2_5_8b,visual,one_hidden,45,0.8476115644659965,0.5356253458382602
internvl_2_5_8b,visual,xgb,43,0.8530028678850283,0.5069455949180883
internvl_2_5_8b,visual,xgb,44,0.8530028678850283,0.5069455949180883
internvl_2_5_8b,visual,xgb,45,0.8530028678850283,0.5069455949180883
internvl_2_5_8b,visual_prompt_sum,three_hidden,43,0.8522578586458457,0.5107513009506472
internvl_2_5_8b,visual_prompt_sum,three_hidden,44,0.8573881418027622,0.5214467109301267
internvl_2_5_8b,visual_prompt_sum,three_hidden,45,0.8656847142262052,0.5303403909462197
internvl_2_5_8b,visual_prompt_sum,one_hidden,43,0.8241557897097935,0.48625949195458973
internvl_2_5_8b,visual_prompt_sum,one_hidden,44,0.8098844568108263,0.4539170603080312
internvl_2_5_8b,visual_prompt_sum,one_hidden,45,0.8092182209499802,0.46018025258044665
internvl_2_5_8b,visual_prompt_sum,xgb,43,0.8548907586810932,0.5157895942729506
