model,classifier,version,seed_mean_AUROC,seed_mean_AP,ensemble_AUROC,ensemble_AP
qwen2_5_vl_7b,three_hidden,old,87.4488623602277,43.9821264711027,88.21379560936546,45.77398864795778
qwen2_5_vl_7b,three_hidden,new,87.53658568134327,44.1980266866014,88.50095425569819,45.63653423960466
qwen2_5_vl_7b,one_hidden,old,87.41370247683152,43.87138321468909,87.86701803031747,44.951288588791336
qwen2_5_vl_7b,one_hidden,new,82.40765238987254,32.52904068210066,82.62019917662373,32.71631602798919
llava_1_5_7b,three_hidden,old,90.01515192729853,70.8153265166643,90.49595649579561,71.92761451308152
llava_1_5_7b,three_hidden,new,90.04371371538801,70.68837085904457,90.46099941371648,71.73030008875251
llava_1_5_7b,one_hidden,old,89.61660839521723,69.72658348528563,89.81319375194245,70.32454975251862
llava_1_5_7b,one_hidden,new,89.02429613664438,68.70375945867802,89.11839280763823,68.95244524617128
internvl_2_5_8b,three_hidden,old,85.8253981393461,53.034034311531656,86.38121775632057,54.61541422582843
internvl_2_5_8b,three_hidden,new,85.58654123452571,53.852426518424515,86.24730301314848,55.77072626491819
internvl_2_5_8b,one_hidden,old,84.79186471273084,51.926487495669264,85.22979129060167,52.92637889546875
internvl_2_5_8b,one_hidden,new,84.52278909384802,53.91980322352886,84.8024123345759,54.42243575720844
