model,variant,seed,AUROC,HALL_AUPR
llava_1_5_7b,raw_js_attention32,43,0.8937166692890453,0.7116470473025217
llava_1_5_7b,raw_js_attention32,44,0.8947075936272852,0.7159416521866461
llava_1_5_7b,raw_js_attention32,45,0.8949754110159988,0.7079571093226673
llava_1_5_7b,norm_js_attention32,43,0.8970509957785283,0.7038416584453048
llava_1_5_7b,norm_js_attention32,44,0.897402506101215,0.7033591239379728
llava_1_5_7b,norm_js_attention32,45,0.8969371733883251,0.7018084320948951
llava_1_5_7b,raw_js_union32,43,0.9098593623937518,0.747905291120755
llava_1_5_7b,raw_js_union32,44,0.9095145475057832,0.7462209190628607
llava_1_5_7b,raw_js_union32,45,0.9106025556474319,0.7469380941051206
llava_1_5_7b,norm_js_union32,43,0.9162468071145689,0.7612785417779354
llava_1_5_7b,norm_js_union32,44,0.9156408702726047,0.7572090917739188
llava_1_5_7b,norm_js_union32,45,0.9163606295047722,0.7598823760944804
llava_1_5_7b,raw_full_product,43,0.9208499184830823,0.7677627750188628
llava_1_5_7b,raw_full_product,44,0.9194137477361062,0.7632516738360151
llava_1_5_7b,raw_full_product,45,0.9196079153429234,0.7602059292584821
llava_1_5_7b,norm_full_product,43,0.9253291643093156,0.7705656144162378
llava_1_5_7b,norm_full_product,44,0.9264339110377589,0.7762172944900831
llava_1_5_7b,norm_full_product,45,0.9258179310437179,0.7756768407969576
