model,group,candidate,seed,best_epoch,AUROC,HALL_AUPR
qwen2_5_vl_7b,vp_generation,7,43,47,0.8716367280857298,0.47440963344893233
qwen2_5_vl_7b,vp_generation,7,44,64,0.8725618687842108,0.48855307465456527
qwen2_5_vl_7b,vp_generation,7,45,43,0.8716675661090125,0.4699528710708829
