label,layer,n,mean,median
0,1,220,0.15249231457710266,0.12743645906448364
0,2,220,0.2035718411207199,0.20305141806602478
0,3,220,0.25706276297569275,0.2518448233604431
0,4,220,0.18363595008850098,0.18227174878120422
0,5,220,0.1753263771533966,0.1719769388437271
0,6,220,0.1530521810054779,0.14987590909004211
0,7,220,0.1616377979516983,0.15190529823303223
0,8,220,0.15654882788658142,0.15115761756896973
0,9,220,0.15309114754199982,0.14884456992149353
0,10,220,0.20437666773796082,0.20297718048095703
0,11,220,0.2040269672870636,0.19762498140335083
0,12,220,0.19124752283096313,0.18873688578605652
0,13,220,0.2568872272968292,0.25397491455078125
0,14,220,0.23106645047664642,0.22659406065940857
0,15,220,0.22257353365421295,0.22225737571716309
0,16,220,0.25818130373954773,0.2503282427787781
0,17,220,0.26068493723869324,0.2644784450531006
0,18,220,0.25823724269866943,0.257839560508728
0,19,220,0.2311229407787323,0.2283596694469452
0,20,220,0.26401352882385254,0.2637689411640167
0,21,220,0.2744863033294678,0.272072434425354
0,22,220,0.2801344394683838,0.2701241374015808
0,23,220,0.28117501735687256,0.270578533411026
0,24,220,0.323452889919281,0.32135558128356934
0,25,220,0.2905433773994446,0.29448866844177246
0,26,220,0.31953299045562744,0.31985825300216675
0,27,220,0.27233076095581055,0.2672286629676819
0,28,220,0.2854091227054596,0.2918308675289154
0,29,220,0.34266966581344604,0.3516120910644531
0,30,220,0.3039877116680145,0.30963999032974243
0,31,220,0.3146348297595978,0.31697314977645874
0,32,220,0.3357110917568207,0.3393481969833374
1,1,1278,0.15580904483795166,0.1295231133699417
1,2,1278,0.20511910319328308,0.2028501331806183
1,3,1278,0.2565460503101349,0.25228261947631836
1,4,1278,0.18653938174247742,0.1833098828792572
1,5,1278,0.18671612441539764,0.17821338772773743
1,6,1278,0.1540358066558838,0.1489904224872589
1,7,1278,0.17165926098823547,0.16161946952342987
1,8,1278,0.15251821279525757,0.14529341459274292
1,9,1278,0.16099435091018677,0.15540187060832977
1,10,1278,0.17676593363285065,0.1727587878704071
1,11,1278,0.1860436499118805,0.18312600255012512
1,12,1278,0.1713297814130783,0.1657913774251938
1,13,1278,0.21699713170528412,0.2171076238155365
1,14,1278,0.23390501737594604,0.23125891387462616
1,15,1278,0.19661535322666168,0.19314950704574585
1,16,1278,0.21003419160842896,0.2029360979795456
1,17,1278,0.22795145213603973,0.2233431041240692
1,18,1278,0.2420833855867386,0.24013584852218628
1,19,1278,0.20091357827186584,0.1964445561170578
1,20,1278,0.22429952025413513,0.21665990352630615
1,21,1278,0.26271963119506836,0.2612457275390625
1,22,1278,0.2666144371032715,0.25848978757858276
1,23,1278,0.2852090895175934,0.2803480923175812
1,24,1278,0.3180999457836151,0.31406694650650024
1,25,1278,0.2651009261608124,0.2631012201309204
1,26,1278,0.3178640902042389,0.3190634846687317
1,27,1278,0.2575203478336334,0.2543684244155884
1,28,1278,0.28459087014198303,0.28149738907814026
1,29,1278,0.3424614667892456,0.3442951440811157
1,30,1278,0.28493186831474304,0.28817519545555115
1,31,1278,0.3125462830066681,0.31734317541122437
1,32,1278,0.356885701417923,0.3591705858707428
