layer,AE_V_train_mean,AE_V_z_over_layers,logS_V_train_mean,logS_V_z_over_layers,AE_VP_train_mean,AE_VP_z_over_layers,logS_VP_train_mean,logS_VP_z_over_layers,AE_G_train_mean,AE_G_z_over_layers,logS_G_train_mean,logS_G_z_over_layers
0,0.5238398344711097,-0.7616451915577666,0.7652965609328723,-1.0448974865708252,0.5174337694026863,-0.2867091003931622,0.8973511667489483,-1.8354384148855234,0.5182853963909921,-1.3853690423027438,0.9212152637076124,-1.826604944632994
1,0.5142128606808305,-0.9519996989647644,0.46226187641815947,-1.5443484652603003,0.48701281443067673,-1.7654814214950796,0.711465548968619,-2.1813181209234562,0.5361683469338591,-1.1083214391140812,1.1246206403127048,-1.3876336895954047
2,0.47011111058634125,-1.8240252282645117,0.4718846412117125,-1.5284885669072938,0.5134365498197561,-0.48101521885796555,0.8762361759575019,-1.874727343717929,0.5236592862385767,-1.302115258286266,1.458164567223247,-0.6678090780250286
3,0.4754307459916756,-1.7188398814227313,0.4722783827806841,-1.5278396160708954,0.5199920734503242,-0.16234912490617212,1.0497224064696733,-1.5519193334602965,0.5273552978434152,-1.244855626883527,1.336224486908762,-0.9309692313525283
4,0.48975677821315505,-1.4355707185451823,0.5274694453608229,-1.4368756715814848,0.5215551819826568,-0.0863659207425099,1.2657385036486004,-1.1499754655920242,0.5434777799839806,-0.9950816858446232,1.530593235756734,-0.5115000164972503
5,0.5038982551556095,-1.1559507739986978,0.6525584872985337,-1.2307083659505507,0.5223171974155301,-0.04932410757713542,1.4418024706300459,-0.8223710286776,0.5456253675862045,-0.9618106662548979,1.642602596778882,-0.26977145157680976
6,0.5158872357043748,-0.9188922199412749,0.9025705150471711,-0.8186474424850899,0.523091452920951,-0.011687300582391204,1.7849303137958945,-0.18390873694782722,0.5473872171931911,-0.9345156061011242,1.610183094890607,-0.3397363151861882
7,0.5128733648954031,-0.9784855984762224,0.927400836884235,-0.777722990016699,0.5226202621810114,-0.0345920326929826,1.712874425070195,-0.31798403501741396,0.5623246802712276,-0.7031003072907233,1.7348541946073162,-0.07068232053288213
8,0.524170160684346,-0.7551136391744311,1.0087664808723809,-0.643619032291009,0.5240638798860074,0.035582684253444706,1.9452171388593424,0.1143389736427534,0.5506621670297595,-0.8837791797709467,1.912471133503926,0.3126346393464744
9,0.5321326219915541,-0.5976715984148162,1.150086313499407,-0.41070071527778235,0.5243100299088369,0.047548115349665396,1.8852371020180418,0.0027333649972802756,0.5616386993731095,-0.7137277126062647,1.9461356989311651,0.38528648750573413
