model,split,metric,region,label,n,layer,mean,median,q25,q75
qwen3_vl_8b,train,raw_attention,BOS,0,2077,1,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,2,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,3,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,4,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,5,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,6,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,7,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,8,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,9,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,10,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,11,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,12,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,13,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,14,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,15,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,16,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,17,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,18,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,19,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,20,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,21,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,22,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,23,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,24,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,25,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,26,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,27,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,28,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,29,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,30,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,31,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,32,0.0,0.0,0.0,0.0
qwen3_vl_8b,train,raw_attention,BOS,0,2077,33,0.0,0.0,0.0,0.0
