model,feature,seed,input_dim,best_epoch,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen3_vl_8b,AE_logS_PV,43,72,26,0.8849192796818652,0.6460375388532845,0.9045090909090909,0.6847835714841441
qwen3_vl_8b,AE_logS_PV,44,72,41,0.8883836834397447,0.6446895171998411,0.9099768595041322,0.7015397182035407
qwen3_vl_8b,AE_logS_PV,45,72,37,0.8918480871976244,0.6526657932676907,0.9026942148760331,0.6939792995516333
qwen3_vl_8b,AE_logS_PV_kP,43,108,29,0.8980880658960275,0.6437739585259,0.9268297520661157,0.7232590365443277
qwen3_vl_8b,AE_logS_PV_kP,44,108,19,0.8943110843554819,0.6525937854149373,0.9246975206611571,0.7210015862790352
qwen3_vl_8b,AE_logS_PV_kP,45,108,25,0.8930926098508309,0.6419952444069377,0.923500826446281,0.7240191434269185
qwen3_vl_8b,AE_logS_PV_kVP,43,108,24,0.8973789774075726,0.6635008584609324,0.9174181818181819,0.6882783502550418
qwen3_vl_8b,AE_logS_PV_kVP,44,108,21,0.8940998049283098,0.6627721589049818,0.9162181818181818,0.6725649231938471
qwen3_vl_8b,AE_logS_PV_kVP,45,108,18,0.894542623453753,0.6560952231475212,0.9186413223140496,0.6948868030633034
qwen3_vl_8b,kVP,43,36,30,0.8326898475893887,0.513067869311408,0.8677487603305786,0.5919852048259271
qwen3_vl_8b,kVP,44,36,26,0.8321312595148098,0.5248861299414428,0.8681785123966943,0.5969366301348152
qwen3_vl_8b,kVP,45,36,17,0.8339401587200519,0.5178678091342533,0.8588231404958678,0.5665233940133765
