model,seed_mean_auc,seed_mean_ap,ensemble_auc,ensemble_ap
qwen2_5_vl_7b,0.874488623602277,0.43982126471102706,0.8821379560936546,0.4577398864795778
llava_1_5_7b,0.9001515192729853,0.708153265166643,0.9049595649579559,0.7192761451308152
qwen3_vl_8b,0.8865496981241195,0.6283199927748971,0.8965096212324687,0.6493415488427583
internvl_2_5_8b,0.8582539813934611,0.5303403431153165,0.8638121775632056,0.5461541422582844
