model,experiment,group,classifier,auc,auc_std,hall_aupr,hall_aupr_std,status,source
qwen3_vl_8b,old_composition,F_C,fixed_three_hidden,0.886070926167756,0.0032251772805136966,0.6262662611335135,0.0077036437926857595,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
internvl_2_5_8b,old_composition,AE_I,fixed_three_hidden,0.855419474915352,0.002860732508815906,0.5353710151079936,0.009151679455671427,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B,fixed_three_hidden,0.860232661845914,0.00674273582628652,0.5156840416218659,0.015936719304658984,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,AE_I_SC,fixed_three_hidden,0.8602533565470023,0.011071129181083389,0.5256615559885333,0.023852965531323538,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B_SC,fixed_three_hidden,0.859973866820475,0.005817092939220776,0.5320352453523655,0.015288097342281773,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B_JS_TE,fixed_three_hidden,0.8712662753810495,0.005068341587552744,0.5646410857395416,0.012734341541683566,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B_JS_TC,fixed_three_hidden,0.8587617804029636,0.017200555379308285,0.5104071466881239,0.04362253629488145,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B_OT_TE,fixed_three_hidden,0.8573176018001275,0.004027051728145653,0.5096244524576271,0.023166553944749677,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B_OT_TC,fixed_three_hidden,0.8550834641772499,0.005567720002001723,0.520650306845077,0.026292104134375768,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,F,fixed_three_hidden,0.8582539813934611,0.005868731996798687,0.5303403431153165,0.012005098836062829,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,F_C,fixed_three_hidden,0.8489498218030468,0.005999741104978822,0.5089028840219793,0.007019219831781086,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
qwen2_5_vl_7b,old_gate,attention_raw_prompt,fixed_three_hidden,0.8343746068031436,0.003907120461523757,0.3849101739605713,0.017535688618427036,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_raw_generation,fixed_three_hidden,0.8129711747751944,0.0013043040341529782,0.3281658536938567,0.012517731648157419,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_raw_visual,fixed_three_hidden,0.8178653364706768,0.0066302532711876045,0.33479413297112304,0.01388243292378364,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_raw_concat,fixed_three_hidden,0.8453312025738446,0.0034603160133434047,0.40933462737185494,0.01320909208221898,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_raw_visual_prompt_sum,fixed_three_hidden,0.809111231054526,0.006508324352381155,0.3241992229148569,0.026125103883595246,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_log1p_prompt,fixed_three_hidden,0.8338724907426026,0.0033232421679605223,0.38610129000236126,0.013062780486579325,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_log1p_generation,fixed_three_hidden,0.8081493319034196,0.002722860978366422,0.319743812043497,0.01589004242281503,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_log1p_visual,fixed_three_hidden,0.8231281477796945,0.0025607354018611704,0.3433714469779443,0.008495066714851136,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_log1p_concat,fixed_three_hidden,0.845669278375731,0.002504302094997588,0.40948232735316376,0.01372928915077854,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,attention_log1p_visual_prompt_sum,fixed_three_hidden,0.8097509292674867,0.002155359094188966,0.32978219935148473,0.01641402891261366,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_raw_prompt,fixed_three_hidden,0.8437819334643303,0.004247361432463345,0.4183611070511984,0.0022396141486528565,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_raw_generation,fixed_three_hidden,0.8178870909135808,0.0008658590157401484,0.3588986857775003,0.003265311620316763,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_raw_visual,fixed_three_hidden,0.8282857146216903,0.004524575430771034,0.36132441068509563,0.00529272783460116,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_raw_concat,fixed_three_hidden,0.8747485010012923,0.0048898875986956095,0.4819518720432247,0.01564204436394011,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_raw_visual_prompt_sum,fixed_three_hidden,0.8329793826677063,0.003632738512865125,0.4237174708736067,0.008785932594221228,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_log1p_prompt,fixed_three_hidden,0.8423296774110097,0.0027017269560999113,0.4164137677268251,0.002604068253786957,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_log1p_generation,fixed_three_hidden,0.8242276290832207,0.005534489309960535,0.3690753245470934,0.012413934244419412,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_log1p_visual,fixed_three_hidden,0.8286690631831336,0.006599549968290056,0.3635004159934227,0.005170706672780558,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_log1p_concat,fixed_three_hidden,0.8803152865530498,0.003512255283104995,0.493417563065712,0.008378737163048216,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,gated_log1p_visual_prompt_sum,fixed_three_hidden,0.8317088056105297,0.003526897208325889,0.4175226113705648,0.0165553274526779,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen2_5_vl_7b,old_gate,F_E_reference,fixed_three_hidden,0.874488623602277,0.0008451358710269548,0.43982126471102706,0.016776119232432937,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_raw_prompt,fixed_three_hidden,0.8787164808944691,0.0010237787756325848,0.6471707358956565,0.004051705605811959,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_raw_generation,fixed_three_hidden,0.8805692834126138,0.0008650666342019912,0.6497701743366805,0.006394557047203902,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_raw_visual,fixed_three_hidden,0.8795958097030597,0.0021457426103709378,0.6599557982431397,0.0009568473683293476,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_raw_concat,fixed_three_hidden,0.8895449772441356,0.003880600387881472,0.6651532674125694,0.007022832700759109,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_raw_visual_prompt_sum,fixed_three_hidden,0.8801340561655359,0.0005959924876633259,0.648062064515468,0.0031058953668927545,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_log1p_prompt,fixed_three_hidden,0.8786903402508615,0.0006227240481303835,0.6438046850069964,0.003002871855986409,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_log1p_generation,fixed_three_hidden,0.8802687142410948,0.0012598421144778618,0.6484556638706122,0.007309018823199673,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_log1p_visual,fixed_three_hidden,0.8805886718604556,0.0021302074361629424,0.659079605986184,0.0024590646067622094,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_log1p_concat,fixed_three_hidden,0.8910483054014287,0.0035468616351268588,0.67419538893318,0.005241323047064806,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,attention_log1p_visual_prompt_sum,fixed_three_hidden,0.8714779341136171,0.003976175090567829,0.6315202374964496,0.00856207426359053,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_raw_prompt,fixed_three_hidden,0.8481758171459085,0.0017949535462221122,0.5653847411284111,0.007190767251656998,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_raw_generation,fixed_three_hidden,0.8786547465331815,0.002037211579469975,0.6540624201699166,0.002814999340108542,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_raw_visual,fixed_three_hidden,0.8787056773812437,0.001412549210205182,0.6632332646104498,0.003963250525110917,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_raw_concat,fixed_three_hidden,0.8954139858037977,0.00199100628494951,0.6936133744098911,0.0017150340257450756,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_raw_visual_prompt_sum,fixed_three_hidden,0.8721252767676814,0.0007469359829402694,0.6220433920547688,0.0016782710435351976,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_log1p_prompt,fixed_three_hidden,0.851210253923074,0.0012783220930320347,0.5713471072372752,0.006242924189641243,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_log1p_generation,fixed_three_hidden,0.8774455247314603,0.0008800829382275753,0.650529988800252,0.0017920978327329521,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_log1p_visual,fixed_three_hidden,0.8789806846687922,0.0009543353411443382,0.6627952785437187,0.0019373567270736885,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_log1p_concat,fixed_three_hidden,0.8961120663860455,0.0012353790415692144,0.6947323502999557,0.001508300804323037,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,gated_log1p_visual_prompt_sum,fixed_three_hidden,0.8713235017504585,0.0015929316315285566,0.6295822319677898,0.005006270949316079,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
llava_1_5_7b,old_gate,F_E_reference,fixed_three_hidden,0.9001515192729853,0.00272196496534372,0.708153265166643,0.006193537416397996,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_raw_prompt,fixed_three_hidden,0.8591651513701472,0.0024562947106606774,0.588862726301861,0.003939565229773044,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_raw_generation,fixed_three_hidden,0.8522813573763811,0.0014145580452543825,0.5497844602372105,0.008068369153135808,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_raw_visual,fixed_three_hidden,0.8553541420334508,0.0011620362506423033,0.5690470931289282,0.004636493439297662,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_raw_concat,fixed_three_hidden,0.8809109427562651,0.0024683310817941845,0.6271486732278334,0.009335577236150692,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_raw_visual_prompt_sum,fixed_three_hidden,0.8514134706516135,0.0021028876662382615,0.5466588191261187,0.0028308391841833694,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_log1p_prompt,fixed_three_hidden,0.8578296837583882,0.002714050387557619,0.5848198921401054,0.0063440151417029226,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_log1p_generation,fixed_three_hidden,0.8453774966375339,0.0026725336809195767,0.5374130160362013,0.004866196086646679,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_log1p_visual,fixed_three_hidden,0.8573184962907394,0.0017163515998264024,0.5719783260975343,0.004761121408438352,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_log1p_concat,fixed_three_hidden,0.8820290206296431,0.004826203516354962,0.6266759677700993,0.008951792012640182,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,attention_log1p_visual_prompt_sum,fixed_three_hidden,0.84380431527635,0.005176264293060121,0.538719333634793,0.00826943732468849,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_raw_prompt,fixed_three_hidden,0.8285699254031614,0.0038452968675028007,0.5589774727741558,0.0010054373443494737,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_raw_generation,fixed_three_hidden,0.8527482950984661,0.003629325767902774,0.569025875908011,0.00582246089395657,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_raw_visual,fixed_three_hidden,0.8591466282208412,0.0017026039055378047,0.5633419408885915,0.004994139131326269,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
