model,experiment,group,classifier,auc,auc_std,hall_aupr,hall_aupr_std,status,source
qwen2_5_vl_7b,current,F0,fixed_three_hidden,0.8747485010012923,0.0048898875986956095,0.4819518720432247,0.01564204436394011,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,F1_raw,fixed_three_hidden,0.8653182439813688,0.0067247575577929816,0.44603059534985817,0.006230618389759607,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,F1_log1p,fixed_three_hidden,0.8562678077753906,0.003965346769253724,0.4576490849199235,0.005794666736601463,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,F2,fixed_three_hidden,0.8564089176753086,0.007224031069584517,0.4719733124892053,0.004255229595293521,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,b1_F3_raw,fixed_three_hidden,0.8589694744009003,0.000480902852911385,0.4406564153533518,0.002485018335913182,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,b1_F3_log1p,fixed_three_hidden,0.8497967429483267,0.01088198683993308,0.4153955705368144,0.031643848969175305,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,b1_F4,fixed_three_hidden,0.8400695671806595,0.006623545485601094,0.42780060075659,0.007523835325464086,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,b1_F5,fixed_three_hidden,0.8460714415904969,0.0022392409470100576,0.454221131224754,0.008347098397810745,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,b1_F6,fixed_three_hidden,0.8558356587068924,0.006142715817361938,0.4518155985622338,0.008659384755305966,see source numerical limits,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,b2_F3_raw,fixed_three_hidden,0.8616152850243591,0.0031494007361490503,0.43579298750952233,0.005860119600851589,B2_K4_PROVISIONAL,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,b2_F3_log1p,fixed_three_hidden,0.8634655885870314,0.002484928576855866,0.44848699255005053,0.012284229972267163,B2_K4_PROVISIONAL,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,current,b2_F4,fixed_three_hidden,0.8614159672907252,0.006160866855852926,0.4490217643217447,0.008467078529447307,B2_K4_PROVISIONAL,outputs/ffn_all_source_paths_v1/qwen2_5_vl_7b/detection.json
