title,model,experiment,group,classifier,auc,auc_std,hall_aupr,hall_aupr_std,status,source
"旧 [log1p(U),log1p(S)] 三来源",llava_1_5_7b,old_fusion,gated_log1p_concat,fixed_three_hidden,0.9029640017293339,0.0007323071020656957,0.7125830563836141,0.007269712550212629,see source numerical limits,outputs/ffn_source_composition_v1/attention_strength_fusion/detection.csv
"旧 [log1p(U),log1p(S)] 三来源",qwen3_vl_8b,old_fusion,gated_log1p_concat,fixed_three_hidden,0.9087818508124973,0.0036571853407447005,0.6897207296963902,0.001796223145775752,see source numerical limits,outputs/ffn_source_composition_v1/attention_strength_fusion/detection.csv
"旧 [log1p(U),log1p(S)] 三来源",internvl_2_5_8b,old_fusion,gated_log1p_concat,fixed_three_hidden,0.8681780919218568,0.004521517622201175,0.5646779529605407,0.023396485120751317,see source numerical limits,outputs/ffn_source_composition_v1/attention_strength_fusion/detection.csv
"旧 [U_P,S_P] 仅 prompt",qwen2_5_vl_7b,old_fusion,gated_raw_prompt,fixed_three_hidden,0.8398143934449748,0.004316972646434004,0.3816276778985162,0.011534379413455417,see source numerical limits,outputs/ffn_source_composition_v1/attention_strength_fusion/detection.csv
"旧 [U_P,S_P] 仅 prompt",llava_1_5_7b,old_fusion,gated_raw_prompt,fixed_three_hidden,0.8916399906703947,0.002063450806868408,0.705622457809511,0.005040965222796207,see source numerical limits,outputs/ffn_source_composition_v1/attention_strength_fusion/detection.csv
"旧 [U_P,S_P] 仅 prompt",qwen3_vl_8b,old_fusion,gated_raw_prompt,fixed_three_hidden,0.8550290864897295,0.017426145520231907,0.5751829769185998,0.020580820751123798,see source numerical limits,outputs/ffn_source_composition_v1/attention_strength_fusion/detection.csv
"旧 [U_P,S_P] 仅 prompt",internvl_2_5_8b,old_fusion,gated_raw_prompt,fixed_three_hidden,0.8828239321534239,0.0018431547942615067,0.596716808361271,0.008804662174538732,see source numerical limits,outputs/ffn_source_composition_v1/attention_strength_fusion/detection.csv
"旧 [U_VP,log1p(S_VP),U_G,log1p(S_G)] MLP",qwen2_5_vl_7b,old_cross_scale,gated_vp_generation,fixed_three_hidden,0.866347170334936,0.006602484619491636,0.4677978725640446,0.024752360857133327,see source numerical limits,outputs/ffn_source_composition_v1/raw_attention_log_strength_mlp/trees_detection.csv
"旧 [U_VP,log1p(S_VP),U_G,log1p(S_G)] MLP",llava_1_5_7b,old_cross_scale,gated_vp_generation,fixed_three_hidden,0.9046986408215764,0.003056199364981223,0.7194709595496999,0.006017456501661914,see source numerical limits,outputs/ffn_source_composition_v1/raw_attention_log_strength_mlp/trees_detection.csv
"旧 [U_VP,log1p(S_VP),U_G,log1p(S_G)] MLP",qwen3_vl_8b,old_cross_scale,gated_vp_generation,fixed_three_hidden,0.8966520179427574,0.0007263270828116417,0.6641066546195121,0.009725052278472472,see source numerical limits,outputs/ffn_source_composition_v1/raw_attention_log_strength_mlp/trees_detection.csv
"旧 [U_VP,log1p(S_VP),U_G,log1p(S_G)] MLP",internvl_2_5_8b,old_cross_scale,gated_vp_generation,fixed_three_hidden,0.8659926869821875,0.005580615484436007,0.561599262814276,0.005699160049706062,see source numerical limits,outputs/ffn_source_composition_v1/raw_attention_log_strength_mlp/trees_detection.csv
同上特征，搜参 XGB（分类器不同）,qwen2_5_vl_7b,old_cross_scale,gated_vp_generation,xgb,0.8658362349056504,0.0,0.4578274025032458,0.0,see source numerical limits,outputs/ffn_source_composition_v1/raw_attention_log_strength_mlp/trees_detection.csv
同上特征，搜参 XGB（分类器不同）,llava_1_5_7b,old_cross_scale,gated_vp_generation,xgb,0.9051913581926031,0.0,0.7113365008688185,0.0,see source numerical limits,outputs/ffn_source_composition_v1/raw_attention_log_strength_mlp/trees_detection.csv
同上特征，搜参 XGB（分类器不同）,qwen3_vl_8b,old_cross_scale,gated_vp_generation,xgb,0.9099628302137263,0.0,0.6964582622462491,0.0,see source numerical limits,outputs/ffn_source_composition_v1/raw_attention_log_strength_mlp/trees_detection.csv
同上特征，搜参 XGB（分类器不同）,internvl_2_5_8b,old_cross_scale,gated_vp_generation,xgb,0.87338247546009,0.0,0.5676535676618025,0.0,see source numerical limits,outputs/ffn_source_composition_v1/raw_attention_log_strength_mlp/trees_detection.csv
