model,head,seed,AUROC,HALL_AUPR,best_epoch,epochs
qwen2_5_vl_7b,svar_native,43,0.8715904710508056,0.4799360076314257,9,14
qwen2_5_vl_7b,svar_native,44,0.8764937167527562,0.4658952656688037,11,16
qwen2_5_vl_7b,svar_native,45,0.872037622388405,0.4658642915399528,8,13
qwen2_5_vl_7b,metatoken_lr,43,0.8339372446226196,0.4408465141072135,,0
qwen2_5_vl_7b,metatoken_lr,44,0.8339372446226196,0.4408465141072135,,0
qwen2_5_vl_7b,metatoken_lr,45,0.8339372446226196,0.4408465141072135,,0
qwen2_5_vl_7b,metatoken_gb,43,0.8269832703723694,0.37570722027835,,0
qwen2_5_vl_7b,metatoken_gb,44,0.8273533266517616,0.39529667784612005,,0
qwen2_5_vl_7b,metatoken_gb,45,0.8275229357798166,0.39825829729283957,,0
llava_1_5_7b,svar_native,43,0.9041142119318015,0.7022238915782688,21,26
llava_1_5_7b,svar_native,44,0.9049432168324676,0.7140602998904797,11,16
llava_1_5_7b,svar_native,45,0.9042853928847414,0.7126386297471076,16,21
llava_1_5_7b,metatoken_lr,43,0.8834624526806938,0.6736410172037169,,0
llava_1_5_7b,metatoken_lr,44,0.8834624526806938,0.6736410172037169,,0
llava_1_5_7b,metatoken_lr,45,0.8834624526806938,0.6736410172037169,,0
llava_1_5_7b,metatoken_gb,43,0.8857391593547945,0.6681743680281673,,0
llava_1_5_7b,metatoken_gb,44,0.8866684273850398,0.6695682250843131,,0
llava_1_5_7b,metatoken_gb,45,0.8859959307842045,0.668709734766177,,0
qwen3_vl_8b,svar_native,43,0.8919603305785124,0.6281343291153266,22,27
qwen3_vl_8b,svar_native,44,0.8864859504132231,0.621254135190411,19,24
qwen3_vl_8b,svar_native,45,0.8900925619834712,0.6303506259395955,21,26
qwen3_vl_8b,metatoken_lr,43,0.8224264462809917,0.4574226057244557,,0
qwen3_vl_8b,metatoken_lr,44,0.8224264462809917,0.4574226057244557,,0
qwen3_vl_8b,metatoken_lr,45,0.8224264462809917,0.4574226057244557,,0
qwen3_vl_8b,metatoken_gb,43,0.8367603305785123,0.529271965987331,,0
qwen3_vl_8b,metatoken_gb,44,0.836690909090909,0.5291888304325024,,0
qwen3_vl_8b,metatoken_gb,45,0.8362148760330579,0.5243504604805219,,0
internvl_2_5_8b,svar_native,43,0.8649016772700984,0.5312697419119368,5,10
internvl_2_5_8b,svar_native,44,0.866122035858878,0.5273704086920761,6,11
internvl_2_5_8b,svar_native,45,0.8783487565066512,0.5533225197182519,14,19
internvl_2_5_8b,metatoken_lr,43,0.8337825332562174,0.46957987636182086,,0
internvl_2_5_8b,metatoken_lr,44,0.8337825332562174,0.46957987636182086,,0
internvl_2_5_8b,metatoken_lr,45,0.8337825332562174,0.46957987636182086,,0
internvl_2_5_8b,metatoken_gb,43,0.8488374783111625,0.5194149913579392,,0
internvl_2_5_8b,metatoken_gb,44,0.8487102371312898,0.5191899695474995,,0
internvl_2_5_8b,metatoken_gb,45,0.8492654713707346,0.5223440299466556,,0
