feature,layer,hall_minus_real,difference_sem,difference_ci95_low,difference_ci95_high,cohens_d_hall_minus_real,hall_positive_raw_auroc,best_orientation_auroc
s,1,-0.052048116060491534,0.009823834493192367,-0.07130283166714857,-0.0327934004538345,-0.1386729722487472,0.4548297908195986,0.5451702091804014
s,2,0.013185773252748056,0.0032107412448627846,0.006892720412816999,0.019478826092679112,0.11709689639970486,0.5340661452824451,0.5340661452824451
s,3,0.003551202513941365,0.0031080004663172857,-0.002540478400040515,0.009642883427923245,0.028741341002748194,0.5103843925175708,0.5103843925175708
s,4,-0.011682513915969972,0.003030260489695636,-0.01762182447577342,-0.005743203356166526,-0.10081188117682094,0.4660318281687328,0.5339681718312672
s,5,-0.007638461669881469,0.002386915794874651,-0.012316816627835785,-0.0029601067119271523,-0.08285836178722904,0.4759312266038095,0.5240687733961905
s,6,-0.021533954224545182,0.003950961944531507,-0.029277839635826936,-0.013790068813263428,-0.13039752897222306,0.4670102027251465,0.5329897972748535
s,7,-0.01896802995381064,0.002401977238919246,-0.023675905342092362,-0.014260154565528916,-0.22905885087502748,0.4391121350063957,0.5608878649936043
s,8,0.006575824122351914,0.0025538986874223514,0.0015701826950041053,0.011581465549699722,0.06965159854941148,0.519113691021994,0.519113691021994
s,9,-0.028476471292435357,0.0019296293002986616,-0.032258544721020736,-0.02469439786384998,-0.4182425127598173,0.3774387257943528,0.6225612742056472
s,10,-0.03846770854861048,0.0020959057572631943,-0.042575683832846344,-0.034359733264374616,-0.448019424522322,0.3675657898241113,0.6324342101758886
s,11,-0.021223245594672924,0.0021715683237635234,-0.02547951950924943,-0.016966971680096418,-0.24755027041484795,0.4231665166749227,0.5768334833250772
s,12,-0.03601080820515923,0.0018403864408619388,-0.03961796562924863,-0.032403650781069826,-0.4759515522251245,0.35564308946047063,0.6443569105395294
s,13,-0.0534334545741203,0.002761563927973047,-0.05884611987294747,-0.04802078927529313,-0.4780322657079358,0.3565650258691843,0.6434349741308156
s,14,-0.01027342649478935,0.0016007627899936035,-0.013410921563176813,-0.007135931426401888,-0.1773465559012642,0.4417528566712441,0.5582471433287559
s,15,0.008232297031444458,0.0016853481139710205,0.004929014728061258,0.011535579334827658,0.1325265170131485,0.5356666710865217,0.5356666710865217
s,16,-0.004039325445255648,0.002157638888093599,-0.008268297665919102,0.00018964677540780558,-0.05050767350393659,0.47091452125207917,0.5290854787479209
s,17,-0.01633942011000733,0.0016829898301372,-0.01963808017707624,-0.013040760042938419,-0.2709573362365415,0.40975421186676664,0.5902457881332334
s,18,0.0022621422600401786,0.0016565652350186196,-0.0009847256005963158,0.0055090101206766735,0.040639357356056054,0.4978797162543792,0.5021202837456208
s,19,-0.016629449783456374,0.0018175124456051852,-0.020191774176842536,-0.013067125390070211,-0.2481763216411743,0.41980096713225873,0.5801990328677413
s,20,-0.008385125107539526,0.004157641769346433,-0.016534102975458535,-0.00023614723962051692,-0.06246783131133869,0.45623765628012086,0.5437623437198791
