method,label,layer,metric,count,mean,std,q10,median,q90
ATTN,HALL,1,normalized_entropy,3487,0.9943549980876574,0.0011578290199998659,0.9927990198135376,0.9945206046104431,0.9956347584724426
ATTN,HALL,1,top1_mass,3487,0.004208254717757265,0.0003674229495021506,0.0037513345014303923,0.004186142701655626,0.004686188790947199
ATTN,HALL,1,top32_mass,3487,0.09299082981205137,0.004756120434081547,0.08803600370883942,0.0921940729022026,0.09886468350887298
ATTN,HALL,2,normalized_entropy,3487,0.9579027855433876,0.008144277913604682,0.9468135476112366,0.958709716796875,0.9673328042030335
ATTN,HALL,2,top1_mass,3487,0.023452359123477578,0.0045751189743543025,0.018132686987519263,0.022906798869371414,0.029496028274297714
ATTN,HALL,2,top32_mass,3487,0.22355617854582877,0.023371859253294422,0.19491251111030578,0.2222641110420227,0.25447907447814944
ATTN,HALL,3,normalized_entropy,3487,0.46399693124814606,0.05888265388723009,0.3939743757247925,0.45939376950263977,0.540300989151001
ATTN,HALL,3,top1_mass,3487,0.3255396235380605,0.08930040048087945,0.22352263927459717,0.311794251203537,0.4479430794715881
ATTN,HALL,3,top32_mass,3487,0.8399844886684336,0.049400938116368275,0.7752711772918701,0.8482280373573303,0.8946240425109864
ATTN,HALL,4,normalized_entropy,3487,0.4064401955540624,0.056959331304439614,0.33688015341758726,0.40233752131462097,0.4800037622451782
ATTN,HALL,4,top1_mass,3487,0.368857505462865,0.10423487121570793,0.24875006675720215,0.35217809677124023,0.5157551765441896
ATTN,HALL,4,top32_mass,3487,0.8789568818124892,0.04142943012520244,0.8254488468170166,0.8863190412521362,0.9238011479377747
ATTN,HALL,5,normalized_entropy,3487,0.46288404579760184,0.06328607804318011,0.3874862134456635,0.4581720232963562,0.5451604723930359
ATTN,HALL,5,top1_mass,3487,0.33011763793095017,0.09293349570884012,0.22227903008461,0.3156702220439911,0.45637834072113037
ATTN,HALL,5,top32_mass,3487,0.8427287610581586,0.05180570642847831,0.7746087908744812,0.8511266112327576,0.900979733467102
ATTN,HALL,6,normalized_entropy,3487,0.5470776930472759,0.06735160550128291,0.4651396095752716,0.5425779223442078,0.6359474778175354
ATTN,HALL,6,top1_mass,3487,0.2776763096263732,0.07949006353507904,0.18483127355575563,0.26756393909454346,0.38751949071884156
ATTN,HALL,6,top32_mass,3487,0.7734232410374021,0.06350402018612793,0.6878363013267517,0.7811369299888611,0.8490374803543091
ATTN,HALL,7,normalized_entropy,3487,0.5763867766408617,0.07231120015519388,0.48539077639579775,0.5726190805435181,0.6739836215972901
ATTN,HALL,7,top1_mass,3487,0.25325015526887745,0.08221189071374485,0.15644921064376832,0.24292288720607758,0.36488059163093567
