layers,metric,difference,ci95_low,ci95_high,images,replicates
16-32,bbox_mass,-0.0011748892764583685,-0.0012925807651229762,-0.001056459810850252,3912,10000
16-32,patch_aupr,-0.0040102420053855226,-0.004134745423260533,-0.0038858054925754353,3912,10000
16-32,patch_auroc,-0.008406330210630308,-0.008569004935289642,-0.00824343216089754,3912,10000
16-32,top1_pointing,-0.00020092114617786816,-0.0011662321219500836,0.0007599657563186892,3912,10000
16-32,top32_box_recall,-0.0030094508027687372,-0.0031870180509276274,-0.002833047851996165,3912,10000
16-32,uniform_enrichment,-0.0003839366719073922,-0.0069709705651222805,0.006240399508934645,3912,10000
