model,split,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,train,0,1,733,0.03008527122437954,0.02681106887757778,0.020028619095683098,0.03716377913951874
qwen2_5_vl_7b,train,0,2,733,0.02750835008919239,0.024802662432193756,0.019463088363409042,0.03368509188294411
qwen2_5_vl_7b,train,0,3,733,0.025185927748680115,0.022774387151002884,0.018486082553863525,0.03013288415968418
qwen2_5_vl_7b,train,0,4,733,0.030501101166009903,0.025789108127355576,0.018646975979208946,0.03644455969333649
qwen2_5_vl_7b,train,0,5,733,0.017429284751415253,0.013464446179568768,0.009611738845705986,0.021666107699275017
qwen2_5_vl_7b,train,0,6,733,0.0397481732070446,0.03337384760379791,0.022828133776783943,0.05166060850024223
qwen2_5_vl_7b,train,0,7,733,0.019910767674446106,0.01795709878206253,0.012631488032639027,0.02468234673142433
qwen2_5_vl_7b,train,0,8,733,0.04834090173244476,0.04166262969374657,0.027210934087634087,0.06423313915729523
qwen2_5_vl_7b,train,0,9,733,0.10601489990949631,0.09251843392848969,0.061284225434064865,0.1432153284549713
qwen2_5_vl_7b,train,0,10,733,0.12414208054542542,0.12205387651920319,0.09202926605939865,0.15413464605808258
qwen2_5_vl_7b,train,0,11,733,0.06496119499206543,0.06273066997528076,0.05026744306087494,0.078658327460289
qwen2_5_vl_7b,train,0,12,733,0.11274302005767822,0.11411453038454056,0.08432098478078842,0.1409374177455902
qwen2_5_vl_7b,train,0,13,733,0.12792764604091644,0.12809127569198608,0.09935273230075836,0.15761983394622803
qwen2_5_vl_7b,train,0,14,733,0.14482812583446503,0.14209477603435516,0.10829222947359085,0.1757483333349228
qwen2_5_vl_7b,train,0,15,733,0.2970767319202423,0.3091367483139038,0.2309592366218567,0.3613379895687103
qwen2_5_vl_7b,train,0,16,733,0.11757258325815201,0.11004061996936798,0.08415532112121582,0.14624911546707153
qwen2_5_vl_7b,train,0,17,733,0.22361284494400024,0.22359076142311096,0.1604032814502716,0.2872897684574127
qwen2_5_vl_7b,train,0,18,733,0.14856836199760437,0.1478344053030014,0.10404330492019653,0.18936128914356232
