branch,source_mode,method,label,layer,n_images,n_targets,support_size,support_size_image_sd,support_size_image_ci95,intersection_size,intersection_size_image_sd,intersection_size_image_ci95,total_variation,total_variation_image_sd,total_variation_image_ci95,constant_risk_sqrt,constant_risk_sqrt_image_sd,constant_risk_sqrt_image_ci95,constant_risk_cosine,constant_risk_cosine_image_sd,constant_risk_cosine_image_ci95,vv_mean,vv_mean_image_sd,vv_mean_image_ci95,vv_std,vv_std_image_sd,vv_std_image_ci95,vv_p10,vv_p10_image_sd,vv_p10_image_ci95,vv_p50,vv_p50_image_sd,vv_p50_image_ci95,vv_p90,vv_p90_image_sd,vv_p90_image_ci95,vv_centered_mean,vv_centered_mean_image_sd,vv_centered_mean_image_ci95,vv_centered_std,vv_centered_std_image_sd,vv_centered_std_image_ci95,vv_centered_p10,vv_centered_p10_image_sd,vv_centered_p10_image_ci95,vv_centered_p50,vv_centered_p50_image_sd,vv_centered_p50_image_ci95,vv_centered_p90,vv_centered_p90_image_sd,vv_centered_p90_image_ci95,qv_mean,qv_mean_image_sd,qv_mean_image_ci95,qv_std,qv_std_image_sd,qv_std_image_ci95,qv_p10,qv_p10_image_sd,qv_p10_image_ci95,qv_p50,qv_p50_image_sd,qv_p50_image_ci95,qv_p90,qv_p90_image_sd,qv_p90_image_ci95,qv_centered_mean,qv_centered_mean_image_sd,qv_centered_mean_image_ci95,qv_centered_std,qv_centered_std_image_sd,qv_centered_std_image_ci95,qv_centered_p10,qv_centered_p10_image_sd,qv_centered_p10_image_ci95,qv_centered_p50,qv_centered_p50_image_sd,qv_centered_p50_image_ci95,qv_centered_p90,qv_centered_p90_image_sd,qv_centered_p90_image_ci95,qv_softmax_normalized_entropy,qv_softmax_normalized_entropy_image_sd,qv_softmax_normalized_entropy_image_ci95,qv_softmax_max_over_uniform,qv_softmax_max_over_uniform_image_sd,qv_softmax_max_over_uniform_image_ci95,qv_top1_minus_median,qv_top1_minus_median_image_sd,qv_top1_minus_median_image_ci95,qv_top1_minus_bottom,qv_top1_minus_bottom_image_sd,qv_top1_minus_bottom_image_ci95,sqrt_cost_mean,sqrt_cost_mean_image_sd,sqrt_cost_mean_image_ci95,sqrt_cost_std,sqrt_cost_std_image_sd,sqrt_cost_std_image_ci95,sqrt_cost_p10,sqrt_cost_p10_image_sd,sqrt_cost_p10_image_ci95,sqrt_cost_p90,sqrt_cost_p90_image_sd,sqrt_cost_p90_image_ci95,cosine_cost_mean,cosine_cost_mean_image_sd,cosine_cost_mean_image_ci95,cosine_cost_std,cosine_cost_std_image_sd,cosine_cost_std_image_ci95,cosine_cost_p10,cosine_cost_p10_image_sd,cosine_cost_p10_image_ci95,cosine_cost_p90,cosine_cost_p90_image_sd,cosine_cost_p90_image_ci95,vv_pooled_count,vv_pooled_mean,vv_pooled_std,vv_pooled_p10,vv_pooled_p50,vv_pooled_p90,qv_pooled_count,qv_pooled_mean,qv_pooled_std,qv_pooled_p10,qv_pooled_p50,qv_pooled_p90
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,1,500,1753,62.264020634920634,1.4334322313879457,0.12564587489248805,1.7359793650793651,1.433432231388308,0.1256458748925198,0.7805493002910935,0.05554908936846672,0.004869092364711215,0.42204627755017055,0.03261596781411393,0.0028589156304247155,0.46781817942327925,0.04104016054177884,0.0035973286801337457,0.40118177216249346,0.02431961372694891,0.002131708131615795,0.17321120969828163,0.01489149279580996,0.001305296894972875,0.18261640682632013,0.033114472279552866,0.0029026114733996145,0.38766108738645216,0.025936168656432064,0.002273405418713914,0.6404522359690967,0.038662472592471055,0.0033889151422835215,0.26485001501403155,0.04943475325848085,0.004333147174486182,0.5045294749806325,0.026720335007953986,0.0023421406300066176,-0.3546412669403716,0.05422689908311189,0.00475319727630728,0.16086235197090004,0.08531948905262783,0.007478582951227218,0.9658465575049328,0.026058359619344374,0.002284115928846791,0.016863509772928154,0.007880873670424381,0.0006907890345669618,0.01576651773893881,0.0023871841519004624,0.000209245916707617,-0.002630016518064865,0.007830688683232119,0.0006863901264887371,0.01642846011568326,0.00798932425568662,0.0007002951474961251,0.03703352338402006,0.009432430845423495,0.0008267890172865636,0.4912848939569458,0.04418558504613214,0.003873037294118986,0.5472507893476696,0.03222532657004604,0.0028246744156639205,-0.3215686154073903,0.06272712564543138,0.005498274985473114,0.8676262573850059,0.06776442443353771,0.005939813691989889,0.9810102919875627,0.004697158136718028,0.00041172406387489623,0.9932838090456666,0.0024033232997208703,0.0002106605753873307,1.7183146734339854,0.20996466587586946,0.0184042144182418,0.039174430578967794,0.008830761153864379,0.000774050343537725,0.07314074450556246,0.011204972388213436,0.0009821591338852935,0.5404784352220238,0.011836187272149235,0.001037487557929785,0.08395053048899605,0.008242031188731645,0.0007224458868185523,0.4233312713001221,0.02320234377021821,0.0020337751019750454,0.6391122809038274,0.012975581717666222,0.0011373598845175622,0.598818247377305,0.024319613385450616,0.0021317081016821496,0.1732112096859704,0.01489149288627179,0.001305296902902204,0.35954775123220106,0.0386624708942062,0.0033889149934240434,0.8173835806630908,0.03311447279166596,0.0029026115182883066,3344465,0.3971976578600529,0.1732971052285187,0.17499999999999993,0.3850000000000001,0.6350000000000001,109119,0.016604773046410743,0.01988572439543851,-0.0050000000000000044,0.015000000000000013,0.04500000000000004
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,2,500,1753,60.23816269841269,2.48553654608838,0.21786688416245534,3.761837301587303,2.485536546088572,0.21786688416247213,0.6583120433882115,0.06755395305766099,0.005921365062481781,0.3720588131067534,0.0399347220732935,0.0035004327261630675,0.4270270793926861,0.04907574054171937,0.004301678322379133,0.35205002891806864,0.02808024334324367,0.002461341851256969,0.14574913447404672,0.01221850042720695,0.0010709987835031223,0.17521676714802906,0.020657296704622623,0.001810691890786408,0.3352660042453145,0.03137637424029581,0.00275026046299997,0.5517997733053944,0.04204833837777766,0.003685699363782064,0.13259981569393517,0.03770388227062332,0.0033048909958923044,0.26098122585174593,0.03180422950244441,0.0027877636302672242,-0.1660956826694578,0.0378502024548183,0.0033177165255232426,0.08556686325529425,0.04122970127207636,0.0036139426576657935,0.522426774375708,0.08849434852741953,0.007756871654129244,0.29392283416948617,0.03874774171546751,0.0033963893104552744,0.07000006216679887,0.015640163776677075,0.0013709207998480871,0.1995429775521276,0.02460887548760475,0.0021570630428524103,0.3010454200259869,0.041708791801868116,0.003655936794151831,0.3791114226187154,0.05643466299843776,0.004946716315870518,0.27024959693130646,0.05814099283055932,0.005096282720139574,0.3271673817362932,0.037298916993821915,0.0032693942243040694,-0.14222914618937585,0.051872016836678685,0.004546782746451624,0.2377857952789552,0.07388579665062059,0.006476375624194545,0.7307578265600029,0.08357103638170223,0.007325324317344094,0.8933189960165631,0.0411742941025189,0.003609086005120998,5.689186346817964,2.1433992404705102,0.18787722706084836,0.14178129519630994,0.03490892492757704,0.0030599021830523677,0.2997710119064602,0.057898798882743796,0.005075053484602236,0.5648143565861478,0.013041861242389272,0.001143169541011209,0.0684464745667305,0.006859812049218051,0.0006012890373530089,0.4726976048863357,0.022657571579361373,0.0019860237140555564,0.6421147627099641,0.008063339864899838,0.0007067829016931203,0.6479499804694033,0.028080244257253133,0.0024613419313734308,0.145749134530405,0.012218500413103281,0.0010709987822668814,0.4482002147713588,0.042048338639316146,0.0036856993867069227,0.8247832251359547,0.020657298484487847,0.0018106920467984738,3125926,0.34641475524300763,0.14645064360711643,0.16499999999999992,0.32500000000000007,0.545,105403,0.2928358188767149,0.09013941763586192,0.18499999999999994,0.28500000000000003,0.4149999999999999
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,3,500,1753,56.202245238095244,2.7407300848258527,0.24023558408385537,7.797754761904759,2.7407300848260174,0.24023558408386977,0.5352550500113101,0.06687906329208353,0.005862208366270298,0.26114709398984204,0.03380963961682923,0.002963545577137604,0.2605753777238111,0.036751815549219344,0.003221438668291858,0.5132478692651508,0.03263414456975238,0.0028605088933044602,0.1335289831981596,0.011260212799238887,0.0009870011694002845,0.340025099364219,0.03184940304212717,0.00279172326560341,0.5092967613563179,0.03758725354018086,0.0032946680369318696,0.6898753246645131,0.035612873838409706,0.003121606025650872,0.10157561737380412,0.034767567357776835,0.0030475116457522365,0.21717987757622015,0.019980659236690835,0.0017513820017091906,-0.15176885558293446,0.03456395173192079,0.003029663949228982,0.06921248053744718,0.039449651085864575,0.00345791437945235,0.4067657084641475,0.053617551465494594,0.0046997856026664234,0.4362531914064809,0.05715143162445593,0.005009543856049615,0.08166862826591273,0.018690337102389376,0.0016382802799065003,0.32234963844692877,0.037737724341079915,0.003307857384157883,0.452968660663092,0.0646484766907687,0.0056666888300768836,0.5323229597957361,0.0746770973105105,0.006545736185187794,0.1483386894567328,0.05702659547968599,0.0049986014855040355,0.2870611659037096,0.030967844178500434,0.0027144512242301255,-0.17507252629419778,0.054236512173071266,0.0047540399007941015,0.08672256081885997,0.06921846985240841,0.006067266392429397,0.5835759694826742,0.08931402365440193,0.007828719346822461,0.8898812928824672,0.04434451910618738,0.0038869684787181486,4.636104471040151,1.8779682822668953,0.1646111777585018,0.12542609276934746,0.03734591302029855,0.0032735136076511356,0.32380541820061337,0.06527577631799596,0.0057216740667395075,0.4878566395536774,0.017109348685338626,0.001499700535077622,0.0702483025142154,0.0065766932706823435,0.0005764725822401169,0.3930267211996611,0.022748468357255403,0.001993991167928381,0.5741970796187246,0.013790890779998288,0.0012088248747705698,0.48675212201211165,0.032634145013647406,0.002860508932213575,0.13352898306508973,0.01126021233685661,0.0009870011288706912,0.3101246657717087,0.035612872191383434,0.003121605881282654,0.6599748915403613,0.03184940157417237,0.002791723136931498,2723504,0.5074691651219994,0.13795680248216977,0.3350000000000001,0.505,0.695,98373,0.43396834381549615,0.11698679667991238,0.29500000000000004,0.42499999999999993,0.6050000000000001
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,4,500,1753,59.27696428571432,2.5277564409237505,0.22156762111276274,4.723035714285718,2.527756440924995,0.2215676211128718,0.6147894055066362,0.07864206095544708,0.006893280572132819,0.2994986713329597,0.038875412406368805,0.0034075801399239894,0.2983337148485202,0.04126187601604376,0.003616762898320848,0.5139923611192712,0.02895429693327224,0.0025379560263936087,0.1337207363439458,0.013462402203691912,0.001180031581541605,0.34073488575871747,0.03914030817928453,0.0034307992781675125,0.5102048439982154,0.03142111933120099,0.002754182543144967,0.6906379664942386,0.030353368437415908,0.0026605900507486145,0.06308850782454095,0.026538218919554907,0.002326177451031115,0.2050988092798445,0.018552355101829197,0.0016261856242958807,-0.17225607542426247,0.02778011290914026,0.0024350342587883163,0.030447164509525265,0.028572725053676862,0.002504509776479365,0.34959133532767483,0.048391555033963495,0.004241706818440288,0.42733198775353415,0.048620259513144255,0.0042617536499187985,0.07792372720059723,0.017176942353748198,0.0015056253813441874,0.3209087092437796,0.03441715388907846,0.0030167965509715873,0.4454791311129693,0.05482464447372819,0.004805591969912164,0.5162937281355968,0.06565117243910201,0.005754578987554597,0.0761811584156426,0.05425005702210634,0.004755227159159048,0.2563108930314935,0.026212961379017144,0.0022976673705743115,-0.21149631940060196,0.047425677213563874,0.0041570438946368716,0.027967755946415734,0.06524601083232623,0.005719065006885348,0.4550706823450706,0.08400650222388709,0.007363494581364272,0.8995961028111357,0.04141608826725979,0.0036302801981267945,4.646682963468346,1.9163088531177328,0.16797187696907168,0.12019669677338429,0.033156186178620886,0.002906267857865383,0.32771439122081036,0.06833311679687797,0.005989661775472271,0.4875465542508494,0.014861687214477849,0.001302684320578949,0.07027484145925214,0.006723436445800935,0.0005893351886602505,0.392706882607227,0.01935442087925692,0.0016964897894454613,0.5737889358354942,0.016737497733600247,0.0014671063620586894,0.4860076397146971,0.02895429911159998,0.0025379562173324533,0.1337207362907865,0.013462402331544634,0.00118003159274839,0.30936202582584504,0.0303533681502217,0.0026605900255749324,0.659265106296208,0.039140307094447165,0.0034307991830773246,3044738,0.5098411136529369,0.13687541337354026,0.3350000000000001,0.505,0.695,104000,0.4264768631458282,0.10721886932679903,0.29500000000000004,0.4149999999999999,0.5750000000000001
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,5,500,1753,59.88064761904765,2.0421127520343076,0.17899907490570102,4.119352380952381,2.0421127520360414,0.17899907490585298,0.6714507806843941,0.06314998272183199,0.005535340042442978,0.3129160675737711,0.031227706512389444,0.002737229162090134,0.29956004804825714,0.035720240053552205,0.003131017089348255,0.5534306121905644,0.03270600904649314,0.002866808092426724,0.13617290992464817,0.019305608105892193,0.0016922111612124391,0.3689669417198572,0.057485620108737694,0.00503883676824116,0.5587028275886463,0.03280502754462069,0.002875487446466175,0.7249339730140243,0.028583569459452153,0.0025054603305561395,0.0713313149743782,0.02476461371864935,0.0021707141006878125,0.20866621944453756,0.018779217372216103,0.0016460709790539908,-0.17231623363756815,0.028362246460479256,0.002486060514345189,0.0416509289014127,0.027155287026981133,0.0023802658554412403,0.36112289656789753,0.04524760457643282,0.003966127410355826,0.44387317940864757,0.052352106773371036,0.004588864484814925,0.07652131065419683,0.017268313492264393,0.0015136344147588148,0.3389586858617526,0.04339281034932265,0.003803547528093,0.46510215379397085,0.05773841010415888,0.005060994788301871,0.5251540965819166,0.06586590356908928,0.0057734010009732415,0.08829906706723917,0.055583466242929154,0.004872105630614773,0.2627718282571385,0.026616783494842436,0.0023330639396849946,-0.2101084104576311,0.047638598774731124,0.00417570729235497,0.03734365672895256,0.06752271071465238,0.005918626550374232,0.4809999799943277,0.08439200540999033,0.00739728542548732,0.9101747032382895,0.051647952940273766,0.004527142679987961,4.266256219030751,2.8877526717529918,0.253122682028856,0.10434373895036327,0.03621084896692027,0.0031740208566700605,0.3358265950790946,0.07711183231441243,0.006759150117843972,0.4662971798950481,0.017012259048306812,0.0014911902531677163,0.07327145481114944,0.008721896496434288,0.0007645079355827773,0.37029295417004165,0.01933683790647519,0.001694948573927911,0.5609330253911399,0.024797557197636363,0.0021736017239382807,0.44656939340344953,0.0327060097390907,0.0028668081531355765,0.1361729099448297,0.019305607845646937,0.0016922111384009369,0.27506601882264736,0.028583569154536286,0.0025054603038290857,0.6310330471221891,0.05748561746578062,0.005038836536575758,3088404,0.5496205421088696,0.1420338187772098,0.3650000000000001,0.555,0.725,104814,0.4425563763850614,0.11021669633790054,0.30500000000000005,0.43499999999999994,0.5950000000000001
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,6,500,1753,59.26717777777776,2.112513475958582,0.1851699704366081,4.7328222222222225,2.112513475958754,0.18516997043662314,0.5845345048473704,0.05827967453014951,0.005108438707074315,0.2384381771974738,0.02664190137141477,0.002335265618640069,0.2016159189904966,0.02892576890480385,0.002535455434445569,0.6555244653387198,0.031564873820410365,0.0027667831796947297,0.12249422025382513,0.022273646755108106,0.001952371219448582,0.48673178634797315,0.06316775457370245,0.00553689781394262,0.6687280233014201,0.030912227539121383,0.002709576210845925,0.8005598388518129,0.02280058262989433,0.0019985591853321502,0.08944575830012541,0.033619393587033426,0.0029468697773787473,0.22429291639268878,0.02210092230413609,0.0019372312537895913,-0.17317419695474262,0.03378090281870084,0.0029610266857220294,0.05680486979989557,0.03511610980376426,0.0030780627381612963,0.40560963481808915,0.05986979004752345,0.00524781847752019,0.5382369978465852,0.053748210956868,0.00471123841204739,0.07111465418000538,0.01797981467989812,0.001576000243606352,0.44417556669358493,0.049015388860881304,0.004296388264311449,0.5600697447281042,0.05908813542477612,0.005179303428961702,0.6081082732559195,0.06393971403068492,0.005604563043752735,0.12530870346950307,0.07033004290189912,0.0061647000661336215,0.28036043686862017,0.028707160001613982,0.0025162935192192155,-0.20859916462978015,0.05906375885221026,0.005177166728167726,0.08411561003856965,0.0875858733666317,0.007677240295285892,0.5366801785540604,0.09348133298747378,0.008194000115341566,0.9331007223650924,0.033039724575929956,0.0028960595482982712,3.181284136935359,1.5506821951376997,0.13592328735319842,0.07890403988633363,0.03206481687293978,0.002810605120387843,0.3254657956417592,0.0844924429429349,0.007406089163412653,0.40772118236777327,0.018002115287952414,0.001577954978087872,0.07312637451939463,0.010221150785551766,0.0008959233682189497,0.3151982000146593,0.017827427738746175,0.001562642939281831,0.5050813007954804,0.02979212920154649,0.0026113952626932876,0.34447553722023505,0.03156487190996965,0.0027667830122372174,0.12249422020612961,0.022273646650280945,0.0019523712102600761,0.19944015510826138,0.022800582013909606,0.0019985591313387086,0.5132682011364472,0.06316775117878413,0.005536897516364908,3032588,0.6540478148728315,0.1299628134933215,0.485,0.665,0.805,103863,0.5380374045647608,0.10940789611490277,0.405,0.535,0.6849999999999999
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,7,500,1753,58.31635000000001,2.427506981723847,0.21278036857800253,5.683650000000001,2.4275069817244264,0.21278036857805335,0.5093277407003535,0.057128344494382186,0.005007520179873405,0.1865059045155252,0.02443796473531056,0.0021420820548919647,0.14312292610209376,0.024484392825018242,0.0021461516563863166,0.7202683081004119,0.029827111645834768,0.002614461609132437,0.11420574489530355,0.023921815193856406,0.002096839552811089,0.5612961591547678,0.06545943143281381,0.005737772147328518,0.7377488361484956,0.028673342100288733,0.002513329249471406,0.8502256881751238,0.021599643708487853,0.001893292247580616,0.08290397406186847,0.03273206210093992,0.002869091743336693,0.2296243434298015,0.021637698039521976,0.0018966278567650145,-0.18803077566592347,0.03568408001335277,0.003127847522076417,0.05127422002477423,0.03448344255719054,0.003022607008918619,0.4048034114328405,0.05706083872544898,0.00500160303833565,0.5907495253747065,0.04982365938069968,0.004367236299111151,0.06553563623150128,0.017264557756125697,0.0015133052099713972,0.506601238590999,0.04886986073222457,0.004283632161409509,0.607805344162798,0.05285382279102089,0.004632841832752854,0.6533647257329928,0.05815892353928814,0.005097854416056789,0.09718268111796606,0.07032344902084951,0.006164122086976132,0.27640001825926785,0.02719612366164228,0.0023838453442913666,-0.2324643789872986,0.05484915464359935,0.0048077403810262665,0.056841717412003466,0.08819887349972651,0.007730972126024295,0.49537763633163917,0.08861587848859791,0.0077675242249055565,0.9432741752847082,0.027783342822077377,0.0024353173731399575,2.9334675980810143,1.4584897489733903,0.1278422631490913,0.07315874156890408,0.028566372008425992,0.0025039529075103983,0.31307500313820835,0.08358872698688355,0.007326874967257437,0.3654492474718462,0.018807801131798904,0.0016485764560495932,0.07467244680062049,0.011744715702071851,0.0010294697213006794,0.27278439404493765,0.019550136705765775,0.0017136450380254382,0.46657043844492174,0.03294536692762803,0.0028877887357589066,0.27973169220202265,0.029827114611934408,0.0026144618691225333,0.11420574487431184,0.0239218150137305,0.0020968395370223572,0.14977430667941039,0.02159964415787658,0.0018932922869712746,0.4387038303499894,0.06545942897767248,0.005737771932125893,2923878,0.7184175029997618,0.12268164535231521,0.5650000000000001,0.735,0.8550000000000001,101947,0.590526849886518,0.09961269254239423,0.475,0.5950000000000001,0.715
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,8,500,1753,56.46197301587303,3.0309136400510583,0.2656712941769514,7.538026984126987,3.030913640051731,0.2656712941770104,0.4289021440512366,0.04644214934009102,0.004070833875469108,0.15826333925773114,0.022219534764985144,0.0019476280943867225,0.12187735143245335,0.02679067467027585,0.0023483061732520877,0.7170841969074236,0.04331333439358048,0.003796581153420043,0.10031510863048097,0.025245174578496347,0.002212837117285603,0.5895230134164885,0.07991101785253517,0.007004509548323141,0.7267910476000061,0.044060067372006,0.0038620351848914158,0.8344617011563177,0.022200745477020518,0.0019459811406813236,0.06769120516413858,0.028705098434768078,0.0025161128149177978,0.21977348660177418,0.022547995945496925,0.001976418986268414,-0.18562527124594372,0.031395342649643734,0.0027519231173868688,0.034008251882717194,0.031117686064889197,0.002727585444668735,0.3749976549529247,0.056416562432274525,0.004945129731292727,0.5829980629646588,0.04696349319606348,0.0041165316792920745,0.05471408130250548,0.017713851226588067,0.0015526875190499825,0.519494760978506,0.05860130241611942,0.005136630634280655,0.5913063894780499,0.045770291329573456,0.004011942924305503,0.6394586825335198,0.04828393228348972,0.004232273268429683,-0.008412211317163475,0.06702411274234063,0.0058749225111605526,0.24191962646354756,0.03025506427651809,0.0026519733111280614,-0.2784001985104074,0.04835815361541499,0.00423877905501745,-0.05589080177385633,0.08514005523830222,0.007462854883940487,0.33877725590086816,0.09509528321755535,0.008335469090470707,0.9497601568614089,0.030539757326886678,0.002676927757251222,3.141874715544971,1.3473551918870805,0.11810088971675398,0.08339468064894756,0.02682841303915837,0.0023516140871327937,0.2865051423755903,0.07515298797858469,0.006587449841427722,0.36843742224980885,0.025457889658425815,0.0022314824161252175,0.06564827619182569,0.011377866179529891,0.0009973139428799266,0.28667320661226664,0.018857055989325085,0.0016528938346678972,0.44984214952890833,0.039959021335966266,0.0035025626504461334,0.28291579819500207,0.04331333458511734,0.0037965811702089887,0.10031510890243897,0.025245174501264237,0.0022128371105159103,0.16553829359186303,0.02220074482303343,0.001945981083356828,0.41047697400006056,0.07991101007542518,0.007004508866629395,2751288,0.7136083452202375,0.1212768756842944,0.5650000000000001,0.735,0.8350000000000001,98804,0.5828597550739436,0.08879795809574535,0.485,0.5850000000000001,0.6849999999999999
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,9,500,1753,57.00146904761903,3.6604187771035304,0.32084985229942964,6.998530952380951,3.6604187771033874,0.3208498522994171,0.4929572275718527,0.05562457320833607,0.004875708814999519,0.18087026017719196,0.024340961969081795,0.0021335793875436777,0.13976838606512032,0.03032991869019452,0.002658534589778,0.7153869922284566,0.05174457728987841,0.00453561217765667,0.10592787013195214,0.027515254132213927,0.002411818363386243,0.5742529809844399,0.08790349395278915,0.007705080967176586,0.7245381149698342,0.05328363709639525,0.004670516717729996,0.8433613708549548,0.02792481744538795,0.0024477181706326514,0.08131068945509985,0.03184738278010974,0.002791546181829839,0.23326292857029854,0.02329230938392652,0.002041660935708305,-0.1948653600110893,0.033226465037435246,0.0029124280714484317,0.04952871755543994,0.034741071713054336,0.0030451892000941142,0.40753142508390156,0.06043277987359209,0.005297166711572016,0.5761601502677873,0.049604873949690764,0.0043480589105392275,0.05840879237274271,0.01954639976886346,0.001713317481063743,0.5033338092583987,0.06540138207720246,0.005732683896964794,0.5872326325676271,0.048488327317105694,0.004250189283055286,0.6364895833030108,0.04784346407134345,0.004193664527349638,0.03957688335570641,0.06276620763070487,0.0055017006725231864,0.2465832361647297,0.028351159000841782,0.00248508865565806,-0.24816844694043794,0.047730247216572715,0.004183740632477766,0.0017081476828778193,0.08141936978093552,0.007136722424202267,0.3916370067822554,0.08417737213010017,0.007378471989007849,0.945083645335538,0.03259971246510087,0.002857490786261381,3.0958173817304404,1.4896327318011844,0.1305720659527935,0.08018751778323499,0.03003234686259931,0.0026324512690580836,0.2816919419814432,0.0814068536764056,0.007135625339269006,0.3678353776627354,0.030640486214781295,0.0026857570335639307,0.07005147246518544,0.012222768742940216,0.0010713729178729798,0.27793917117433403,0.02444874926171336,0.0021430273603103237,0.45739952821866386,0.04355660560288004,0.0038179048150897687,0.2846130108560715,0.05174457311458556,0.004535611811676115,0.10592787013824372,0.027515254129627277,0.0024118183631595133,0.1566386236002758,0.027924815817339122,0.0024477180279278794,0.42574701009686017,0.08790349315631599,0.007705080897362635,2815154,0.718887791881009,0.1310017601584838,0.555,0.745,0.8550000000000001,99781,0.5788034866754616,0.0938355168479549,0.475,0.5850000000000001,0.6849999999999999
hmid_cos__hpre_raw_logit_gauss,hmid_cos,hpre_raw_logit_gauss,all,10,500,1753,59.08239682539684,2.8652024257515114,0.25114606581648474,4.917603174603171,2.865202425752712,0.25114606581659,0.5166852489125161,0.06096384437828611,0.005343716567822993,0.21325058810213007,0.03867456450193651,0.0033899750448799885,0.18503811288093394,0.05127824516702394,0.004494736364846331,0.6463449892451602,0.0682328843103868,0.005980876010661026,0.12899438048518366,0.034753037800420786,0.0030462380738973376,0.4705259538658434,0.11271459663892015,0.009879870005530915,0.6545899626329548,0.07268446362402275,0.006371074141599882,0.807659066441986,0.03147058927757926,0.002758518775132414,0.06071584288217696,0.025606541992946392,0.002244512367745298,0.23242908481455266,0.02810572242791833,0.0024635751914981797,-0.20688135182809617,0.03542412808034823,0.003105061730507656,0.02399988495292541,0.029419759152373114,0.0025787555887780127,0.38577695974733633,0.060349680647484694,0.0052898827432486285,0.5188249419958108,0.05463000462867769,0.004788531035265378,0.0758561367716094,0.03024433672236417,0.002651032999547499,0.41904602415804115,0.08425019353308316,0.007384855066413495,0.5319920356140605,0.053517746295385256,0.004691037293787503,0.5996728636462775,0.05368131152350499,0.004705374418165678,0.030585341917900823,0.05449219877816984,0.0047764518198876145,0.21335838441505772,0.02859503242194178,0.0025064651035194728,-0.22058369962021948,0.04106069144368237,0.0035991282930317356,9.986031150467534e-05,0.07425410774963036,0.006508659515441282,0.3308414919493912,0.07547312267542823,0.006615510884836382,0.9126415753630417,0.05101307530317666,0.004471493201473374,4.397491469760547,2.321927705766202,0.20352593700618762,0.11418672349909469,0.043477505266128535,0.0038109713648730044,0.34575116368094616,0.1129440014147884,0.00989997822072053,0.41032713855999314,0.03758038200481363,0.0032940657203003854,0.07788379313593935,0.014771636953710764,0.0012947910672038512,0.30852861020737704,0.02523911455969363,0.0022123059332172816,0.5107221012041678,0.05277528181806537,0.004625957412934592,0.3536550146757846,0.06823288765176556,0.005980876303545789,0.12899438045324665,0.03475303770658599,0.003046238065672355,0.19234092489426566,0.031470587949665944,0.00275851865873568,0.5294740302259247,0.11271459128852951,0.009879869536548496,3011037,0.641616785932283,0.15877366194546275,0.42499999999999993,0.6749999999999999,0.8150000000000001,103384,0.5170479803311145,0.11130897979675408,0.3750000000000001,0.525,0.6550000000000001
