model,variant,patience,seed,best_epoch,epochs,validation_loss,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen2_5_vl_7b,true_rms/visual,5,43,13,18,0.24888262152671814,0.8729293244015164,0.47232614479420887,0.8633875568576055,0.39189925885884636
qwen2_5_vl_7b,true_rms/visual,5,44,20,25,0.2459944188594818,0.8777068079140053,0.48805885212030525,0.8811810962917277,0.4277382541049546
qwen2_5_vl_7b,true_rms/visual,5,45,21,26,0.2417367547750473,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
qwen2_5_vl_7b,true_rms/visual,10,43,30,40,0.24090875685214996,0.8864179259490055,0.5159728886502662,0.8795775190810269,0.4233058192133956
qwen2_5_vl_7b,true_rms/visual,10,44,31,41,0.24282445013523102,0.885048294126811,0.5128217099254597,0.8815357335594789,0.43157893726884444
qwen2_5_vl_7b,true_rms/visual,10,45,21,31,0.2417367547750473,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
qwen2_5_vl_7b,true_rms/visual,20,43,30,50,0.24090875685214996,0.8864179259490055,0.5159728886502662,0.8795775190810269,0.4233058192133956
qwen2_5_vl_7b,true_rms/visual,20,44,31,51,0.24282445013523102,0.885048294126811,0.5128217099254597,0.8815357335594789,0.43157893726884444
qwen2_5_vl_7b,true_rms/visual,20,45,21,41,0.2417367547750473,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
llava_1_5_7b,true_rms/vp_generation,5,43,22,27,0.32664918899536133,0.9026912517818488,0.7317484516518776,0.8966947403429488,0.7195844609370106
llava_1_5_7b,true_rms/vp_generation,5,44,18,23,0.32976219058036804,0.9009489995248403,0.7337057842399239,0.8957092271424519,0.7137018148928546
llava_1_5_7b,true_rms/vp_generation,5,45,26,31,0.3246225416660309,0.9041321295954103,0.7385272536099702,0.8976093357200848,0.7087332527037495
llava_1_5_7b,true_rms/vp_generation,10,43,72,82,0.3181997835636139,0.908740738785351,0.7360514954066029,0.8996317164069607,0.71847642327075
llava_1_5_7b,true_rms/vp_generation,10,44,50,60,0.31822746992111206,0.90799940165074,0.7422244841093913,0.9001134685173773,0.7197069534577479
llava_1_5_7b,true_rms/vp_generation,10,45,26,36,0.3246225416660309,0.9041321295954103,0.7385272536099702,0.8976093357200848,0.7087332527037495
llava_1_5_7b,true_rms/vp_generation,20,43,72,92,0.3181997835636139,0.908740738785351,0.7360514954066029,0.8996317164069607,0.71847642327075
llava_1_5_7b,true_rms/vp_generation,20,44,50,70,0.31822746992111206,0.90799940165074,0.7422244841093913,0.9001134685173773,0.7197069534577479
llava_1_5_7b,true_rms/vp_generation,20,45,38,58,0.3228536546230316,0.9051748411734685,0.7331503396441662,0.8983429683755417,0.7147308023087814
qwen3_vl_8b,true_rms/vp_generation,5,43,36,41,0.29279133677482605,0.8975873625960165,0.6708068203659826,0.9246446280991735,0.7074506065808535
qwen3_vl_8b,true_rms/vp_generation,5,44,36,41,0.2932243049144745,0.8971474383093015,0.6738129825270277,0.9245322314049587,0.7076596254278978
qwen3_vl_8b,true_rms/vp_generation,5,45,38,43,0.29235056042671204,0.8980157099278177,0.6625641392199269,0.9254446280991735,0.7086142968002794
qwen3_vl_8b,true_rms/vp_generation,10,43,61,71,0.29124099016189575,0.8994512523370978,0.6718477375565567,0.9296661157024793,0.7187354651823845
qwen3_vl_8b,true_rms/vp_generation,10,44,69,79,0.2865411937236786,0.90440040056264,0.6795932544791963,0.9304264462809917,0.7224115571562472
qwen3_vl_8b,true_rms/vp_generation,10,45,67,77,0.2886885702610016,0.9024902030019044,0.6738892591625743,0.9289950413223139,0.7214180297102659
qwen3_vl_8b,true_rms/vp_generation,20,43,74,94,0.2910335063934326,0.8996943683902823,0.6735716631832878,0.9297289256198348,0.71903619452729
qwen3_vl_8b,true_rms/vp_generation,20,44,69,89,0.2865411937236786,0.90440040056264,0.6795932544791963,0.9304264462809917,0.7224115571562472
qwen3_vl_8b,true_rms/vp_generation,20,45,67,87,0.2886885702610016,0.9024902030019044,0.6738892591625743,0.9289950413223139,0.7214180297102659
internvl_2_5_8b,true_rms/vp_generation,5,43,56,61,0.3173028826713562,0.853441275500099,0.5817684883017656,0.8774551764025447,0.5670615318837708
internvl_2_5_8b,true_rms/vp_generation,5,44,35,40,0.3230624496936798,0.8464943553178848,0.5660046995219968,0.8671110468478889,0.5439104303698296
internvl_2_5_8b,true_rms/vp_generation,5,45,42,47,0.3195778727531433,0.850576846900376,0.5773032849367011,0.8742307692307693,0.5601058725793938
internvl_2_5_8b,true_rms/vp_generation,10,43,56,66,0.3173028826713562,0.853441275500099,0.5817684883017656,0.8774551764025447,0.5670615318837708
internvl_2_5_8b,true_rms/vp_generation,10,44,93,103,0.3147188127040863,0.8590909090909091,0.586590749596158,0.885052053209948,0.5848568184799474
internvl_2_5_8b,true_rms/vp_generation,10,45,42,52,0.3195778727531433,0.850576846900376,0.5773032849367011,0.8742307692307693,0.5601058725793938
internvl_2_5_8b,true_rms/vp_generation,20,43,83,103,0.3157937824726105,0.8563576945929887,0.5869137454463813,0.8807547715442452,0.5743989806377664
internvl_2_5_8b,true_rms/vp_generation,20,44,93,113,0.3147188127040863,0.8590909090909091,0.586590749596158,0.885052053209948,0.5848568184799474
internvl_2_5_8b,true_rms/vp_generation,20,45,59,79,0.3189517855644226,0.8523321449792036,0.5815508530904635,0.8784933487565066,0.5697100453164338
