model,variant,seed,AUROC,HALL_AUPR
internvl_2_5_8b,raw_mad,43,0.7532775941692749,0.4243618259488382
internvl_2_5_8b,raw_mad,44,0.7507523692792576,0.4113457186839017
internvl_2_5_8b,raw_mad,45,0.753017684781895,0.41855910883565184
internvl_2_5_8b,norm_mad,43,0.7604702444789775,0.43687732183776695
internvl_2_5_8b,norm_mad,44,0.758675501761912,0.4407421010042595
internvl_2_5_8b,norm_mad,45,0.7587958808465933,0.44474484256949315
internvl_2_5_8b,raw_mad_logs,43,0.860666681258071,0.6295019574757073
internvl_2_5_8b,raw_mad_logs,44,0.859361662544595,0.6257333439124148
internvl_2_5_8b,raw_mad_logs,45,0.85796362362932,0.6201232185210349
internvl_2_5_8b,norm_mad_logs,43,0.8610031955175206,0.6080187488225187
internvl_2_5_8b,norm_mad_logs,44,0.8605846046094248,0.6062213417893751
internvl_2_5_8b,norm_mad_logs,45,0.8555834008185779,0.5866286921147315
