model,family,feature_set,threshold_rule,ensemble_auroc,ensemble_real_aupr,ensemble_hall_aupr,real_precision,real_recall,real_f1,hall_precision,hall_recall,hall_f1,seed_auc_mean,seed_auc_std
llava_1_5_7b,three_hidden_fixed,AE+s,fixed_0.5,0.9064579736583339,0.9708695536585902,0.7229787123485405,0.9157184997892962,0.8916700861715223,0.9035343035343035,0.6584734799482536,0.7179125528913963,0.6869095816464238,0.9026221477037035,0.0023972921912185823
llava_1_5_7b,three_hidden_fixed,AE+s,train_f1,0.9064579736583339,0.9708695536585902,0.7229787123485405,0.9127906976744186,0.901928600738613,0.907327141382869,0.6761517615176151,0.7038081805359662,0.6897028334485141,0.9026221477037035,0.0023972921912185823
internvl_2_5_8b,three_hidden_fixed,AE+s,fixed_0.5,0.8638789346634907,0.9706717804373497,0.5522051960441648,0.8975932043416706,0.9472111553784861,0.9217349164041677,0.5954198473282443,0.41823056300268097,0.49133858267716535,0.8570013956684434,0.0030326789052753413
internvl_2_5_8b,three_hidden_fixed,AE+s,train_f1,0.8638789346634907,0.9706717804373497,0.5522051960441648,0.9090464547677262,0.9257968127490039,0.9173451764125339,0.5565476190476191,0.5013404825737265,0.5275035260930888,0.8570013956684434,0.0030326789052753413
qwen2_5_vl_7b,three_hidden_fixed,AE+s,fixed_0.5,0.8819756797087492,0.9835934062493047,0.4701104662099141,0.9265885256014805,0.9696578437701743,0.9476340694006309,0.5765765765765766,0.34972677595628415,0.43537414965986393,0.8745632942576501,0.004575795922001833
qwen2_5_vl_7b,three_hidden_fixed,AE+s,train_f1,0.8819756797087492,0.9835934062493047,0.4701104662099141,0.9295511221945137,0.9625564880568108,0.9457659372026641,0.546875,0.3825136612021858,0.45016077170418006,0.8745632942576501,0.004575795922001833
qwen3_vl_8b,three_hidden_fixed,AE+s,fixed_0.5,0.8984460621328172,0.9765724722870223,0.6607442172067498,0.9132134480062549,0.9303066507367582,0.9216808048924837,0.6268656716417911,0.5697674418604651,0.5969543147208122,0.8900162283369196,0.0018566172452676864
qwen3_vl_8b,three_hidden_fixed,AE+s,train_f1,0.8984460621328172,0.9765724722870223,0.6607442172067498,0.9186927062574731,0.9179609717244126,0.9183266932270916,0.6023166023166023,0.6046511627906976,0.6034816247582205,0.8900162283369196,0.0018566172452676864
llava_1_5_7b,three_hidden_fixed,AE+i+s,fixed_0.5,0.907236405370195,0.9711362191240296,0.722495827982212,0.895808383233533,0.9208042675420599,0.9081343585592877,0.6989079563182528,0.6318758815232722,0.6637037037037037,0.9013433782855943,0.0025063232729954513
llava_1_5_7b,three_hidden_fixed,AE+i+s,train_f1,0.907236405370195,0.9711362191240296,0.722495827982212,0.8990751909931645,0.9175215428805908,0.9082047116165719,0.6949924127465857,0.6459802538787024,0.6695906432748538,0.9013433782855943,0.0025063232729954513
internvl_2_5_8b,three_hidden_fixed,AE+i+s,fixed_0.5,0.8689377877231023,0.972402166297531,0.5472370884677029,0.9063871282301317,0.9257968127490039,0.9159891598915989,0.5484848484848485,0.48525469168900803,0.5149359886201992,0.8623012418600843,0.0024856271780916224
internvl_2_5_8b,three_hidden_fixed,AE+i+s,train_f1,0.8689377877231023,0.972402166297531,0.5472370884677029,0.9091801669121257,0.9223107569721115,0.9156983930778739,0.5465116279069767,0.5040214477211796,0.5244072524407253,0.8623012418600843,0.0024856271780916224
qwen2_5_vl_7b,three_hidden_fixed,AE+i+s,fixed_0.5,0.8836478320227751,0.98405193359884,0.46371431335315716,0.9226081657525899,0.9774047772756617,0.9492163009404389,0.6153846153846154,0.30601092896174864,0.40875912408759124,0.8762701360887393,0.005042213281959201
qwen2_5_vl_7b,three_hidden_fixed,AE+i+s,train_f1,0.8836478320227751,0.98405193359884,0.46371431335315716,0.9251700680272109,0.9657843770174306,0.9450410612760581,0.5391304347826087,0.33879781420765026,0.4161073825503356,0.8762701360887393,0.005042213281959201
qwen3_vl_8b,three_hidden_fixed,AE+i+s,fixed_0.5,0.9068169820232835,0.9784193455196651,0.6850234376918045,0.9221958925750395,0.9299084030266827,0.9260360896291889,0.6444444444444445,0.6182170542635659,0.6310583580613254,0.897264053667738,0.0028885836083629387
qwen3_vl_8b,three_hidden_fixed,AE+i+s,train_f1,0.9068169820232835,0.9784193455196651,0.6850234376918045,0.91410804508356,0.9366786140979689,0.925255704169945,0.6497797356828194,0.5717054263565892,0.6082474226804123,0.897264053667738,0.0028885836083629387
llava_1_5_7b,three_hidden_fixed,AE+n,fixed_0.5,0.896314921638839,0.9676194136434747,0.6943909611135415,0.91339590443686,0.8785391875256463,0.8956285295963188,0.6309226932668329,0.7136812411847673,0.6697551290536069,0.8921419681956145,0.0009528020940824483
llava_1_5_7b,three_hidden_fixed,AE+n,train_f1,0.896314921638839,0.9676194136434747,0.6943909611135415,0.8896441423430628,0.913007796471071,0.901174564601053,0.6713178294573643,0.610719322990127,0.6395864106351551,0.8921419681956145,0.0009528020940824483
internvl_2_5_8b,three_hidden_fixed,AE+n,fixed_0.5,0.8610390876173591,0.9701478951185256,0.5286732036468403,0.9045764362220059,0.9252988047808764,0.9148202855736091,0.5412844036697247,0.4745308310991957,0.5057142857142857,0.8558979008007291,0.0029092299219503483
internvl_2_5_8b,three_hidden_fixed,AE+n,train_f1,0.8610390876173591,0.9701478951185256,0.5286732036468403,0.9025911708253359,0.9367529880478087,0.9193548387096774,0.5723905723905723,0.45576407506702415,0.5074626865671642,0.8558979008007291,0.0029092299219503483
qwen2_5_vl_7b,three_hidden_fixed,AE+n,fixed_0.5,0.8822120387911114,0.98423592913941,0.46744543735651295,0.9313786650031192,0.9638476436410588,0.9473350253807107,0.5658914728682171,0.3989071038251366,0.46794871794871795,0.8738624484213918,0.0015365667932551565
qwen2_5_vl_7b,three_hidden_fixed,AE+n,train_f1,0.8822120387911114,0.98423592913941,0.46744543735651295,0.931875,0.9625564880568108,0.9469672912035567,0.5606060606060606,0.40437158469945356,0.46984126984126984,0.8738624484213918,0.0015365667932551565
qwen3_vl_8b,three_hidden_fixed,AE+n,fixed_0.5,0.8925622609356042,0.9750860836134032,0.6565459102944801,0.9109454688112986,0.9247311827956989,0.9177865612648222,0.604602510460251,0.560077519379845,0.5814889336016097,0.8841954573005392,0.0022342869980600155
qwen3_vl_8b,three_hidden_fixed,AE+n,train_f1,0.8925622609356042,0.9750860836134032,0.6565459102944801,0.9134387351778656,0.9203504579848666,0.9168815711168419,0.5975855130784709,0.5755813953488372,0.5863770977295163,0.8841954573005392,0.0022342869980600155
llava_1_5_7b,three_hidden_fixed,AE+s+n,fixed_0.5,0.9017179322307192,0.96982424192813,0.7072847825614471,0.9063280599500416,0.8933114485022569,0.8997726803058483,0.6505376344086021,0.6826516220028209,0.666207845836201,0.8970787878998335,0.0015788172764478459
llava_1_5_7b,three_hidden_fixed,AE+s+n,train_f1,0.9017179322307192,0.96982424192813,0.7072847825614471,0.9056917324470295,0.8945424702503078,0.9000825763831544,0.652232746955345,0.6798307475317349,0.6657458563535912,0.8970787878998335,0.0015788172764478459
internvl_2_5_8b,three_hidden_fixed,AE+s+n,fixed_0.5,0.869118699464875,0.9717982062154852,0.5447662004477322,0.9008184882041406,0.9317729083665338,0.9160342717258262,0.5493421052631579,0.4477211796246649,0.4933530280649926,0.8612965475007921,0.0019750762755333007
internvl_2_5_8b,three_hidden_fixed,AE+s+n,train_f1,0.869118699464875,0.9717982062154852,0.5447662004477322,0.9030538051381484,0.9277888446215139,0.9152542372881356,0.5440251572327044,0.46380697050938335,0.5007235890014472,0.8612965475007921,0.0019750762755333007
qwen2_5_vl_7b,three_hidden_fixed,AE+s+n,fixed_0.5,0.8808644392468965,0.983636481641131,0.48029380249841624,0.9244007375537799,0.9709489993544222,0.947103274559194,0.5714285714285714,0.32786885245901637,0.4166666666666667,0.8737113432368965,0.004739877068893299
qwen2_5_vl_7b,three_hidden_fixed,AE+s+n,train_f1,0.8808644392468965,0.983636481641131,0.48029380249841624,0.9274193548387096,0.9651387992253067,0.9459031951913951,0.55,0.36065573770491804,0.43564356435643564,0.8737113432368965,0.004739877068893299
qwen3_vl_8b,three_hidden_fixed,AE+s+n,fixed_0.5,0.9010149914021716,0.9768708967493944,0.6761323867434748,0.9241268566840626,0.9167662285941856,0.9204318272690923,0.6100746268656716,0.6337209302325582,0.6216730038022814,0.8923110407231438,0.0030922090960818793
qwen3_vl_8b,three_hidden_fixed,AE+s+n,train_f1,0.9010149914021716,0.9768708967493944,0.6761323867434748,0.9153335934451814,0.9342891278375149,0.9247142294048089,0.6443965517241379,0.5794573643410853,0.610204081632653,0.8923110407231438,0.0030922090960818793
llava_1_5_7b,three_hidden_fixed,AE+s+kappa_vec,fixed_0.5,0.9004996431946838,0.9695456330110981,0.706764371997011,0.9060681629260183,0.8945424702503078,0.9002684286599215,0.6527027027027027,0.6812411847672779,0.6666666666666666,0.8941378208040552,0.0014527748902114098
llava_1_5_7b,three_hidden_fixed,AE+s+kappa_vec,train_f1,0.9004996431946838,0.9695456330110981,0.706764371997011,0.9062109212171738,0.892080426754206,0.8990901571546733,0.6479250334672021,0.6826516220028209,0.6648351648351648,0.8941378208040552,0.0014527748902114098
internvl_2_5_8b,three_hidden_fixed,AE+s+kappa_vec,fixed_0.5,0.8762143116541875,0.97316866856594,0.5722548238132562,0.9075144508670521,0.9382470119521913,0.9226248775710089,0.5934426229508196,0.48525469168900803,0.5339233038348082,0.8691393941659635,0.005293196118499543
internvl_2_5_8b,three_hidden_fixed,AE+s+kappa_vec,train_f1,0.8762143116541875,0.97316866856594,0.5722548238132562,0.9180327868852459,0.9203187250996016,0.9191743347426014,0.5652173913043478,0.5576407506702413,0.5614035087719298,0.8691393941659635,0.005293196118499543
qwen2_5_vl_7b,three_hidden_fixed,AE+s+kappa_vec,fixed_0.5,0.8773966634564164,0.9828473465555413,0.4562637786525456,0.9210526315789473,0.9715945771465462,0.9456487590323595,0.5510204081632653,0.29508196721311475,0.38434163701067614,0.8688847967017912,0.0030369112914042664
qwen2_5_vl_7b,three_hidden_fixed,AE+s+kappa_vec,train_f1,0.8773966634564164,0.9828473465555413,0.4562637786525456,0.9307304785894207,0.9541639767591995,0.9423015620019126,0.5069444444444444,0.3989071038251366,0.44648318042813456,0.8688847967017912,0.0030369112914042664
qwen3_vl_8b,three_hidden_fixed,AE+s+kappa_vec,fixed_0.5,0.8944724607077695,0.9751799908548973,0.650387844464373,0.9115384615384615,0.9438470728793309,0.9274114654666405,0.6697892271662763,0.5542635658914729,0.6065747613997879,0.88368722839146,0.0023192297583113646
qwen3_vl_8b,three_hidden_fixed,AE+s+kappa_vec,train_f1,0.8944724607077695,0.9751799908548973,0.650387844464373,0.9174852652259332,0.9299084030266827,0.9236550632911392,0.6348547717842323,0.5930232558139535,0.6132264529058116,0.88368722839146,0.0023192297583113646
llava_1_5_7b,three_hidden_fixed,AE+a,fixed_0.5,0.9029544521953221,0.9695632693730101,0.7146123340304871,0.9245858761987794,0.8703323758719738,0.8966391883322765,0.6291079812206573,0.7559943582510579,0.686739269698911,0.8991794924625238,0.0015872785261502491
llava_1_5_7b,three_hidden_fixed,AE+a,train_f1,0.9029544521953221,0.9695632693730101,0.7146123340304871,0.9185848252344416,0.884283955683217,0.9011080911561782,0.6475,0.7306064880112835,0.6865473823724321,0.8991794924625238,0.0015872785261502491
internvl_2_5_8b,three_hidden_fixed,AE+a,fixed_0.5,0.8615237441654295,0.9700891544110867,0.5384233631768749,0.896551724137931,0.9452191235059761,0.9202424242424242,0.5833333333333334,0.4128686327077748,0.4835164835164835,0.8538364415439226,0.002909617863201055
internvl_2_5_8b,three_hidden_fixed,AE+a,train_f1,0.8615237441654295,0.9700891544110867,0.5384233631768749,0.9066014669926651,0.9233067729083665,0.9148778682457439,0.5416666666666666,0.4879356568364611,0.5133991537376587,0.8538364415439226,0.002909617863201055
qwen2_5_vl_7b,three_hidden_fixed,AE+a,fixed_0.5,0.8826494794808566,0.9840618232304144,0.47202420461302685,0.9283508338480544,0.9703034215622982,0.9488636363636364,0.5929203539823009,0.366120218579235,0.4527027027027027,0.875901486475204,0.003742318374703126
qwen2_5_vl_7b,three_hidden_fixed,AE+a,train_f1,0.8826494794808566,0.9840618232304144,0.47202420461302685,0.9280843149411035,0.9664299548095545,0.9468690702087287,0.5630252100840336,0.366120218579235,0.44370860927152317,0.875901486475204,0.003742318374703126
qwen3_vl_8b,three_hidden_fixed,AE+a,fixed_0.5,0.89661342804837,0.9761740571775728,0.6605457461228738,0.9129753038024304,0.9275189167662286,0.9201896483603319,0.6176470588235294,0.5697674418604651,0.592741935483871,0.8876807679286077,0.003890472342680111
qwen3_vl_8b,three_hidden_fixed,AE+a,train_f1,0.89661342804837,0.9761740571775728,0.6605457461228738,0.9151803408640508,0.9195539625647152,0.9173619388160509,0.5992063492063492,0.5852713178294574,0.592156862745098,0.8876807679286077,0.003890472342680111
llava_1_5_7b,three_hidden_fixed,AE+g,fixed_0.5,0.9013990356706927,0.9691428474696,0.7072311018377495,0.9186295503211992,0.8801805498563808,0.8989941324392289,0.6399506781750924,0.7320169252468265,0.6828947368421052,0.897571987570558,0.0010579467599210858
llava_1_5_7b,three_hidden_fixed,AE+g,train_f1,0.9013990356706927,0.9691428474696,0.7072311018377495,0.8981891348088531,0.9158801805498564,0.9069483949613978,0.6898638426626323,0.6431593794076164,0.6656934306569343,0.897571987570558,0.0010579467599210858
internvl_2_5_8b,three_hidden_fixed,AE+g,fixed_0.5,0.8600604285271782,0.9698752764799405,0.5388181419991999,0.8905887807139545,0.9566733067729084,0.9224489795918367,0.6116071428571429,0.3672922252010724,0.45896147403685095,0.8531920130025029,0.0016990248450267224
internvl_2_5_8b,three_hidden_fixed,AE+g,train_f1,0.8600604285271782,0.9698752764799405,0.5388181419991999,0.9170483460559796,0.897410358565737,0.9071230807953687,0.5048076923076923,0.5630026809651475,0.532319391634981,0.8531920130025029,0.0016990248450267224
qwen2_5_vl_7b,three_hidden_fixed,AE+g,fixed_0.5,0.8831504196255648,0.9842883339754305,0.4758352485390448,0.9282622139764997,0.9690122659780503,0.9481996209728364,0.5826086956521739,0.366120218579235,0.44966442953020136,0.8761989931808641,0.0034322013023256664
qwen2_5_vl_7b,three_hidden_fixed,AE+g,train_f1,0.8831504196255648,0.9842883339754305,0.4758352485390448,0.9301310043668122,0.9625564880568108,0.9460659898477157,0.5503875968992248,0.3879781420765027,0.4551282051282051,0.8761989931808641,0.0034322013023256664
qwen3_vl_8b,three_hidden_fixed,AE+g,fixed_0.5,0.8966790308688283,0.9760811760016302,0.6681744837878019,0.90727969348659,0.9430505774591796,0.9248193712165592,0.657074340527578,0.5310077519379846,0.587352625937835,0.8873440067835889,0.004443997161911573
qwen3_vl_8b,three_hidden_fixed,AE+g,train_f1,0.8966790308688283,0.9760811760016302,0.6681744837878019,0.9171949286846276,0.9219434488251692,0.9195630585898709,0.610337972166998,0.5949612403100775,0.6025515210991168,0.8873440067835889,0.004443997161911573
llava_1_5_7b,three_hidden_fixed,U_SN,fixed_0.5,0.9041504589853302,0.9705675882343242,0.7204280777430505,0.9147944044086477,0.885514977431268,0.8999165971643036,0.6454891994917408,0.7165021156558533,0.679144385026738,0.8964605761475019,0.0020757576234058427
llava_1_5_7b,three_hidden_fixed,U_SN,train_f1,0.9041504589853302,0.9705675882343242,0.7204280777430505,0.908673894912427,0.8941321296676241,0.9013443640124095,0.6550802139037433,0.691114245416079,0.6726149622512011,0.8964605761475019,0.0020757576234058427
internvl_2_5_8b,three_hidden_fixed,U_SN,fixed_0.5,0.8820435416510899,0.975801277236785,0.5616221159723795,0.9045783132530121,0.9347609561752988,0.9194219936321333,0.5718954248366013,0.4691689008042895,0.5154639175257731,0.8744100897571466,0.0005571405193454031
internvl_2_5_8b,three_hidden_fixed,U_SN,train_f1,0.8820435416510899,0.975801277236785,0.5616221159723795,0.9066731141199227,0.9337649402390438,0.9200196270853778,0.5750798722044729,0.48257372654155495,0.5247813411078717,0.8744100897571466,0.0005571405193454031
qwen2_5_vl_7b,three_hidden_fixed,U_SN,fixed_0.5,0.89129598859832,0.9854107468038991,0.5005987522884453,0.9282178217821783,0.9683666881859264,0.9478672985781991,0.5775862068965517,0.366120218579235,0.44816053511705684,0.8804922618858632,0.004259219334508425
qwen2_5_vl_7b,three_hidden_fixed,U_SN,train_f1,0.89129598859832,0.9854107468038991,0.5005987522884453,0.9360354654844838,0.9541639767591995,0.9450127877237852,0.5359477124183006,0.44808743169398907,0.4880952380952381,0.8804922618858632,0.004259219334508425
qwen3_vl_8b,three_hidden_fixed,U_SN,fixed_0.5,0.9061169613391001,0.9784338875313399,0.6790345590095825,0.9206161137440758,0.9283154121863799,0.9244497323022011,0.6363636363636364,0.6104651162790697,0.6231454005934718,0.8914124107158475,0.004330452621096282
qwen3_vl_8b,three_hidden_fixed,U_SN,train_f1,0.9061169613391001,0.9784338875313399,0.6790345590095825,0.9191205339615234,0.9322978892871366,0.9256623171213919,0.6458333333333334,0.6007751937984496,0.6224899598393574,0.8914124107158475,0.004330452621096282
llava_1_5_7b,three_hidden_fixed,H_SN,fixed_0.5,0.9057403117083652,0.9708872055226172,0.7242520164442102,0.9245200698080279,0.8695116947066065,0.8961725523366463,0.6276346604215457,0.7559943582510579,0.6858605246321178,0.8972407441382741,0.003728111206066562
llava_1_5_7b,three_hidden_fixed,H_SN,train_f1,0.9057403117083652,0.9708872055226172,0.7242520164442102,0.9082304526748971,0.9056216659827657,0.9069241832751181,0.6787709497206704,0.685472496473907,0.6821052631578948,0.8972407441382741,0.003728111206066562
internvl_2_5_8b,three_hidden_fixed,H_SN,fixed_0.5,0.8822791942150968,0.9758470135406232,0.5605674269675383,0.8994280266920877,0.9397410358565738,0.9191427179736971,0.5724381625441696,0.4343163538873995,0.49390243902439024,0.8711472252188743,0.001062990832093392
internvl_2_5_8b,three_hidden_fixed,H_SN,train_f1,0.8822791942150968,0.9758470135406232,0.5605674269675383,0.9079396005845105,0.9282868525896414,0.9180004924895346,0.5609756097560976,0.4932975871313673,0.5249643366619116,0.8711472252188743,0.001062990832093392
qwen2_5_vl_7b,three_hidden_fixed,H_SN,fixed_0.5,0.8800953902923445,0.9826445061701273,0.4823036459125343,0.9228432563791008,0.9806326662362814,0.9508607198748044,0.6511627906976745,0.30601092896174864,0.4163568773234201,0.8696614891092556,0.006697881204499601
qwen2_5_vl_7b,three_hidden_fixed,H_SN,train_f1,0.8800953902923445,0.9826445061701273,0.4823036459125343,0.92875,0.9593285990961911,0.9437916798983804,0.5227272727272727,0.3770491803278688,0.4380952380952381,0.8696614891092556,0.006697881204499601
qwen3_vl_8b,three_hidden_fixed,H_SN,fixed_0.5,0.9099663033042212,0.9794925302670997,0.6841065252449973,0.9255740300870943,0.9311031461569096,0.9283303553702601,0.654690618762475,0.6356589147286822,0.6450344149459194,0.8933955453884049,0.00772299204680694
qwen3_vl_8b,three_hidden_fixed,H_SN,train_f1,0.9099663033042212,0.9794925302670997,0.6841065252449973,0.9236220472440945,0.9342891278375149,0.9289249653533954,0.6611909650924025,0.624031007751938,0.6420737786640079,0.8933955453884049,0.00772299204680694
llava_1_5_7b,three_hidden_fixed,U_SK,fixed_0.5,0.9037239131328086,0.9702910214118664,0.7144593715997809,0.9097367321353949,0.8933114485022569,0.9014492753623189,0.6547144754316069,0.6953455571227081,0.6744186046511628,0.8950639326833091,0.002441488193950647
llava_1_5_7b,three_hidden_fixed,U_SK,train_f1,0.9037239131328086,0.9702910214118664,0.7144593715997809,0.9068708609271523,0.8990562166598277,0.9029466309499279,0.663013698630137,0.6826516220028209,0.6726893676164003,0.8950639326833091,0.002441488193950647
internvl_2_5_8b,three_hidden_fixed,U_SK,fixed_0.5,0.8832785480063661,0.9758824456119499,0.5605142993238107,0.9099318403115871,0.9307768924302788,0.9202363367799113,0.5749235474006116,0.5040214477211796,0.5371428571428571,0.8745044397922163,0.0032249949265611986
internvl_2_5_8b,three_hidden_fixed,U_SK,train_f1,0.8832785480063661,0.9758824456119499,0.5605142993238107,0.9044647143542967,0.9382470119521913,0.9210461989733562,0.5838926174496645,0.46648793565683644,0.518628912071535,0.8745044397922163,0.0032249949265611986
qwen2_5_vl_7b,three_hidden_fixed,U_SK,fixed_0.5,0.8830639898118653,0.9830583362542205,0.48780750654607186,0.9286600496277916,0.9664299548095545,0.9471686175260994,0.5666666666666667,0.37158469945355194,0.44884488448844884,0.8711525503850538,0.004824762097831877
qwen2_5_vl_7b,three_hidden_fixed,U_SK,train_f1,0.8830639898118653,0.9830583362542205,0.48780750654607186,0.933920704845815,0.9580374435119432,0.9458253664754621,0.5454545454545454,0.4262295081967213,0.4785276073619632,0.8711525503850538,0.004824762097831877
qwen3_vl_8b,three_hidden_fixed,U_SK,fixed_0.5,0.8996180372253557,0.9765231010571689,0.673130844017607,0.8885651857246905,0.9717244125846276,0.9282860947308351,0.7473309608540926,0.4069767441860465,0.5269761606022585,0.8881493778794494,0.00686205382151378
qwen3_vl_8b,three_hidden_fixed,U_SK,train_f1,0.8996180372253557,0.9765231010571689,0.673130844017607,0.9190682984603237,0.927120669056153,0.9230769230769231,0.6295546558704453,0.6027131782945736,0.6158415841584158,0.8881493778794494,0.00686205382151378
llava_1_5_7b,three_hidden_fixed,H_SK,fixed_0.5,0.9063422217309197,0.9711879945172674,0.7188916130172757,0.8932115919015482,0.9232663110381617,0.9079903147699758,0.7017543859649122,0.6205923836389281,0.6586826347305389,0.897299681161316,0.0008264700789419462
llava_1_5_7b,three_hidden_fixed,H_SK,train_f1,0.9063422217309197,0.9711879945172674,0.7188916130172757,0.897631473303894,0.9175215428805908,0.9074675324675324,0.6931297709923664,0.6403385049365303,0.6656891495601173,0.897299681161316,0.0008264700789419462
internvl_2_5_8b,three_hidden_fixed,H_SK,fixed_0.5,0.8751815793127757,0.9730705265226278,0.5534544759416153,0.8988235294117647,0.951195219123506,0.9242680861359787,0.6171875,0.42359249329758714,0.5023847376788553,0.8669344071435438,0.006603947779351608
internvl_2_5_8b,three_hidden_fixed,H_SK,train_f1,0.8751815793127757,0.9730705265226278,0.5534544759416153,0.9094449853943525,0.9302788844621513,0.9197439684884293,0.5718654434250765,0.5013404825737265,0.5342857142857143,0.8669344071435438,0.006603947779351608
qwen2_5_vl_7b,three_hidden_fixed,H_SK,fixed_0.5,0.8652012403560204,0.9785159377950075,0.4570193290178016,0.9190997566909975,0.9754680438992899,0.946445349201378,0.5681818181818182,0.273224043715847,0.36900369003690037,0.849846131413298,0.005099157222119787
qwen2_5_vl_7b,three_hidden_fixed,H_SK,train_f1,0.8652012403560204,0.9785159377950075,0.4570193290178016,0.9261328367473619,0.9632020658489348,0.9443037974683545,0.5289256198347108,0.34972677595628415,0.42105263157894735,0.849846131413298,0.005099157222119787
qwen3_vl_8b,three_hidden_fixed,H_SK,fixed_0.5,0.9053386031693108,0.9786097316382011,0.668836341245638,0.9038461538461539,0.954599761051374,0.9285299244625218,0.696,0.5058139534883721,0.5858585858585859,0.889886180392835,0.003996058951987411
qwen3_vl_8b,three_hidden_fixed,H_SK,train_f1,0.9053386031693108,0.9786097316382011,0.668836341245638,0.9220472440944882,0.9326961369972122,0.9273411205701841,0.6529774127310062,0.6162790697674418,0.634097706879362,0.889886180392835,0.003996058951987411
