model,family,feature_set,threshold_rule,ensemble_auroc,ensemble_real_aupr,ensemble_hall_aupr,real_precision,real_recall,real_f1,hall_precision,hall_recall,hall_f1,seed_auc_mean,seed_auc_std
llava_1_5_7b,three_hidden_fixed,AE,fixed_0.5,0.8764845908140427,0.960602638183228,0.6541331441395691,0.8855741724560686,0.8892080426754206,0.8873873873873874,0.6137339055793991,0.6050775740479548,0.609375,0.8727851592138823,0.001004767180084124
llava_1_5_7b,three_hidden_fixed,AE,train_f1,0.8764845908140427,0.960602638183228,0.6541331441395691,0.8502752293577982,0.9507591300779648,0.8977140643161565,0.7149643705463183,0.4245416078984485,0.5327433628318584,0.8727851592138823,0.001004767180084124
internvl_2_5_8b,three_hidden_fixed,AE,fixed_0.5,0.8346259733185222,0.9627314937320813,0.4698446995376835,0.8722924187725631,0.9626494023904383,0.9152462121212122,0.5454545454545454,0.24128686327077747,0.3345724907063197,0.8308688837144719,0.001540726492743572
internvl_2_5_8b,three_hidden_fixed,AE,train_f1,0.8346259733185222,0.9627314937320813,0.4698446995376835,0.8825705039297272,0.9506972111553785,0.9153680172620474,0.5458715596330275,0.3190348525469169,0.4027072758037225,0.8308688837144719,0.001540726492743572
qwen2_5_vl_7b,three_hidden_fixed,AE,fixed_0.5,0.7877036833211626,0.9666490235260049,0.3352341096127483,0.9014662756598241,0.9922530664945126,0.9446834665027658,0.5555555555555556,0.08196721311475409,0.14285714285714285,0.7792864777910656,0.004601191713951709
qwen2_5_vl_7b,three_hidden_fixed,AE,train_f1,0.7877036833211626,0.9666490235260049,0.3352341096127483,0.9070321811680572,0.9825693996126533,0.9432909823365355,0.5,0.14754098360655737,0.22784810126582278,0.7792864777910656,0.004601191713951709
qwen3_vl_8b,three_hidden_fixed,AE,fixed_0.5,0.8484397333901377,0.9628978243578222,0.5662655839874434,0.8740526885600867,0.9645559538032656,0.9170768648239304,0.65234375,0.3236434108527132,0.4326424870466321,0.8402797715889877,0.0013970565582842127
qwen3_vl_8b,three_hidden_fixed,AE,train_f1,0.8484397333901377,0.9628978243578222,0.5662655839874434,0.8855758479314201,0.946236559139785,0.9149018097805159,0.6075581395348837,0.4050387596899225,0.48604651162790696,0.8402797715889877,0.0013970565582842127
llava_1_5_7b,three_hidden_fixed,AE+i,fixed_0.5,0.9052489447764916,0.9697599361334891,0.7196292170007004,0.9076539101497504,0.895363151415675,0.9014666391241479,0.6563342318059299,0.68688293370945,0.6712611991729841,0.9013807082821854,0.0018193798439843504
llava_1_5_7b,three_hidden_fixed,AE+i,train_f1,0.9052489447764916,0.9697599361334891,0.7196292170007004,0.8985915492957747,0.9162905211325401,0.9073547338480292,0.6913767019667171,0.6445698166431594,0.6671532846715329,0.9013807082821854,0.0018193798439843504
internvl_2_5_8b,three_hidden_fixed,AE+i,fixed_0.5,0.8599175683325679,0.9693797895614344,0.5462502984928668,0.9027777777777778,0.9387450199203188,0.92041015625,0.5802047781569966,0.45576407506702415,0.5105105105105106,0.8495893548237791,0.0035030437236410685
internvl_2_5_8b,three_hidden_fixed,AE+i,train_f1,0.8599175683325679,0.9693797895614344,0.5462502984928668,0.9055041402825134,0.9257968127490039,0.9155380448165477,0.5457317073170732,0.47989276139410186,0.5106990014265336,0.8495893548237791,0.0035030437236410685
qwen2_5_vl_7b,three_hidden_fixed,AE+i,fixed_0.5,0.8766205590068685,0.9828774278566345,0.45311675893250225,0.9224615384615384,0.9677211103938025,0.9445494643982356,0.5327102803738317,0.3114754098360656,0.3931034482758621,0.8682480382784122,0.0034403109365576112
qwen2_5_vl_7b,three_hidden_fixed,AE+i,train_f1,0.8766205590068685,0.9828774278566345,0.45311675893250225,0.9245982694684796,0.9657843770174306,0.9447426586675087,0.5350877192982456,0.3333333333333333,0.4107744107744108,0.8682480382784122,0.0034403109365576112
qwen3_vl_8b,three_hidden_fixed,AE+i,fixed_0.5,0.8926236188676798,0.97484722267972,0.6481586905331476,0.9128386336866903,0.9259259259259259,0.9193357058125742,0.6125,0.5697674418604651,0.5903614457831325,0.882871438024115,0.003525154012099147
qwen3_vl_8b,three_hidden_fixed,AE+i,train_f1,0.8926236188676798,0.97484722267972,0.6481586905331476,0.9144554455445545,0.9195539625647152,0.9169976171564734,0.5976095617529881,0.5813953488372093,0.5893909626719057,0.882871438024115,0.003525154012099147
