gross_strength,net_strength,kappa,completeness_relative_error,gross_degenerate,net_degenerate,token_chunk_size,jvp_backend,S,N_end,N_vec,kappa_end,kappa_vec,closure_absolute_error,closure_relative_error,gross_zero,endpoint_zero,vector_zero,endpoint_degenerate,kappa_difference,kappa_difference_upper_bound,closure_relative_lower_bound,kappa_range_pass,kappa_difference_bound_pass,closure_lower_bound_pass,finite,condition,integration_points,path_dtype,accumulation_dtype,elapsed_seconds,peak_allocated_bytes,peak_reserved_bytes,spearman,js,top32_overlap,kappa_vec_absolute,S_relative,N_vec_relative,kappa_difference_relative_upper_bound,model,case_id,layer,label,groups
0.5207425355911255,0.3798489272594452,0.7294371128082275,0.0009830872295424342,False,False,256,vmap_jvp,0.5207425355911255,0.3798489272594452,0.3798430263996124,0.7294371043230726,0.7294257726967325,0.000373424612917006,0.0009830871857693802,False,False,False,False,1.1331626340149725e-05,0.0007171002700847354,0.0,True,True,True,True,native_k4,4,torch.float16,torch.float32,0.31562536489218473,14953920512,15130951680,0.9999995604450809,9.344748624618369e-10,1.0,1.2527499216985483e-05,0.0003918385817412839,0.0004090200739297308,0.0007171002700847353,llava_1_5_7b,11209:73:1,1,0,all_layers
0.5205785632133484,0.3798489272594452,0.7296668887138367,0.0010704946471378207,False,False,256,vmap_jvp,0.5205785632133484,0.3798489272594452,0.3797147274017334,0.7296668631815558,0.7294090733546306,0.00040662623359821737,0.0010704946214590272,False,False,False,False,0.00025778982692525876,0.0007811044524927355,0.0,True,True,True,True,native_k64,64,torch.float16,torch.float32,0.4824971801135689,14953920512,15130951680,0.9999996860322007,9.200125497153051e-11,1.0,4.1718428849257805e-06,7.683333966931664e-05,7.11134498139198e-05,0.0007811044524927354,llava_1_5_7b,11209:73:1,1,0,all_layers
0.5205385684967041,0.37968769669532776,0.7294132113456726,8.719977131477208e-07,False,False,256,vmap_jvp,0.5205385684967041,0.37968769669532776,0.3796877861022949,0.7294131879446544,0.7294133597032378,3.3108679531324015e-07,8.719976923005584e-07,False,False,False,False,1.717585834670743e-07,6.360466166213321e-07,0.0,True,True,True,True,fp32_k4,4,torch.float32,torch.float32,0.059830517042428255,15341588992,15672016896,1.0,5.247988616888356e-16,1.0,1.1450572234839029e-07,0.0,1.569833329225603e-07,6.360466166213321e-07,llava_1_5_7b,11209:73:1,1,0,all_layers
0.5205385684967041,0.37968769669532776,0.7294132113456726,7.947756444082188e-07,False,False,256,vmap_jvp,0.5205385684967041,0.37968769669532776,0.37968772649765015,0.7294131879446544,0.7294132451975155,3.017665335391939e-07,7.947756436820759e-07,False,False,False,False,5.7252861118683995e-08,5.797198359589077e-07,0.0,True,True,True,True,fp32_k64,64,torch.float32,torch.float32,0.8690112209878862,15341588992,15672016896,1.0,0.0,1.0,0.0,0.0,0.0,5.797198359589077e-07,llava_1_5_7b,11209:73:1,1,0,all_layers
1.0794034004211426,0.5182374715805054,0.48011472821235657,0.010369635187089443,False,False,256,vmap_jvp,1.0794034004211426,0.5182374715805054,0.5179944634437561,0.4801147294684347,0.479889597569967,0.005373933352530003,0.01036963486283757,False,False,False,False,0.00022513189846767867,0.004978614436857709,0.0,True,True,True,True,native_k4,4,torch.float16,torch.float32,0.030993217835202813,14757859328,15672016896,0.9999991836837215,1.1134237902212259e-08,1.0,6.49930789098363e-06,0.0002453473753188494,0.0002318008961510117,0.004978614436857709,llava_1_5_7b,11209:73:10,10,0,all_layers
1.0791494846343994,0.5182374715805054,0.4802277088165283,0.010381690226495266,False,False,256,vmap_jvp,1.0791494846343994,0.5182374715805054,0.5178686380386353,0.4802276968663678,0.4798859151696503,0.005380180664360523,0.010381689783936708,False,False,False,False,0.00034178169671750247,0.004985574974521025,0.0,True,True,True,True,native_k64,64,torch.float16,torch.float32,0.4628195888362825,14757859328,15672016896,0.9999992464772814,1.0091476098417725e-08,1.0,1.0181708207712692e-05,1.005250389644993e-05,1.1164194104591926e-05,0.004985574974521025,llava_1_5_7b,11209:73:10,10,0,all_layers
1.0791386365890503,0.517874538898468,0.47989621758461,8.214409717766102e-06,False,False,256,vmap_jvp,1.0791386365890503,0.517874538898468,0.5178744196891785,0.47989620734493377,0.479896096877858,4.254033683537273e-06,8.214409792351846e-06,False,False,False,False,1.1046707576456427e-07,3.942064104926736e-06,0.0,True,True,True,True,fp32_k4,4,torch.float32,torch.float32,0.05620375811122358,15144167936,15672016896,1.0,2.0904892890724375e-16,1.0,0.0,0.0,0.0,3.9420641049267355e-06,llava_1_5_7b,11209:73:10,10,0,all_layers
1.0791386365890503,0.517874538898468,0.47989621758461,8.217523827624973e-06,False,False,256,vmap_jvp,1.0791386365890503,0.517874538898468,0.5178744196891785,0.47989620734493377,0.479896096877858,4.255646217643516e-06,8.217523546717282e-06,False,False,False,False,1.1046707576456427e-07,3.9435583838373125e-06,0.0,True,True,True,True,fp32_k64,64,torch.float32,torch.float32,0.8740289479028434,15144167936,15672016896,1.0,0.0,1.0,0.0,0.0,0.0,3.9435583838373125e-06,llava_1_5_7b,11209:73:10,10,0,all_layers
2.156925678253174,0.89734947681427,0.41603171825408936,0.006554552353918552,False,False,256,vmap_jvp,2.156925678253174,0.89734947681427,0.8970890641212463,0.416031709326677,0.4159109760554061,0.005881723947823048,0.006554552155871402,False,False,False,False,0.00012073327127087863,0.002726901537278035,0.0,True,True,True,True,native_k4,4,torch.float16,torch.float32,0.03193644084967673,14735255552,15672016896,0.9999997488257605,3.653023579876655e-09,1.0,5.351236515016566e-06,0.00024633553774893103,0.0002334662311997546,0.002726901537278035,llava_1_5_7b,11209:73:11,11,0,all_layers
2.156392812728882,0.89734947681427,0.4161345064640045,0.006572216749191284,False,False,256,vmap_jvp,2.156392812728882,0.89734947681427,0.8968778252601624,0.4161345147866117,0.41591579232040626,0.005897575058043003,0.006572216522575252,False,False,False,False,0.00021872246620541214,0.0027349261336944044,0.0,True,True,True,True,native_k64,64,torch.float16,torch.float32,0.4572126870043576,14735255552,15672016896,0.9999998116193204,3.0079632811014304e-09,1.0,5.349715148650347e-07,7.73944687721058e-07,2.0601916217456285e-06,0.002734926133694405,llava_1_5_7b,11209:73:11,11,0,all_layers
