label,layer,n,mean,median
0,1,357,0.6734728217124939,0.680237352848053
0,2,357,0.6467596888542175,0.6636554002761841
0,3,357,0.6155290603637695,0.6357892751693726
0,4,357,0.6196694374084473,0.6337034106254578
0,5,357,0.6292132139205933,0.6394520401954651
0,6,357,0.5764543414115906,0.5829814076423645
0,7,357,0.6010379195213318,0.6171934604644775
0,8,357,0.49595320224761963,0.4983132779598236
0,9,357,0.5008124113082886,0.505889892578125
0,10,357,0.41763579845428467,0.416633665561676
0,11,357,0.39140385389328003,0.3896143138408661
0,12,357,0.3914829194545746,0.3905692398548126
0,13,357,0.3990970551967621,0.4035870134830475
0,14,357,0.39351776242256165,0.3983632028102875
0,15,357,0.333484411239624,0.32789167761802673
0,16,357,0.39183565974235535,0.39802026748657227
0,17,357,0.4146088659763336,0.41950854659080505
0,18,357,0.35230523347854614,0.34199097752571106
0,19,357,0.3902032971382141,0.37107053399086
0,20,357,0.45557060837745667,0.4588826298713684
0,21,357,0.36936211585998535,0.3584609627723694
0,22,357,0.36139780282974243,0.36335262656211853
0,23,357,0.429729163646698,0.42804038524627686
0,24,357,0.37155571579933167,0.37964707612991333
0,25,357,0.49801549315452576,0.5074377059936523
0,26,357,0.46940433979034424,0.4822816550731659
0,27,357,0.4597393572330475,0.4681669771671295
0,28,357,0.588524341583252,0.6082051992416382
0,29,357,0.5529672503471375,0.5884743928909302
0,30,357,0.4750812351703644,0.48672592639923096
0,31,357,0.5460165143013,0.5665343999862671
0,32,357,0.5609703063964844,0.5995571613311768
0,33,357,0.5006609559059143,0.5351725220680237
0,34,357,0.603538453578949,0.6467747092247009
0,35,357,0.6670891046524048,0.674994170665741
0,36,357,0.45418787002563477,0.4574364423751831
1,1,1560,0.6739999055862427,0.6804122924804688
1,2,1560,0.6443889141082764,0.66530841588974
1,3,1560,0.6034848093986511,0.6203388571739197
1,4,1560,0.6204134821891785,0.6315072774887085
1,5,1560,0.6221349239349365,0.633217453956604
1,6,1560,0.5704392790794373,0.5833972692489624
1,7,1560,0.5828083753585815,0.6074171662330627
1,8,1560,0.4801294505596161,0.4792909026145935
1,9,1560,0.48756033182144165,0.4888712167739868
1,10,1560,0.388645738363266,0.3830972909927368
1,11,1560,0.3946745693683624,0.39008957147598267
1,12,1560,0.3827885687351227,0.3766748309135437
1,13,1560,0.4217061698436737,0.42426976561546326
1,14,1560,0.37212273478507996,0.36196544766426086
1,15,1560,0.34511876106262207,0.341756671667099
1,16,1560,0.3998645544052124,0.4004615843296051
1,17,1560,0.4410618841648102,0.4293075501918793
1,18,1560,0.37700188159942627,0.3733366131782532
1,19,1560,0.42593324184417725,0.41771072149276733
1,20,1560,0.457999050617218,0.4619261622428894
1,21,1560,0.38656142354011536,0.3822355270385742
1,22,1560,0.3576236069202423,0.35242950916290283
1,23,1560,0.4154909551143646,0.4075382351875305
1,24,1560,0.37398800253868103,0.3712547719478607
1,25,1560,0.4701121747493744,0.4730086922645569
1,26,1560,0.48374199867248535,0.49471336603164673
1,27,1560,0.45677614212036133,0.45100194215774536
1,28,1560,0.5559370517730713,0.5751250982284546
1,29,1560,0.5375577211380005,0.5692903399467468
1,30,1560,0.4721491038799286,0.4768948554992676
1,31,1560,0.5230631232261658,0.5384202003479004
1,32,1560,0.5191167593002319,0.5330570936203003
1,33,1560,0.5221964716911316,0.5346740484237671
1,34,1560,0.6051338911056519,0.6419047117233276
1,35,1560,0.6699519753456116,0.6767685413360596
1,36,1560,0.45854461193084717,0.4628845453262329
