model,family,head,method,seed,AUROC,HALL_AUPR
qwen3_vl_8b,native,svar_native,svar,43,0.8877446154377602,0.6812307202077497
qwen3_vl_8b,native,svar_native,svar,44,0.8901583847176884,0.6872612916060798
qwen3_vl_8b,native,svar_native,svar,45,0.8907154083976716,0.6789377169012158
qwen3_vl_8b,native,metatoken_lr,metatoken,43,0.8768459505673869,0.6580153881857772
qwen3_vl_8b,native,metatoken_lr,metatoken,44,0.8768459505673869,0.6580153881857772
qwen3_vl_8b,native,metatoken_lr,metatoken,45,0.8768459505673869,0.6580153881857772
qwen3_vl_8b,native,metatoken_gb,metatoken,43,0.8828652607216263,0.6870628705539883
qwen3_vl_8b,native,metatoken_gb,metatoken,44,0.8827141302658168,0.6865050781970937
qwen3_vl_8b,native,metatoken_gb,metatoken,45,0.8831113874639445,0.6927482354128278
qwen3_vl_8b,shared_mlp_fixed,svar,svar,43,0.9007245625852808,0.7085179653375808
qwen3_vl_8b,shared_mlp_fixed,svar,svar,44,0.8863412612052438,0.6768548560532481
qwen3_vl_8b,shared_mlp_fixed,svar,svar,45,0.8948088847435963,0.6932607723001042
qwen3_vl_8b,shared_mlp_fixed,metatoken,metatoken,43,0.8304661726859769,0.5191719926961655
qwen3_vl_8b,shared_mlp_fixed,metatoken,metatoken,44,0.8253709173186867,0.5034782959619811
qwen3_vl_8b,shared_mlp_fixed,metatoken,metatoken,45,0.811119315335855,0.47520257783508
qwen3_vl_8b,shared_mlp_fixed,visual_only,visual_only,43,0.9017911118019932,0.7105886363288418
qwen3_vl_8b,shared_mlp_fixed,visual_only,visual_only,44,0.9062213931637217,0.7221503229438774
qwen3_vl_8b,shared_mlp_fixed,visual_only,visual_only,45,0.9008109228457433,0.7148196773328676
qwen3_vl_8b,shared_mlp_fixed,all_attention,all_attention,43,0.9295861616318635,0.7637217790081646
qwen3_vl_8b,shared_mlp_fixed,all_attention,all_attention,44,0.9275394234589012,0.7652439590890223
qwen3_vl_8b,shared_mlp_fixed,all_attention,all_attention,45,0.926244019551963,0.7647075141415502
qwen3_vl_8b,shared_mlp_single,svar,svar,43,0.8887248043940101,0.6873382738998841
qwen3_vl_8b,shared_mlp_single,svar,svar,44,0.8911515277130078,0.7010574077309855
qwen3_vl_8b,shared_mlp_single,svar,svar,45,0.8893854603865485,0.688492447625566
qwen3_vl_8b,shared_mlp_single,metatoken,metatoken,43,0.8947700226263882,0.7040424884822807
qwen3_vl_8b,shared_mlp_single,metatoken,metatoken,44,0.8918618408553121,0.6840025844514024
qwen3_vl_8b,shared_mlp_single,metatoken,metatoken,45,0.8950636475119609,0.6986382231571142
qwen3_vl_8b,shared_mlp_single,visual_only,visual_only,43,0.8945627580012782,0.7182708243496475
qwen3_vl_8b,shared_mlp_single,visual_only,visual_only,44,0.9007375166243501,0.7226509281088451
qwen3_vl_8b,shared_mlp_single,visual_only,visual_only,45,0.8985482840216246,0.7310416933431436
qwen3_vl_8b,shared_mlp_single,all_attention,all_attention,43,0.9276603278235487,0.7670521158287371
qwen3_vl_8b,shared_mlp_single,all_attention,all_attention,44,0.9262310655128937,0.7728226216985334
qwen3_vl_8b,shared_mlp_single,all_attention,all_attention,45,0.9268010432319463,0.77606294472589
