model,group,classifier,index,validation_AUROC,validation_HALL_AUPR,seconds,n_iter,convergence_warning,params
qwen2_5_vl_7b,visual,xgb,15,0.8375937221836927,0.449778827807317,1.8485157019458711,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 100}"
qwen2_5_vl_7b,visual,xgb,16,0.8435133054100842,0.4684463359843769,3.065407876158133,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200}"
qwen2_5_vl_7b,visual,xgb,17,0.8433194445202898,0.46605662522086155,6.172986060846597,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 500}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,0,0.7821058207414769,0.2688327854671334,0.2496330530848354,30,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,1,0.8080176495322764,0.31188646090554095,0.4967689998447895,75,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,2,0.7980734050163553,0.2943133584884484,1.910723527194932,96,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,3,0.7968337874956997,0.2890675172006735,1.202153952093795,184,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,4,0.800689161811043,0.3132618162601534,1.0074189200531691,79,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,5,0.8021635967475057,0.31646382554517,0.9290670261252671,94,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,6,0.7888609170985306,0.2764036432032157,0.5616471110843122,47,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,7,0.7927599783749542,0.27925857305477997,1.8728954689577222,186,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,8,0.7943163263634427,0.2932160985481988,1.150992696871981,65,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,9,0.8072258233626946,0.32368785254087723,0.9249129558447748,59,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,10,0.8006563965902326,0.31089784316948055,4.356274092104286,86,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,11,0.8018523271498079,0.30166097602413694,4.653883829945698,290,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,0,0.8446382446579038,0.4152683289365905,0.5383596650790423,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,1,0.8547736196285516,0.4384634238410968,0.9855585810728371,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,2,0.8528568542111501,0.4256562774580775,1.7011354209389538,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 500}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,3,0.8480458276221734,0.42501779253946215,0.856094733113423,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,4,0.8494601929871505,0.4392893245669001,1.4716541089583188,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,5,0.8515981236450216,0.44169068770522435,2.8257662858814,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,6,0.8525455846134522,0.4478397847656113,1.3526329258456826,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 100}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,7,0.8561115328116382,0.4575471026335282,2.1591903241351247,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,8,0.8586426461192327,0.46313016041362126,3.6147481601219624,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 500}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,9,0.8270870080438617,0.3997425788597885,0.4281405280344188,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,10,0.8436061402023798,0.4207613868384648,0.7668544270563871,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,11,0.8522397758858897,0.43060196787500066,1.7452268910128623,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,12,0.8351581741034617,0.42788240404458705,0.9780106940306723,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 100}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,13,0.8474669753878583,0.43791204384365057,1.637935166945681,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200}"
