model,variant,champion,candidate,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,ensemble_AUROC,ensemble_HALL_AUPR
qwen2_5_vl_7b,true_rms/visual,True,11,0.8811810962917277,0.0006882938107468419,0.4404487754970479,0.0039814016258186615,0.8834785290262894,0.4459780025287411
qwen2_5_vl_7b,true_rms/visual_prompt_sum,False,15,0.8760003083802328,0.0021640515548584345,0.459932798613298,0.011349839761520507,0.8796854521625164,0.47123113078916284
qwen2_5_vl_7b,true_rms/generation,False,18,0.8220106391180325,0.00046806288602759997,0.3544398998054681,0.02352059500714204,0.8279777966232365,0.3672481130355214
qwen2_5_vl_7b,true_rms/vp_generation,False,12,0.8767866779739418,0.00330710542755224,0.4653683329700784,0.010467274738566259,0.8781127129750982,0.4695244095835016
qwen2_5_vl_7b,frozen_rms/visual,False,11,0.8815717112533085,0.0025040694332238906,0.427803493946535,0.0038076128947180914,0.8846349548993909,0.4364595376462742
qwen2_5_vl_7b,frozen_rms/visual_prompt_sum,False,19,0.8683319199239329,0.0015932812899378548,0.45467196783739405,0.004274856319300952,0.8693084573278853,0.45929112139081185
qwen2_5_vl_7b,frozen_rms/generation,False,20,0.8243928764166218,0.007670561829353884,0.3827124387480181,0.02770386926130811,0.8303446149101842,0.392087960376938
qwen2_5_vl_7b,frozen_rms/vp_generation,False,12,0.8696065582196181,0.0020187458720011342,0.46923379151536354,0.015154693682692032,0.8705111402359108,0.47258873283014224
