signal,label,layer,mean,median,q25,q75
AE,0,1,0.52578586,0.5295284,0.4922322630882263,0.5618993043899536
AE,0,2,0.4887723,0.49263516,0.4441792368888855,0.5327194929122925
AE,0,3,0.51603574,0.5131973,0.48998212814331055,0.5394189357757568
AE,0,4,0.5280805,0.52315354,0.4924628734588623,0.5570350885391235
AE,0,5,0.5160204,0.51625085,0.48130372166633606,0.5501259565353394
AE,0,6,0.5245154,0.5201818,0.49041759967803955,0.5521568059921265
AE,0,7,0.5251828,0.5180056,0.4836916923522949,0.560600996017456
AE,0,8,0.5307551,0.52919173,0.4916679263114929,0.5668667554855347
AE,0,9,0.58120835,0.5792626,0.5261712074279785,0.6366735100746155
AE,0,10,0.58753586,0.58440626,0.5254802107810974,0.6481518745422363
AE,0,11,0.57608646,0.57481,0.5269167423248291,0.6250538229942322
AE,0,12,0.59786046,0.5972736,0.5400926470756531,0.6557106971740723
AE,0,13,0.58059925,0.578232,0.5347028970718384,0.6263332366943359
AE,0,14,0.63789445,0.6434591,0.5722876191139221,0.706142246723175
AE,0,15,0.6393798,0.6417128,0.5774922966957092,0.7085800170898438
AE,0,16,0.63880473,0.64077437,0.5744631290435791,0.7076426148414612
AE,0,17,0.60072607,0.6006615,0.5441619157791138,0.6595243215560913
AE,0,18,0.6532619,0.6604349,0.5824451446533203,0.7304107546806335
AE,0,19,0.64020336,0.6436779,0.5759998559951782,0.7106326222419739
AE,0,20,0.6504657,0.6601206,0.579531192779541,0.7297174334526062
AE,0,21,0.6634222,0.6740299,0.5905206203460693,0.7513676881790161
AE,0,22,0.69143015,0.7113488,0.6170075535774231,0.7846357226371765
AE,0,23,0.64894104,0.6638509,0.5870019197463989,0.7247720956802368
AE,0,24,0.6965802,0.7181051,0.6278877258300781,0.7850180864334106
AE,0,25,0.69109,0.70933557,0.6333665251731873,0.7684155702590942
AE,0,26,0.6950799,0.7154577,0.6274440884590149,0.786008894443512
AE,0,27,0.7097146,0.7256317,0.6524341702461243,0.7860190868377686
AE,0,28,0.7221216,0.74489015,0.663427472114563,0.802713930606842
AE,0,29,0.76410323,0.7900717,0.7058500051498413,0.8462465405464172
AE,0,30,0.7435991,0.7648705,0.6904312372207642,0.8179222345352173
AE,0,31,0.73565245,0.7598681,0.6863152980804443,0.8122308850288391
AE,0,32,0.7806104,0.8083773,0.7300454378128052,0.8627884387969971
AE,0,33,0.7919318,0.82220393,0.736228346824646,0.8786406517028809
AE,0,34,0.7650646,0.78896725,0.7114177942276001,0.8444609642028809
AE,0,35,0.73144484,0.75030136,0.670318603515625,0.8100389242172241
AE,0,36,0.58550686,0.58120304,0.5345724821090698,0.6324080228805542
AE,1,1,0.537499,0.54118025,0.5030076652765274,0.5744645148515701
AE,1,2,0.50394344,0.50599575,0.46212492883205414,0.5466602891683578
AE,1,3,0.52438027,0.5221269,0.49246688932180405,0.5523935705423355
AE,1,4,0.5430168,0.53979725,0.5000707805156708,0.5800445973873138
AE,1,5,0.5361029,0.53633416,0.49538058042526245,0.5778716504573822
AE,1,6,0.5449012,0.540463,0.5010527074337006,0.5841370224952698
AE,1,7,0.5521466,0.5481626,0.4978073015809059,0.603107362985611
AE,1,8,0.5543505,0.5554489,0.5083392858505249,0.5999881029129028
AE,1,9,0.5916452,0.5926248,0.5353688448667526,0.6507594436407089
AE,1,10,0.6004833,0.596836,0.5372933447360992,0.6657036393880844
AE,1,11,0.59520954,0.59740293,0.5478414595127106,0.6474928706884384
AE,1,12,0.6156713,0.6177034,0.5548539757728577,0.6806946694850922
AE,1,13,0.60512596,0.607213,0.5557424575090408,0.6592739969491959
AE,1,14,0.6498068,0.6587878,0.5883020460605621,0.7202566266059875
AE,1,15,0.66301525,0.67277175,0.59949891269207,0.7380969375371933
AE,1,16,0.653579,0.6613305,0.58730348944664,0.728026807308197
AE,1,17,0.6246285,0.6303991,0.5691658705472946,0.6849436610937119
AE,1,18,0.6682831,0.67940694,0.5996955335140228,0.7516177594661713
AE,1,19,0.6435421,0.6483117,0.580646887421608,0.7143696695566177
AE,1,20,0.6558596,0.66490686,0.5862322598695755,0.7360470443964005
AE,1,21,0.66605103,0.67977077,0.5946515947580338,0.7520163208246231
AE,1,22,0.69733614,0.71702236,0.6271296441555023,0.7906167507171631
AE,1,23,0.6530961,0.6664414,0.5854640454053879,0.7337384521961212
AE,1,24,0.6931065,0.7236526,0.6199465692043304,0.7928005009889603
AE,1,25,0.6926265,0.7153013,0.6304286867380142,0.7768310159444809
AE,1,26,0.7280206,0.7522522,0.6579188406467438,0.8180388063192368
AE,1,27,0.727222,0.74531674,0.6705484092235565,0.8012530356645584
AE,1,28,0.7566575,0.77874726,0.7009123712778091,0.8329971581697464
AE,1,29,0.7993438,0.8219532,0.7472097277641296,0.8739921599626541
AE,1,30,0.76429176,0.78181064,0.7119876891374588,0.8341625779867172
AE,1,31,0.77015686,0.7897924,0.7232330590486526,0.8380334824323654
AE,1,32,0.81589514,0.83998305,0.7695487439632416,0.8868553191423416
AE,1,33,0.8084615,0.83885354,0.758696511387825,0.8872723579406738
AE,1,34,0.78379226,0.8090595,0.7326006293296814,0.8568279147148132
AE,1,35,0.7582775,0.783174,0.70308817923069,0.8355265855789185
AE,1,36,0.6227544,0.6187401,0.5673579126596451,0.6772053837776184
I,0,1,0.20438153,0.17419688,0.11739446222782135,0.26424944400787354
I,0,2,0.18316332,0.1381391,0.09475868940353394,0.21156279742717743
I,0,3,0.7338871,0.5583706,0.3832594156265259,0.8915503025054932
I,0,4,0.70063907,0.4513999,0.2880845069885254,0.8216034770011902
I,0,5,0.5362871,0.36365983,0.19235685467720032,0.6877322196960449
I,0,6,0.9547989,0.7139124,0.47050225734710693,1.148871660232544
I,0,7,1.2849417,0.8747392,0.4007869362831116,1.8252229690551758
I,0,8,1.0432093,0.8886947,0.5644097328186035,1.3256193399429321
I,0,9,5.4283237,5.1551147,3.4096531867980957,7.0731940269470215
I,0,10,7.5784655,6.950303,4.577812671661377,9.936563491821289
I,0,11,6.0612373,5.8511553,3.8531243801116943,7.860394477844238
I,0,12,6.856637,6.50182,4.781846523284912,8.48993968963623
I,0,13,5.8357563,5.4606066,4.233652114868164,7.051743507385254
I,0,14,13.698398,13.248512,9.749576568603516,17.280107498168945
I,0,15,10.561688,10.490293,7.875608921051025,13.26937198638916
I,0,16,16.368015,16.348642,12.551432609558105,20.455467224121094
I,0,17,11.648458,11.292925,8.377225875854492,14.3235502243042
I,0,18,16.257124,16.523972,12.797475814819336,19.83058738708496
I,0,19,23.005928,23.839619,18.68210220336914,27.711387634277344
I,0,20,15.550631,15.133904,9.854947090148926,20.105144500732422
I,0,21,20.101982,20.645563,13.829946517944336,26.29166603088379
I,0,22,22.225485,22.996828,17.193899154663086,27.73686981201172
I,0,23,13.293115,12.929866,10.031594276428223,16.216779708862305
I,0,24,36.802807,37.59053,28.898048400878906,44.9415283203125
I,0,25,54.22821,54.28724,42.65916442871094,65.56827545166016
I,0,26,25.234926,24.459455,17.062082290649414,32.45445251464844
I,0,27,52.10061,52.24592,38.10077667236328,65.93338775634766
I,0,28,31.067884,29.841328,21.06812286376953,39.4704704284668
I,0,29,39.76228,36.59946,23.83875846862793,53.42529296875
I,0,30,66.55682,64.21896,45.41045379638672,85.08023071289062
I,0,31,41.66539,38.51543,24.57431983947754,55.98796844482422
I,0,32,61.770855,58.287903,36.902252197265625,82.55320739746094
I,0,33,68.00581,60.28194,35.04926300048828,95.23959350585938
I,0,34,96.01971,88.92316,56.6209716796875,128.3924102783203
I,0,35,103.76228,94.71599,64.171875,135.95675659179688
I,0,36,38.16746,32.770973,23.81208610534668,46.20342254638672
I,1,1,0.29099834,0.26392543,0.1607569232583046,0.4061458706855774
I,1,2,0.31404528,0.22803369,0.12763743475079536,0.4152583032846451
I,1,3,1.1454809,0.8569753,0.5481376945972443,1.4210156500339508
I,1,4,1.0373722,0.7435522,0.37401384860277176,1.4029097259044647
I,1,5,0.9260983,0.6883813,0.35462018102407455,1.1941747963428497
I,1,6,1.7027477,1.3201311,0.778672069311142,2.2239553928375244
I,1,7,2.42247,1.9100313,0.7989721894264221,3.776060461997986
I,1,8,1.6177497,1.4307821,0.8869428038597107,2.2137405276298523
I,1,9,7.3118477,6.8933973,4.695142030715942,9.857500553131104
I,1,10,9.729506,9.666161,5.836720824241638,12.919873237609863
I,1,11,7.754854,7.668664,5.5678993463516235,9.797164916992188
I,1,12,8.688298,8.272676,5.91685950756073,11.279170751571655
I,1,13,8.25812,7.7316203,5.910013318061829,10.233652353286743
I,1,14,15.342388,14.666254,11.763339519500732,18.87092161178589
I,1,15,13.24637,13.525509,10.681294679641724,16.030508041381836
I,1,16,17.72593,17.801617,14.319738149642944,21.334521293640137
I,1,17,15.329181,14.882141,11.60987377166748,18.814767360687256
I,1,18,18.16473,18.451357,15.309269905090332,21.36832904815674
I,1,19,25.81891,26.136003,22.540971755981445,29.697686672210693
I,1,20,19.707378,19.220356,15.277916431427002,24.019678115844727
I,1,21,24.383142,24.85981,20.084835052490234,29.340416431427002
I,1,22,28.012878,28.473461,23.13120698928833,33.46202850341797
I,1,23,15.547533,15.425105,12.167652606964111,18.731990337371826
I,1,24,42.29263,43.405865,35.097527503967285,50.731595039367676
I,1,25,61.228634,62.852478,50.52696514129639,73.58193397521973
I,1,26,31.22663,30.567005,22.002534866333008,40.10913944244385
I,1,27,60.591476,61.09363,46.657870292663574,74.74298286437988
I,1,28,42.510918,41.308723,29.722075939178467,54.484418869018555
I,1,29,53.288197,51.327785,36.769938468933105,68.03637886047363
I,1,30,76.96057,73.36473,53.87381649017334,97.58603477478027
I,1,31,48.31058,45.03272,30.609950065612793,62.45827579498291
I,1,32,76.03966,72.65245,51.004770278930664,98.57662963867188
I,1,33,73.24329,69.480484,46.23062324523926,97.45865058898926
I,1,34,107.27958,100.73508,70.84614181518555,137.49259567260742
I,1,35,123.9227,114.65094,81.14658164978027,158.82362365722656
I,1,36,51.430008,43.966606,30.13960027694702,64.7933464050293
S,0,1,0.48687312,0.39237392,0.2481883466243744,0.6208862662315369
S,0,2,0.08612426,0.055747207,0.0378975048661232,0.09227382391691208
S,0,3,0.40119323,0.27541697,0.18886986374855042,0.4521046280860901
S,0,4,0.30318967,0.18349093,0.11448171734809875,0.3548906743526459
S,0,5,0.36115396,0.2186167,0.10019989311695099,0.4659995436668396
S,0,6,0.681843,0.519935,0.3271756172180176,0.8319019079208374
S,0,7,0.8765826,0.60136294,0.2723686695098877,1.2374554872512817
S,0,8,0.6969005,0.58760834,0.36976173520088196,0.881056547164917
S,0,9,4.5849943,4.271259,2.776811361312866,6.016091346740723
S,0,10,7.069884,6.6742287,4.325822830200195,9.29322624206543
S,0,11,5.407942,5.0832973,3.4413461685180664,7.013294219970703
S,0,12,5.6896,5.5049562,3.9486403465270996,7.20241117477417
S,0,13,4.401445,4.1017547,3.094595432281494,5.334253787994385
S,0,14,9.770844,9.330508,6.836589813232422,12.616311073303223
S,0,15,7.3604317,7.280511,5.427858829498291,9.236270904541016
S,0,16,11.183957,11.100418,8.363351821899414,13.895177841186523
S,0,17,8.323328,8.02728,5.972860336303711,10.232474327087402
S,0,18,11.442269,11.560822,8.775053977966309,14.140756607055664
S,0,19,14.75793,15.215515,11.683661460876465,17.93165397644043
