model,scope,metric,layers,real_layer_mean,hall_layer_mean,hall_minus_real,hall_higher_layers,mixed_images,paired_mean_hall_minus_real
internvl_2_5_8b,all,amp_fraction_gt1,32,0.04708033172048559,0.048465439309350225,0.0013851075888646376,20,1265,0.0009680198757028751
internvl_2_5_8b,all,amp_mean,32,0.5525968075913015,0.5552627172225844,0.002665909631283026,21,1265,0.002099750202061968
internvl_2_5_8b,all,amp_median,32,0.5451327954486718,0.547829505234759,0.0026967097860872745,22,1265,0.0021837606324089124
internvl_2_5_8b,all,cancellation,32,0.5003250824051453,0.499776240037081,-0.0005488423680642188,13,1265,0.0010342669406696353
internvl_2_5_8b,all,closure,32,1.6137715942849783e-05,2.5766252139831275e-05,9.628536196981492e-06,32,1265,9.893965817202303e-06
internvl_2_5_8b,all,gross_gain,32,0.5672923550489656,0.5648315395960336,-0.0024608154529319765,17,1265,-0.0031496135490634196
internvl_2_5_8b,train,amp_fraction_gt1,32,0.047180091700258296,0.0484152942446608,0.0012352025444025056,19,1009,0.0010974963067234915
internvl_2_5_8b,train,amp_mean,32,0.5527521969747007,0.5552869232830009,0.002534726308300252,21,1009,0.002198400336511821
internvl_2_5_8b,train,amp_median,32,0.5452718276035978,0.5478633346129829,0.0025915070093849796,21,1009,0.0022600512714056587
internvl_2_5_8b,train,cancellation,32,0.5004913053848229,0.5003854536628582,-0.00010585172196468824,15,1009,0.0016997160915161527
internvl_2_5_8b,train,closure,32,1.6149619293078378e-05,2.5608197667295756e-05,9.458578374217378e-06,32,1009,9.921508995497379e-06
internvl_2_5_8b,train,gross_gain,32,0.5674046720851387,0.5648201390227177,-0.0025845330624209035,17,1009,-0.0028647199859395686
internvl_2_5_8b,test,amp_fraction_gt1,32,0.04668362682084164,0.048652710288203754,0.001969083467362119,17,256,0.0004577006612505237
internvl_2_5_8b,test,amp_mean,32,0.5519788871598055,0.5551723176457473,0.0031934304859417718,22,256,0.0017109299455779735
internvl_2_5_8b,test,amp_median,32,0.5445799210676536,0.5477031665648777,0.0031232454972242567,22,256,0.0018830682310506442
internvl_2_5_8b,test,cancellation,32,0.4996640811637475,0.4975010803032802,-0.002163000860467286,13,256,-0.001588538501534022
internvl_2_5_8b,test,closure,32,1.6090381156208667e-05,2.635651991527893e-05,1.0266138759070263e-05,32,256,9.785406962125229e-06
internvl_2_5_8b,test,gross_gain,32,0.5668457158388849,0.5648741159998647,-0.001971599839020278,19,256,-0.004272494819344536
llava_1_5_7b,all,amp_fraction_gt1,32,0.05401845676162022,0.05461944816123448,0.0006009913996142522,2,1966,0.0007614875858119366
llava_1_5_7b,all,amp_mean,32,0.532513227438788,0.5281797513357362,-0.004333476103051971,13,1966,-0.003326911477875398
llava_1_5_7b,all,amp_median,32,0.528238948010926,0.523205441088237,-0.005033506922688975,14,1966,-0.0036065029332858394
llava_1_5_7b,all,cancellation,32,0.5030845793526431,0.4874625613977564,-0.015622017954886729,6,1966,-0.011505225127051594
llava_1_5_7b,all,closure,32,1.1701261447169017e-05,1.2706496333986782e-05,1.0052348868177646e-06,25,1966,1.2854805918427167e-06
llava_1_5_7b,all,gross_gain,32,0.5293185175937196,0.5171115983239979,-0.012206919269721776,7,1966,-0.010147293430517155
llava_1_5_7b,train,amp_fraction_gt1,32,0.054007589804933795,0.054555579609337775,0.000547989804403979,2,1567,0.0006823641943485563
llava_1_5_7b,train,amp_mean,32,0.5325240759382748,0.528167045472083,-0.004357030466191727,13,1567,-0.0034133072440044013
