model,best_feature_set,dimensions,seed_mean_auroc,seed_std_auroc,ensemble_auroc,ensemble_hall_aupr,test_hall_prior,seed_mean_hall_f1
llava_1_5_7b,adj_A_all,31,0.8540120228683435,0.0008151171809402597,0.8575235607638276,0.6244012769634445,0.22820343461030382,0.5598432931453236
qwen2_5_vl_7b,adj_A_all,27,0.7787270151901673,0.004767740181367401,0.7841245816367861,0.27802049185737265,0.1063335270191749,0.19324333252092016
qwen3_vl_8b,adj_E_all,35,0.7907762378305015,0.004297614214749199,0.7961890220029755,0.4726799832229898,0.17251755265797392,0.3639809022652742
internvl_2_5_8b,adj_A_all,31,0.7945293483646726,0.0011142664846154956,0.800154346104185,0.3927492010318478,0.1580288870008496,0.25402853808164033
