feature_set,ae_variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
A,top32,43,fixed_0.5,0.5,0.8383921232453866,0.9760032517425661,0.9213135068153655,0.959974176888315,0.9402466013278533,0.41001567224258934,0.4745762711864407,0.30601092896174864,0.37209302325581395
A,top32,43,train_f1,0.5739957094192505,0.8383921232453866,0.9760032517425661,0.9292993630573249,0.9418979987088444,0.9355562680346264,0.41001567224258934,0.4444444444444444,0.39344262295081966,0.41739130434782606
A,top32,44,fixed_0.5,0.5,0.8239054281450751,0.9747612924516974,0.9152029073288915,0.9754680438992899,0.944375,0.3783523590377556,0.5308641975308642,0.23497267759562843,0.32575757575757575
A,top32,44,train_f1,0.6250103116035461,0.8239054281450751,0.9747612924516974,0.9231730168644597,0.9541639767591995,0.9384126984126984,0.3783523590377556,0.4580152671755725,0.32786885245901637,0.3821656050955414
A,top32,45,fixed_0.5,0.5,0.8304793856074957,0.975243280952113,0.9226485148514851,0.9625564880568108,0.9421800947867298,0.39910568601334667,0.5,0.31693989071038253,0.3879598662207358
A,top32,45,train_f1,0.555614173412323,0.8304793856074957,0.975243280952113,0.9252981795354677,0.9515816655907037,0.9382558879694463,0.39910568601334667,0.460431654676259,0.34972677595628415,0.39751552795031053
A,full,43,fixed_0.5,0.5,0.8278776718277613,0.9731339600020346,0.9156994502138057,0.9677211103938025,0.9409918392969241,0.3839697467583593,0.47368421052631576,0.2459016393442623,0.3237410071942446
A,full,43,train_f1,0.5292660593986511,0.8278776718277613,0.9731339600020346,0.9173349784083898,0.959974176888315,0.9381703470031546,0.3839697467583593,0.44144144144144143,0.2677595628415301,0.3333333333333333
A,full,44,fixed_0.5,0.5,0.8219969167486869,0.9743639045548435,0.9246968730057434,0.9354422207876049,0.9300385109114249,0.39616642153027526,0.3939393939393939,0.3551912568306011,0.3735632183908046
A,full,44,train_f1,0.4387143552303314,0.8219969167486869,0.9743639045548435,0.9209707529558183,0.9554551323434474,0.9378960709759189,0.39616642153027526,0.448,0.30601092896174864,0.36363636363636365
A,full,45,fixed_0.5,0.5,0.820315945065916,0.9735821851612789,0.9308996088657105,0.921885087153002,0.9263704184236133,0.3875595847406307,0.3888888888888889,0.4207650273224044,0.4041994750656168
A,full,45,train_f1,0.4386212229728699,0.820315945065916,0.9735821851612789,0.9237074401008827,0.9457714654615881,0.9346092503987241,0.3875595847406307,0.4246575342465753,0.33879781420765026,0.3768996960486322
B,top32,43,fixed_0.5,0.5,0.7944416810422377,0.9681854380214338,0.9,0.9935442220787605,0.9444614912549862,0.3277977866254907,0.5454545454545454,0.06557377049180328,0.11707317073170732
B,top32,43,train_f1,0.5828420519828796,0.7944416810422377,0.9681854380214338,0.9088729016786571,0.9786959328599096,0.9424930059061237,0.3277977866254907,0.484375,0.16939890710382513,0.25101214574898784
B,top32,44,fixed_0.5,0.5,0.7950837310868637,0.9681466334800538,0.9027695934001179,0.9890251775338929,0.9439309919901417,0.3386013587182361,0.5142857142857142,0.09836065573770492,0.1651376146788991
B,top32,44,train_f1,0.5848453640937805,0.7950837310868637,0.9681466334800538,0.9078787878787878,0.9670755326016786,0.936542669584245,0.3386013587182361,0.3780487804878049,0.16939890710382513,0.2339622641509434
B,top32,45,fixed_0.5,0.5,0.7993311390743896,0.9690934593255294,0.9081693500298151,0.9832149774047773,0.9442033477991321,0.351281744959854,0.5272727272727272,0.15846994535519127,0.24369747899159663
