feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
strength,28,0.8568510620283842,0.9797036198127701,0.37265448127348666,0.4233047440364514,0.10200364298724955,0.16127394238539325,0.848320968578353,0.8528400131232208,0.8581457453601301
kappa,28,0.794999065146913,0.9688916762522527,0.3311590906133387,0.5040992812219227,0.1493624772313297,0.21752346933146882,0.7919510913086886,0.7853471479925354,0.7872521316414256
strength+kappa,56,0.8636807811844059,0.9805603743996935,0.3970198502761797,0.4954835462680934,0.15664845173041894,0.23789551275721676,0.8599166746040985,0.8548296627120617,0.8649225483036826
R_cos,28,0.7988231434346855,0.9690916378600111,0.3060604546072228,0.4054658239700375,0.17122040072859745,0.23985801737452728,0.7966288844909637,0.7864460413381453,0.7935174111977761
strength+kappa+R_cos,84,0.8695721195059742,0.9817799085719555,0.3988499377882768,0.46532664790053957,0.14389799635701275,0.21933517466912048,0.8659949835430579,0.868559655974064,0.8654834601558559
