model,case_id,layer,regions,permutations,median_path_shapley_cosine,median_path_shapley_norm_relative_error,vector_completeness_relative_error
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,8,128,0.9999932646751404,0.003776568453758955,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,16,128,0.9999920129776001,0.004193671513348818,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,8,128,0.9999996423721313,0.0006833532825112343,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,16,128,0.9999995231628418,0.0008896571816876531,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,8,128,0.9999955892562866,0.0030104191973805428,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,16,128,0.9999979138374329,0.002008590381592512,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,8,128,0.9999978542327881,0.002146152313798666,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,16,128,0.9999954700469971,0.003030096646398306,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,8,128,0.9999998807907104,0.0006867863703519106,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,16,128,0.9999995231628418,0.0010281240101903677,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,8,128,0.9999996423721313,0.0006729967426508665,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,16,128,0.9999994039535522,0.0011313363211229444,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,8,128,0.9999994039535522,0.0011716758599504828,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,16,128,0.9999973773956299,0.0022501437924802303,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,8,128,0.9999988079071045,0.0015896204859018326,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,16,128,0.9999988079071045,0.0014830625150352716,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,8,128,0.9999769926071167,0.006823522038757801,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,16,128,0.9999750256538391,0.007292773574590683,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,8,128,0.9999991655349731,0.001135724363848567,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,16,128,0.9999983310699463,0.00181575957685709,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,8,128,0.9999972581863403,0.002176111564040184,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,16,128,0.9999986886978149,0.0015459705609828234,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,8,128,0.9999919533729553,0.004683345090597868,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,16,128,0.9999975562095642,0.0025619915686547756,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,8,128,0.9999938011169434,0.0034659220837056637,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,16,128,0.9999891519546509,0.004800470545887947,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,8,128,0.9999730587005615,0.007171307690441608,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,16,128,0.9999878406524658,0.0051172049716115,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:222118:83:14,14,8,128,0.9999783039093018,0.0069495257921516895,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:222118:83:14,14,16,128,0.9999942779541016,0.0034809184726327658,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:238691:24:21,21,8,128,0.9999953508377075,0.003098522312939167,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:238691:24:21,21,16,128,0.9999951720237732,0.0031337132677435875,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:239395:59:21,21,8,128,0.9999995231628418,0.0008934390498325229,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:239395:59:21,21,16,128,0.9999994039535522,0.0011245495406910777,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:240295:5:28,28,8,128,0.9999997019767761,0.002957837888970971,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:240295:5:28,28,16,128,0.9999994039535522,0.003568348241969943,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:256973:53:28,28,8,128,0.9999973177909851,0.0026587210595607758,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:256973:53:28,28,16,128,0.9999943971633911,0.004202535375952721,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:263668:58:7,7,8,128,0.9999997615814209,0.0004997779033146799,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:263668:58:7,7,16,128,0.9999991655349731,0.001290391432121396,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:277869:49:7,7,8,128,0.9999983310699463,0.0017937186639755964,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:277869:49:7,7,16,128,0.9999992847442627,0.0012672406155616045,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:281929:4:7,7,8,128,0.9999911785125732,0.004246073309332132,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:281929:4:7,7,16,128,0.9999892711639404,0.004721359349787235,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:320180:14:14,14,8,128,0.999992847442627,0.0038733440451323986,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:320180:14:14,14,16,128,0.9999696612358093,0.007839885540306568,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:322226:7:28,28,8,128,0.9999958276748657,0.0032200217247009277,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:322226:7:28,28,16,128,0.9999977350234985,0.002320605795830488,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:344279:55:21,21,8,128,0.9999843835830688,0.005890233442187309,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:344279:55:21,21,16,128,0.99998939037323,0.004704393446445465,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:344844:7:14,14,8,128,0.9999968409538269,0.0025490690022706985,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:344844:7:14,14,16,128,0.9999964237213135,0.0027011646889150143,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:373140:62:14,14,8,128,0.9999789595603943,0.006768260151147842,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:373140:62:14,14,16,128,0.9999911785125732,0.0043121385388076305,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:7:21,21,8,128,0.9999431371688843,0.011097954586148262,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:7:21,21,16,128,0.9999738931655884,0.0074559287168085575,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:39900:37:14,14,8,128,0.9999901056289673,0.004454045556485653,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:39900:37:14,14,16,128,0.9999814629554749,0.006143181584775448,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:401429:17:21,21,8,128,0.9999549388885498,0.009590753354132175,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:401429:17:21,21,16,128,0.9999884963035583,0.004931715317070484,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:414744:22:7,7,8,128,0.9999982714653015,0.0018595391884446144,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:414744:22:7,7,16,128,0.9999990463256836,0.0014561836142092943,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:431479:95:14,14,8,128,0.9999994039535522,0.001199128688313067,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:431479:95:14,14,16,128,0.9999994039535522,0.0010632136836647987,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:460131:54:14,14,8,128,0.9999988079071045,0.0015510988887399435,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:460131:54:14,14,16,128,0.9999972581863403,0.0023606163449585438,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:460131:54:28,28,8,128,0.9999946355819702,0.005409543868154287,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:460131:54:28,28,16,128,0.9999982118606567,0.002129628323018551,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:466090:5:28,28,8,128,0.9999995231628418,0.002209073631092906,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:466090:5:28,28,16,128,0.9999991655349731,0.002145873848348856,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:475678:46:28,28,8,128,0.9999915361404419,0.004916674457490444,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:475678:46:28,28,16,128,0.999994158744812,0.0038503706455230713,0.0
